time,chord
14.030,Ebj7
15.650,F-
16.490,Bb7
17.310,Ebj7
18.940,Eb-
19.770,Ab7
20.580,Dbj7
22.220,G-7
23.030,C7
23.860,Fj7
25.500,Fm7b5
26.310,Bb7
27.140,Ebj7
28.720,F-
29.560,Bb7
30.380,Ebj7
32.000,Eb-
32.810,Ab7
33.630,Dbj7
35.250,G-7
36.050,C7
36.880,Fj7
38.530,Fm7b5
39.340,Bb7
39.750,A79b
40.160,Abj7
41.760,Abj7
43.350,Ab-
44.920,Db7
46.490,Gbj7
48.080,Gbj7
49.700,Fm7b5
51.300,Bb7
52.890,Ebj7
54.510,F-
55.320,Bb7
56.130,Ebj7
57.750,Eb-7
58.560,Ab7
59.330,Dbj7
60.920,G-7
61.720,C7
62.520,Fj7
64.150,Fm7b5
64.970,Bb7
65.750,Eb7
66.570,D7
67.390,Db7
68.190,C7
69.030,F-7
70.660,Ebj7
72.280,Ebj7
73.900,F-
74.700,Bb7
75.540,Ebj7
77.150,Eb-
77.940,Ab7
78.760,Dbj7
80.370,G-7
81.160,C7
81.930,Fj7
83.520,Fm7b5
84.340,Bb7
85.130,Ebj7
86.750,F-
87.550,Bb7
88.340,Ebj7
89.950,Eb-
90.750,Ab7
91.520,Dbj7
93.100,G-7
93.860,C7
94.650,Fj7
96.230,Fm7b5
97.020,Bb7
97.420,A79b
97.830,Abj7
99.400,Abj7
101.000,Ab-
102.610,Db7
104.220,Gbj7
105.780,Gbj7
107.390,Fm7b5
109.000,Bb7
110.600,Ebj7
112.210,F-
113.010,Bb7
113.810,Ebj7
115.390,Eb-7
116.190,Ab7
116.990,Dbj7
118.580,G-7
119.380,C7
120.190,Fj7
121.800,Fm7b5
122.600,Bb7
123.400,Eb7
124.200,D7
124.990,Db7
125.800,C7
126.580,F-7
128.190,Ebj7
129.820,Ebj7
131.480,F-
132.300,Bb7
133.090,Ebj7
134.710,Eb-
135.540,Ab7
136.380,Dbj7
137.990,G-7
138.820,C7
139.620,Fj7
141.209,Fm7b5
141.998,Bb7
142.770,Ebj7
144.470,F-
145.290,Bb7
146.110,Ebj7
147.740,Eb-7
148.580,Ab7
149.380,Dbj7
150.990,G-7
151.790,C7
152.600,Fj7
154.220,Fm7b5
155.040,Bb7
155.880,Eb7
156.690,D7
157.520,Db7
158.310,C7
159.130,F-7
160.770,Eb7
162.430,C7
164.090,F-7
165.790,Bb7
167.450,Ebj7
