time,chord
110.400,F7
111.200,F7
112.000,F7
114.000,F7
114.200,F7
116.000,A#7
116.800,A#7
117.600,A#7
118.400,A#7
119.200,F7
119.400,F7
122.200,F7
123.000,F7
123.800,F7
124.600,F7
126.000,F7
126.200,F7
129.200,F7
129.400,F7
132.400,F7
132.600,F7
135.400,A#7
136.200,A#7
137.000,A#7
137.800,A#7
138.600,A#7
139.400,A#7
140.200,A#7
141.000,A#7
141.800,F7
142.000,F7
144.400,F7
145.200,F7
146.000,F7
147.200,A-7
147.400,A-7
150.400,A-7
150.600,A-7
153.600,D7
153.800,D7
156.800,D7
157.000,D7
160.000,G-
160.200,G-
163.200,G-
163.400,G-
166.400,G-
166.600,G-
168.600,G-
169.800,C7
170.000,C7
171.400,C7
172.200,C7
173.000,C7
174.200,F7
174.400,F7
176.000,F7
176.800,F7
177.600,F7
178.400,C7
179.200,C7
180.000,C7
180.200,C7
182.600,C7
183.400,F7
184.200,F7
185.000,F7
185.200,F7
188.200,F7
188.400,F7
191.400,A#7
191.600,A#7
194.600,A#7
194.800,A#7
197.800,A#7
198.000,A#7
199.000,A#7
200.200,F7
200.400,F7
203.400,F7
203.600,F7
206.600,F7
206.800,F7
209.600,F7
210.400,F7
211.200,F7
212.000,F7
212.800,F7
213.600,A#7
214.400,A#7
215.200,A#7
216.000,A#7
216.800,A#7
217.600,A#7
218.400,A#7
219.200,A#7
220.000,F7
220.200,F7
222.000,F7
222.800,F7
223.600,F7
224.400,A-7
225.200,A-7
226.000,D7
226.800,D7
228.000,G-
228.200,G-
231.000,G-
231.800,G-
232.600,G-
233.400,C7
234.200,C7
235.000,C7
235.800,C7
236.600,F7
237.400,F7
238.200,F7
239.000,F7
240.200,C7
240.400,C7
243.400,C7
243.600,C7
244.600,C7
245.400,C7
246.600,F7
246.800,F7
249.800,F7
250.000,F7
253.000,F7
253.200,F7
254.600,F7
255.400,A#7
256.200,A#7
257.600,A#7
257.800,A#7
260.200,A#7
261.000,F7
261.800,F7
262.600,F7
263.400,F7
264.200,F7
265.000,F7
265.800,F7
266.600,F7
266.800,F7
269.800,A#7
270.000,A#7
273.000,A#7
273.200,A#7
275.000,A#7
275.800,A#7
276.600,A#7
277.400,A#7
278.200,A#7
279.000,A#7
280.200,F7
280.400,F7
282.200,F7
283.000,F7
283.800,F7
285.000,A-7
285.200,A-7
288.200,A-7
288.400,A-7
291.400,D7
291.600,D7
294.600,D7
294.800,D7
297.800,G-
298.000,G-
300.200,G-
301.000,G-
301.800,G-
302.600,C7
303.400,C7
303.600,C7
306.200,C7
307.000,C7
308.200,F7
308.400,F7
311.400,F7
311.600,F7
314.600,F7
314.800,F7
317.800,F7
318.000,F7
320.000,C7
320.800,C7
321.600,C7
322.400,C7
