time,chord
0.430,Cj7
1.850,Cj7
3.280,C-7
4.710,C-7
6.130,D7/C
7.530,C#/C
8.970,Cj7
11.810,D-7
13.250,G7
14.650,Cj7
16.030,Cj7
17.440,F-7
18.810,A#7
20.220,D#j7
21.610,D-7
22.280,G7
23.000,Cj7
24.400,Cj7
25.770,C-7
27.130,C-7
28.499,D7/C
30.000,C#/C
31.392,Cj7
32.680,A7
34.100,D-7
34.800,D-/C
35.510,Bm7b5
36.220,E79b
36.930,A-7
37.630,A-/G
38.330,F#m7b5
39.040,B7
39.740,E-7
40.450,A7
41.170,D-7
41.890,G7
42.640,Cj7
44.100,N.C.
45.630,Cj7
47.090,Cj7
48.520,C-7
49.950,C-7
51.380,D7/C
52.780,C#/C
54.180,Cj7
55.560,A7
57.010,D-7
58.410,G7
59.810,Cj7
61.240,Cj7
62.650,F-7
64.070,A#7
65.470,D#j7
66.870,D-7
67.570,G7
68.270,Cj7
69.680,Cj7
71.080,C-7
72.440,C-7
73.840,D7/C
75.250,C#/C
76.670,Cj7
78.070,A7
79.460,D-7
80.160,D-/C
80.880,Bm7b5
81.580,E79b
82.260,A-7
82.980,A-/G
83.680,F#m7b5
84.410,B7
85.110,E-7
85.810,A7
86.500,D-7
87.200,G7
87.910,Cj7
89.290,N.C.
90.700,Cj7
92.120,Cj7
93.510,C-7
94.870,C-7
96.260,D7/C
97.630,C#/C
99.000,Cj7
100.400,A7
101.770,D-7
103.150,G7
104.570,Cj7
105.960,Cj7
107.320,F-7
108.720,A#7
110.130,D#j7
111.510,D-7
112.220,G7
112.880,Cj7
114.280,Cj7
115.660,C-7
117.050,C-7
118.410,D7/C
119.790,C#/C
121.140,Cj7
122.490,A7
123.850,D-7
124.550,D-/C
125.260,Bm7b5
125.960,E79b
126.660,A-7
127.360,A-/G
128.050,F#m7b5
128.760,B7
129.450,E-7
130.120,A7
130.820,D-7
131.510,G7
132.210,Cj7
133.670,N.C.
135.170,Cj7
136.600,Cj7
138.020,C-7
139.400,C-7
140.820,D7/C
142.220,C#/C
143.620,Cj7
144.980,A7
146.360,D-7
147.820,G7
149.200,Cj7
150.600,Cj7
152.000,F-7
153.410,A#7
154.800,D#j7
156.170,D-7
156.840,G7
157.550,Cj7
158.960,Cj7
160.330,C-7
161.700,C-7
163.060,D7/C
164.410,C#/C
165.770,Cj7
167.100,A7
168.480,D-7
169.190,D-/C
169.890,Bm7b5
170.570,E79b
171.280,A-7
171.970,A-/G
172.680,F#m7b5
173.390,B7
174.090,E-7
174.770,A7
175.460,D-7
176.160,G7
176.860,Cj7
178.240,N.C.
179.690,Cj7
181.110,Cj7
182.470,C-7
183.850,C-7
185.240,D7/C
186.620,C#/C
188.020,Cj7
189.370,A7
190.740,D-7
192.120,G7
193.520,Cj7
194.920,Cj7
196.330,F-7
197.740,A#7
199.140,D#j7
200.510,D-7
201.210,G7
201.920,Cj7
203.330,Cj7
204.730,C-7
206.110,C-7
207.520,D7/C
208.920,C#/C
210.310,Cj7
211.700,A7
213.090,D-7
213.790,D-/C
214.480,Bm7b5
215.190,E79b
215.890,A-7
216.590,A-/G
217.280,F#m7b5
217.970,B7
218.680,E-7
219.370,A7
220.030,D-7
220.730,G7
221.410,Cj7
222.750,N.C.
224.240,Cj7
225.670,Cj7
227.040,C-7
228.410,C-7
229.760,D7/C
231.120,C#/C
232.500,Cj7
233.890,A7
235.300,D-7
236.700,G7
238.090,Cj7
239.480,Cj7
240.830,F-7
242.220,A#7
243.600,D#j7
244.990,D-7
245.690,G7
246.400,Cj7
247.770,Cj7
249.170,C-7
250.570,C-7
251.950,D7/C
253.340,C#/C
254.720,Cj7
256.110,A7
257.520,D-7
258.220,D-/C
258.920,Bm7b5
259.620,E79b
260.310,A-7
261.020,A-/G
261.750,F#m7b5
262.440,B7
263.140,E-7
263.850,A7
264.560,D-7
265.300,G7
266.020,Cj7
267.490,N.C.
268.970,Cj7
270.400,Cj7
271.810,C-7
273.190,C-7
274.580,D7/C
276.020,C#/C
277.420,Cj7
278.770,A7
280.160,D-7
281.610,G7
283.000,Cj7
284.410,Cj7
285.770,F-7
287.170,A#7
