time,chord
667.0,G:hdim7
667.4,G:hdim7
668.2,G:hdim7
668.4,G:hdim7
669.8,G:hdim7
670.0,G:hdim7
671.4,C:aug(b7)
671.6,C:aug(b7)
672.2,C:aug(b7)
672.6,C:aug(b7)
673.0,C:aug(b7)
673.8,F:hdim7
674.2,F:hdim7
674.4,F:hdim7
675.8,F:hdim7
676.0,F:hdim7
677.4,F:hdim7
677.6,F:hdim7
679.0,A#:aug(b7)
679.2,A#:aug(b7)
680.6,A#:aug(b7)
681.2,A#:aug(b7)
681.6,A#:aug(b7)
682.0,D:hdim7
682.4,D:hdim7
682.8,D:hdim7
683.2,D:hdim7
684.2,G:aug(b7)
684.4,G:aug(b7)
685.8,G:aug(b7)
686.0,G:aug(b7)
687.4,G:aug(b7)
687.6,G:aug(b7)
689.0,G:aug(b7)
689.2,G:aug(b7)
690.6,C:maj7
690.8,C:maj7
692.2,C:maj7
692.4,C:maj7
693.8,C:maj7
694.0,C:maj7
695.4,C:maj7
695.6,C:maj7
697.0,C:maj7
697.2,C:maj7
698.6,C:maj7
698.8,C:maj7
699.2,C:maj7
699.6,C:maj7
701.0,G:hdim7
701.2,G:hdim7
702.6,G:hdim7
702.8,G:hdim7
704.2,G:hdim7
704.4,G:hdim7
705.8,G:hdim7
706.0,G:hdim7
707.4,C:aug(b7)
707.6,C:aug(b7)
709.0,C:aug(b7)
709.2,C:aug(b7)
710.6,C:aug(b7)
711.0,C:aug(b7)
711.8,F:hdim7
712.0,F:hdim7
712.8,F:hdim7
713.2,F:hdim7
714.6,F:hdim7
715.2,A#:aug(b7)
715.6,A#:aug(b7)
716.0,A#:aug(b7)
716.4,A#:aug(b7)
716.8,D:hdim7
717.2,D:hdim7
717.6,D:hdim7
718.0,D:hdim7
718.4,G:aug(b7)
718.8,G:aug(b7)
719.2,G:aug(b7)
719.6,G:aug(b7)
720.0,C:maj7
720.4,C:maj7
720.8,C:maj7
721.2,C:maj7
721.6,C:maj7
722.0,C:maj7
722.4,C:maj7
722.8,C:maj7
723.2,C:min7
723.6,C:min7
724.0,C:min7
724.4,C:min7
725.4,F:7
725.6,F:7
727.0,F:7
727.4,F:7
727.8,F:7
728.2,A#:maj7
728.4,A#:maj7
729.6,A#:maj7
730.0,A#:maj7
731.4,A#:maj7
731.6,A#:maj7
733.0,A#:maj7
733.2,A#:maj7
734.6,A#:maj7
734.8,A#:maj7
735.6,A#:maj7
736.0,A#:maj7
736.4,Gb:7
736.8,Gb:7
737.2,Gb:7
737.6,Gb:7
738.0,Gb:7
738.4,Gb:7
738.8,Gb:7
739.2,Gb:7
739.6,G:7
740.0,G:7
740.4,G:7
740.8,G:7
741.2,G:7
741.6,G:7
742.0,G:7
742.4,G:7
742.8,G:hdim7
743.8,G:hdim7
744.0,G:hdim7
745.4,G:hdim7
745.6,G:hdim7
747.0,G:hdim7
747.2,G:hdim7
748.6,C:aug(b7)
748.8,C:aug(b7)
750.2,C:aug(b7)
750.4,C:aug(b7)
751.8,C:aug(b7)
752.0,C:aug(b7)
752.6,C:aug(b7)
753.0,F:hdim7
753.4,F:hdim7
753.8,F:hdim7
754.0,F:hdim7
755.4,F:hdim7
756.0,A#:aug(b7)
756.4,A#:aug(b7)
756.8,A#:aug(b7)
757.0,A#:aug(b7)
758.4,A#:aug(b7)
758.6,A#:aug(b7)
760.0,D:hdim7
760.2,D:hdim7
761.0,D:hdim7
762.4,D:hdim7
762.6,D:hdim7
764.0,D:hdim7
764.2,D:hdim7
765.6,G:aug(b7)
765.8,G:aug(b7)
767.2,G:aug(b7)
767.4,G:aug(b7)
768.8,G:aug(b7)
769.0,G:aug(b7)
770.4,G:aug(b7)
770.6,G:aug(b7)
772.0,C:maj7
772.4,C:maj7
772.8,C:maj7
773.2,C:maj7
773.6,C:maj7
774.0,C:maj7
774.8,C:maj7
775.2,C:maj7
776.0,G:hdim7
776.2,G:hdim7
777.6,G:hdim7
777.8,G:hdim7
778.8,G:hdim7
779.2,G:hdim7
779.6,C:aug(b7)
780.0,C:aug(b7)
780.4,C:aug(b7)
780.8,C:aug(b7)
781.6,F:hdim7
781.8,F:hdim7
783.0,F:hdim7
783.4,F:hdim7
783.8,F:hdim7
784.2,A#:aug(b7)
784.6,A#:aug(b7)
785.0,A#:aug(b7)
785.4,A#:aug(b7)
785.8,D:hdim7
786.2,D:hdim7
786.6,D:hdim7
787.0,D:hdim7
788.2,G:aug(b7)
788.4,G:aug(b7)
789.8,G:aug(b7)
790.0,G:aug(b7)
790.4,G:aug(b7)
791.0,G:aug(b7)
791.8,C:maj7
792.0,C:maj7
793.4,C:maj7
793.6,C:maj7
795.0,C:maj7
795.2,C:maj7
796.6,C:maj7
796.8,C:maj7
797.6,C:maj7
798.0,C:maj7
798.4,C:maj7
798.8,C:maj7
799.6,G:hdim7
799.8,G:hdim7
801.2,G:hdim7
801.4,G:hdim7
802.8,G:hdim7
803.0,G:hdim7
804.4,G:hdim7
804.8,C:aug(b7)
805.2,C:aug(b7)
805.6,C:aug(b7)
806.0,C:aug(b7)
806.4,F:hdim7
806.8,F:hdim7
807.2,F:hdim7
808.0,F:hdim7
808.4,A#:aug(b7)
808.8,A#:aug(b7)
809.2,A#:aug(b7)
809.6,A#:aug(b7)
810.0,D:hdim7
810.2,D:hdim7
811.6,D:hdim7
811.8,D:hdim7
813.2,D:hdim7
813.6,D:hdim7
814.0,G:aug(b7)
814.4,G:aug(b7)
814.8,G:aug(b7)
815.2,G:aug(b7)
815.6,C:maj7
816.0,C:maj7
816.4,C:maj7
816.8,C:maj7
817.2,C:maj7
817.6,C:maj7
818.0,C:maj7
818.4,C:maj7
818.8,C:min7
819.2,C:min7
819.6,C:min7
820.0,C:min7
820.4,F:7
820.8,F:7
821.2,F:7
821.6,F:7
822.0,A#:maj7
822.4,A#:maj7
822.8,A#:maj7
823.2,A#:maj7
823.6,A#:maj7
824.0,A#:maj7
824.4,A#:maj7
824.8,A#:maj7
825.8,Gb:7
826.0,Gb:7
827.4,Gb:7
827.6,Gb:7
828.6,Gb:7
829.0,Gb:7
