time,chord
6.380,D#6
9.560,F#o7
12.710,F-7
15.870,A#7
17.400,G-7b5
18.210,C79b
19.010,F-7
22.230,G#-6
23.810,C#9
25.410,D#j7
28.610,D#6
30.200,Dm7b5
30.960,G7
31.730,C-
33.400,C-j7
35.040,C-7
36.670,C-6
38.340,G-7
39.960,G-7/F
41.630,C7
44.970,Bb/F
48.340,F9
51.700,A#sus4
54.890,A#7
58.070,D#6
61.320,F#o7
64.610,F-7
67.840,A#7
69.390,C79b
70.980,F-7
74.250,G#-6
75.910,Bb7
77.550,A#-7
80.830,D#75#
84.100,G#j7
87.470,D-7b5
89.140,G7
90.790,C-
94.180,F7
96.690,Db7
97.550,Ebj7
100.980,Ab-
102.670,A#7
104.310,D#6
107.640,F-7
109.230,A#7
110.920,D#6
114.230,F#o7
117.610,F-7
120.910,A#7
122.600,C79b
124.260,F-7
127.550,G#-6
129.210,C#9
130.910,D#j7
132.640,F-7
134.300,D#6
136.000,Dm7b5
136.880,G7
137.720,C-
141.100,C-j7
144.510,G-7
146.210,G-7/F
147.900,C7
151.360,Bb/F
154.750,F7
158.120,A#sus4
161.270,A#7
164.430,D#6
167.630,F#o7
170.900,F-7
174.190,A#7
175.870,C79b
177.580,F-7
180.850,G#-6
182.490,Bb7
184.170,D#j7
190.820,G#j7
194.240,D-7b5
195.970,G7
197.700,C-
201.290,F7
204.000,Db7
204.890,Ebj7
206.780,F-7
207.730,G-7
208.730,Ab-
