time,chord
15.080,Bbj7
15.540,G-7
15.980,C-7
16.440,F7
16.900,D-7
17.360,G-7
17.810,C-7
18.260,F7
18.710,Bbj7
19.170,Bb7
19.630,Eb7
20.080,Eo7
20.530,Bbj7
20.990,F7
21.440,Bbj7
22.360,Bbj7
22.820,G-7
23.290,C-7
23.740,F7
24.200,D-7
24.670,G-7
25.130,C-7
25.580,F7
26.030,Bbj7
26.490,Bb7
26.950,Eb7
27.410,Eo7
27.870,Bbj7
28.320,F7
28.780,Bbj7
29.240,Bbj7
29.700,D7
30.630,D7
31.570,G7
32.490,G7
33.420,C7
34.350,C7
35.280,F7
36.220,F7
37.150,Bbj7
37.620,G-7
38.070,C-7
38.540,F7
38.990,D-7
39.460,G-7
39.920,C-7
40.390,F7
40.850,Bb7
41.320,Bb7/D
41.780,Eb7
42.250,Eo7
42.710,Bb/F
43.190,Eb7
43.650,D-7
44.110,G7
44.570,C-7
45.040,F7
45.520,Bbj7
46.450,Bbj7
46.930,G-7
47.410,C-7
47.890,F7
48.360,D-7
48.830,G-7
49.300,C-7
49.780,F7
50.240,Bbj7
50.720,Bb7
51.170,Eb7
51.650,Eo7
52.110,Bbj7
52.580,F7
53.040,Bbj7
53.980,Bbj7
54.470,G-7
54.930,C-7
55.400,F7
55.890,D-7
56.350,G-7
56.830,C-7
57.280,F7
57.760,Bbj7
58.230,Bb7
58.710,Eb7
59.170,Eo7
59.650,Bbj7
60.120,F7
60.590,Bbj7
61.050,Bbj7
61.540,D7
62.490,D7
63.440,G7
64.380,G7
65.330,C7
66.280,C7
67.220,F7
68.150,F7
69.110,Bbj7
69.580,G-7
70.060,C-7
70.530,F7
71.020,D-7
71.490,G-7
71.950,C-7
72.420,F7
72.890,Bb7
73.360,Bb7/D
73.830,Eb7
74.300,Eo7
74.770,Bb/F
75.240,Eb7
75.700,D-7
76.170,G7
76.630,C-7
77.110,F7
77.570,Bbj7
78.520,Bbj7
78.970,G-7
79.430,C-7
79.900,F7
80.360,D-7
80.820,G-7
81.290,C-7
81.730,F7
82.200,Bbj7
82.660,Bb7
83.120,Eb7
83.590,Eo7
84.040,Bbj7
84.500,F7
84.970,Bbj7
85.900,Bbj7
86.360,G-7
86.830,C-7
87.310,F7
87.780,D-7
88.250,G-7
88.730,C-7
89.210,F7
89.700,Bbj7
90.160,Bb7
90.620,Eb7
91.120,Eo7
91.600,Bbj7
92.080,F7
92.560,Bbj7
93.040,Bbj7
93.510,D7
94.480,D7
95.430,G7
96.380,G7
97.340,C7
98.290,C7
99.250,F7
100.210,F7
101.150,Bbj7
101.630,G-7
102.110,C-7
102.570,F7
103.050,D-7
103.540,G-7
104.010,C-7
104.490,F7
104.970,Bb7
105.450,Bb7/D
105.930,Eb7
106.410,Eo7
106.880,Bb/F
107.340,Eb7
107.840,D-7
108.310,G7
108.790,C-7
109.270,F7
109.730,Bbj7
110.700,Bbj7
111.180,G-7
111.670,C-7
112.160,F7
112.640,D-7
113.130,G-7
113.610,C-7
114.080,F7
114.570,Bbj7
115.050,Bb7
115.530,Eb7
116.010,Eo7
116.500,Bbj7
116.970,F7
117.460,Bbj7
118.420,Bbj7
118.920,G-7
119.410,C-7
119.900,F7
120.390,D-7
120.880,G-7
121.360,C-7
121.830,F7
122.310,Bbj7
122.790,Bb7
123.280,Eb7
123.760,Eo7
124.240,Bbj7
124.720,F7
125.200,Bbj7
125.680,Bbj7
126.170,D7
127.150,D7
128.140,G7
129.120,G7
130.110,C7
131.080,C7
132.060,F7
133.030,F7
134.020,Bbj7
134.520,G-7
135.010,C-7
135.500,F7
135.990,D-7
136.480,G-7
136.970,C-7
137.470,F7
137.950,Bb7
138.440,Bb7/D
138.920,Eb7
139.400,Eo7
139.890,Bb/F
140.390,Eb7
140.880,D-7
141.380,G7
141.870,C-7
142.350,F7
142.840,Bbj7
143.830,Bbj7
144.320,G-7
144.820,C-7
145.320,F7
145.810,D-7
146.300,G-7
146.800,C-7
147.290,F7
147.770,Bbj7
148.270,Bb7
148.760,Eb7
149.240,Eo7
149.750,Bbj7
150.240,F7
150.730,Bbj7
151.720,Bbj7
152.230,G-7
152.730,C-7
153.230,F7
153.730,D-7
154.230,G-7
154.720,C-7
155.210,F7
155.710,Bbj7
156.210,Bb7
156.700,Eb7
157.200,Eo7
157.690,Bbj7
158.190,F7
158.670,Bbj7
159.170,Bbj7
159.670,D7
160.660,D7
161.660,G7
162.650,G7
163.630,C7
164.620,C7
165.630,F7
166.620,F7
167.610,Bbj7
168.110,G-7
168.600,C-7
169.090,F7
169.590,D-7
170.090,G-7
170.570,C-7
171.040,F7
171.560,Bb7
172.050,Bb7/D
172.540,Eb7
173.030,Eo7
173.520,Bb/F
174.030,Eb7
174.520,D-7
175.000,G7
175.560,C-7
176.190,F7
176.820,Bbj7
