time,chord
3.560,F:maj7
5.520,F:maj7
7.460,G:7(b5)
9.370,G:7(b5)
11.290,G:min7
13.200,C:7
15.150,A:hdim7
17.090,D:7(b9)
19.040,G:min7
20.980,Bb:min6
22.930,F:maj7
24.880,D:min7
26.840,G:7
28.790,G:7
30.750,Bb:min7
32.700,Eb:7
34.670,G:7
36.630,G:min7
37.620,C:7
38.590,F:maj6
40.530,C:7
42.540,F:maj7
44.500,F:maj7
46.480,G:7(b5)
48.430,G:7(b5)
50.430,G:min7
52.420,C:7
54.430,A:hdim7
56.420,D:7(b9)
58.400,G:min7
60.390,A:7(b9)
62.380,D:7
64.370,D:7(b9)
66.380,G:7(b9)
68.350,G:7(b9)
70.350,Gb:maj7
72.270,C:7
74.240,F:maj7
76.200,F:maj7
78.210,G:7(b5)
80.200,G:7(b5)
82.210,G:min7
84.200,C:7
86.210,A:hdim7
88.240,D:7(b9)
90.240,G:min7
92.270,Bb:min6
94.310,F:maj7
96.290,B:hdim7
97.300,E:7(#9)
98.320,A:maj7
100.300,Bb:dim7
102.320,B:min7
104.300,E:7
106.320,A:maj7
108.340,Bb:dim
110.400,B:min7
112.400,E:7
114.410,A:maj7
116.420,F#:min7
118.430,B:min7
120.450,E:7
122.470,C:maj7
124.510,C#:dim7
126.540,D:min7
128.550,G:7
130.560,G:min7
132.550,D:7(b9)
134.570,G:7
136.540,C:7(b9)
138.550,F:maj7
140.590,F:maj7
142.630,G:7(b5)
144.650,G:7(b5)
146.680,G:min7
148.710,C:7
150.730,A:hdim7
152.770,D:7
154.820,G:min7
156.840,Bb:min6
158.870,F:maj7
160.880,D:min7
162.860,G:7
164.880,G:7
166.880,Bb:min7
168.900,Eb:7
170.920,G:7
172.960,G:min7
173.970,C:7
174.990,F:maj6
177.000,C:7
179.010,F:maj7
181.050,F:maj7
183.080,G:7(b5)
185.100,G:7(b5)
187.120,G:min7
189.170,C:7
191.190,A:hdim7
193.190,D:7(b9)
195.170,G:min7
197.210,A:7(b9)
199.210,D:7
201.240,D:7(b9)
203.270,G:7(b9)
205.280,G:7(b9)
207.280,Gb:maj7
209.280,C:7
211.240,F:maj7
213.270,F:maj7
215.290,G:7(b5)
217.290,G:7(b5)
219.310,G:min7
221.310,C:7
223.320,A:hdim7
225.340,D:7(b9)
227.320,G:min7
229.340,Bb:min6
231.370,F:maj7
233.400,B:hdim7
234.380,E:7(#9)
235.400,A:maj7
237.410,Bb:dim7
239.420,B:min7
241.440,E:7
243.460,A:maj7
245.500,Bb:dim
247.530,B:min7
249.560,E:7
251.560,A:maj7
253.590,F#:min7
255.560,B:min7
257.570,E:7
259.550,C:maj7
261.590,C#:dim7
263.610,D:min7
265.630,G:7
267.640,G:min7
269.650,D:7(b9)
271.640,G:7
273.580,C:7(b9)
275.550,F:maj7
277.580,F:maj7
279.580,G:7(b5)
281.610,G:7(b5)
283.620,G:min7
285.650,C:7
287.680,A:hdim7
289.700,D:7
291.720,G:min7
293.760,Bb:min6
295.780,F:maj7
297.820,D:min7
299.850,G:7
301.900,G:7
303.950,Bb:min7
305.970,Eb:7
308.000,G:7
310.060,G:min7
311.080,C:7
312.070,F:maj6
314.100,C:7
316.160,F:maj7
318.260,F:maj7
320.370,G:7(b5)
322.430,G:7(b5)
324.490,G:min7
326.550,C:7
328.610,A:hdim7
330.670,D:7(b9)
332.740,G:min7
334.820,A:7(b9)
336.870,D:7
338.940,D:7(b9)
341.010,G:7(b9)
343.080,G:7(b9)
345.150,Gb:maj7
347.150,C:7
349.170,F:maj7
351.230,F:maj7
353.360,G:7(b5)
355.410,G:7(b5)
357.480,G:min7
359.550,C:7
361.620,A:hdim7
363.670,D:7(b9)
365.750,G:min7
367.830,Bb:min6
369.880,F:maj7
371.930,B:hdim7
372.970,E:7(#9)
373.980,A:maj7
376.050,Bb:dim7
378.100,B:min7
380.090,E:7
382.130,A:maj7
384.170,Bb:dim
386.230,B:min7
388.290,E:7
390.330,A:maj7
392.390,F#:min7
394.470,B:min7
396.460,E:7
398.500,C:maj7
400.560,C#:dim7
402.610,D:min7
404.660,G:7
406.700,G:min7
408.790,D:7(b9)
410.840,G:7
412.900,C:7(b9)
414.970,F:maj7
417.070,F:maj7
419.160,G:7(b5)
421.220,G:7(b5)
423.270,G:min7
425.350,C:7
427.420,A:hdim7
429.480,D:7
431.530,G:min7
433.600,Bb:min6
435.670,F:maj7
437.710,D:min7
439.740,G:7
441.820,G:7
443.870,Bb:min7
445.950,Eb:7
448.000,G:7
450.090,G:min7
451.120,C:7
452.110,F:maj6
454.180,F#:7
456.210,F:maj7
