time,chord
1.400,F:7
2.652,Bb:7
3.892,F:7
5.121,F:7
6.350,Bb:7
7.561,Bb:7
8.721,F:7
9.950,A:min7
10.521,D:7
11.121,G:min
12.310,C:7
13.532,F:7
14.750,C:7
15.942,F:7
17.161,Bb:7
18.361,F:7
19.630,F:7
20.822,Bb:7
22.062,Bb:7
23.241,F:7
24.422,A:min7
25.022,D:7
25.622,G:min
26.841,C:7
28.062,F:7
29.292,C:7
30.510,F:7
31.750,Bb:7
32.960,F:7
34.200,F:7
35.420,Bb:7
36.640,Bb:7
37.850,F:7
39.020,A:min7
39.630,D:7
40.220,G:min
41.430,C:7
42.640,F:7
43.860,C:7
45.070,F:7
46.270,Bb:7
47.480,F:7
48.660,F:7
49.860,Bb:7
51.050,Bb:7
52.240,F:7
53.450,A:min7
54.050,D:7
54.650,G:min
55.840,C:7
57.010,F:7
58.200,C:7
59.360,F:7
60.560,Bb:7
61.750,F:7
62.940,F:7
64.100,Bb:7
65.300,Bb:7
66.500,F:7
67.680,A:min7
68.280,D:7
68.850,G:min
70.050,C:7
71.260,F:7
72.460,C:7
73.620,F:7
74.800,Bb:7
75.980,F:7
77.190,F:7
78.390,Bb:7
79.600,Bb:7
80.770,F:7
81.970,A:min7
82.570,D:7
83.170,G:min
84.360,C:7
85.550,F:7
86.730,C:7
87.940,F:7
89.100,Bb:7
90.280,F:7
91.460,F:7
92.640,Bb:7
93.840,Bb:7
95.020,F:7
96.200,A:min7
96.790,D:7
97.360,G:min
98.550,C:7
99.740,F:7
100.920,C:7
102.060,F:7
103.270,Bb:7
104.410,F:7
105.580,F:7
106.750,Bb:7
107.940,Bb:7
109.130,F:7
110.330,A:min7
110.910,D:7
111.490,G:min
112.640,C:7
113.810,F:7
114.950,C:7
116.120,F:7
117.280,Bb:7
118.450,F:7
119.650,F:7
120.790,Bb:7
121.970,Bb:7
123.140,F:7
124.310,A:min7
124.910,D:7
125.480,G:min
126.660,C:7
127.830,F:7
129.000,C:7
130.220,F:7
131.370,Bb:7
132.570,F:7
133.760,F:7
134.960,Bb:7
136.140,Bb:7
137.320,F:7
138.500,A:min7
139.080,D:7
139.660,G:min
140.810,C:7
141.990,F:7
143.150,C:7
144.330,F:7
145.490,Bb:7
146.640,F:7
147.820,F:7
148.990,Bb:7
150.150,Bb:7
151.310,F:7
152.460,A:min7
153.050,D:7
153.620,G:min
154.800,C:7
155.960,F:7
157.110,C:7
158.260,F:7
159.430,Bb:7
160.570,F:7
161.750,F:7
162.930,Bb:7
164.110,Bb:7
165.290,F:7
166.430,A:min7
167.010,D:7
167.590,G:min
168.730,C:7
169.880,F:7
171.030,C:7
172.180,F:7
173.340,Bb:7
174.490,F:7
175.630,F:7
176.770,Bb:7
177.930,Bb:7
179.080,F:7
180.220,A:min7
180.780,D:7
181.340,G:min
182.470,C:7
183.620,F:7
184.770,C:7
185.910,F:7
187.090,Bb:7
188.240,F:7
189.430,F:7
190.570,Bb:7
191.720,Bb:7
192.870,F:7
194.040,A:min7
194.610,D:7
195.190,G:min
196.350,C:7
197.490,F:7
198.640,C:7
199.820,F:7
200.980,Bb:7
202.150,F:7
203.290,F:7
204.460,Bb:7
205.630,Bb:7
206.770,F:7
207.910,A:min7
208.480,D:7
209.050,G:min
210.200,C:7
211.320,F:7
212.430,C:7
213.570,F:7
214.700,Bb:7
215.840,F:7
217.020,F:7
218.130,Bb:7
219.280,Bb:7
220.460,F:7
221.590,A:min7
222.160,D:7
222.740,G:min
223.870,C:7
224.990,F:7
226.110,C:7
227.270,F:7
228.420,Bb:7
229.610,F:7
230.770,F:7
231.940,Bb:7
233.110,Bb:7
234.260,F:7
235.410,A:min7
235.990,D:7
236.580,G:min
237.730,C:7
238.880,F:7
240.070,C:7
241.230,F:7
242.400,Bb:7
243.550,F:7
244.690,F:7
245.850,Bb:7
246.980,Bb:7
248.100,F:7
249.240,A:min7
249.810,D:7
250.380,G:min
251.510,C:7
252.640,F:7
253.770,C:7
254.900,F:7
256.040,Bb:7
257.160,F:7
258.300,F:7
259.420,Bb:7
260.550,Bb:7
261.690,F:7
262.800,A:min7
263.360,D:7
263.920,G:min
265.040,C:7
266.150,F:7
267.250,C:7
268.360,F:7
269.480,Bb:7
270.570,F:7
271.700,F:7
272.790,Bb:7
273.930,Bb:7
275.010,F:7
276.100,A:min7
276.670,D:7
277.220,G:min
278.340,C:7
279.440,F:7
280.550,C:7
281.650,F:7
282.760,Bb:7
283.850,F:7
284.960,F:7
286.050,Bb:7
287.160,Bb:7
288.250,F:7
289.350,A:min7
289.910,D:7
290.460,G:min
291.590,C:7
292.700,F:7
293.810,C:7
294.910,F:7
296.020,Bb:7
297.130,F:7
298.220,F:7
299.310,Bb:7
300.410,Bb:7
301.500,F:7
302.590,A:min7
303.150,D:7
303.710,G:min
304.800,C:7
305.880,F:7
306.960,C:7
308.080,F:7
309.180,Bb:7
310.310,F:7
311.410,F:7
312.520,Bb:7
313.600,Bb:7
314.700,F:7
315.800,A:min7
316.340,D:7
316.890,G:min
317.990,C:7
319.080,F:7
320.190,C:7
321.280,F:7
322.390,Bb:7
323.490,F:7
324.600,F:7
325.700,Bb:7
326.820,Bb:7
327.910,F:7
329.000,A:min7
329.540,D:7
330.100,G:min
331.210,C:7
332.280,F:7
333.380,C:7
334.450,F:7
335.550,Bb:7
336.640,F:7
337.710,F:7
338.800,Bb:7
339.900,Bb:7
340.990,F:7
342.090,A:min7
342.640,D:7
343.180,G:min
344.270,C:7
345.360,F:7
346.420,C:7
347.470,F:7
348.550,Bb:7
349.630,F:7
350.700,F:7
351.770,Bb:7
352.840,Bb:7
353.900,F:7
354.980,A:min7
355.520,D:7
356.050,G:min
357.090,C:7
358.160,F:7
359.220,C:7
360.290,F:7
361.350,Bb:7
362.410,F:7
363.450,F:7
364.530,Bb:7
365.600,Bb:7
366.670,F:7
367.730,A:min7
368.270,D:7
368.800,G:min
369.890,C:7
370.960,F:7
372.020,C:7
373.050,F:7
374.140,Bb:7
375.230,F:7
376.350,F:7
377.470,Bb:7
378.590,Bb:7
379.750,F:7
380.840,A:min7
381.380,D:7
381.930,G:min
383.010,C:7
384.110,F:7
385.210,C:7
386.320,F:7
387.410,Bb:7
388.520,F:7
389.610,F:7
390.690,Bb:7
391.800,Bb:7
392.880,F:7
394.010,A:min7
394.530,D:7
395.070,G:min
396.110,C:7
397.210,F:7
398.270,C:7
399.400,F:7
400.460,Bb:7
401.540,F:7
402.630,F:7
403.710,Bb:7
404.770,Bb:7
405.860,F:7
406.920,A:min7
407.470,D:7
407.990,G:min
409.070,C:7
410.160,F:7
411.250,C:7
412.370,F:7
413.440,Bb:7
414.520,F:7
415.590,F:7
416.670,Bb:7
417.720,Bb:7
418.830,F:7
419.910,A:min7
420.420,D:7
420.990,G:min
422.080,C:7
423.180,F:7
424.250,C:7
425.330,F:7
426.400,Bb:7
427.500,F:7
428.590,F:7
429.680,Bb:7
430.760,Bb:7
431.840,F:7
432.910,A:min7
433.460,D:7
433.980,G:min
435.020,C:7
436.120,F:7
437.190,C:7
438.270,F:7
439.410,Bb:7
440.580,F:7
441.740,F:7
442.820,Bb:7
443.940,Bb:7
445.090,F:7
446.250,A:min7
446.800,D:7
447.390,G:min
448.510,C:7
449.660,F:7
450.780,C:7
451.960,F:7
453.110,Bb:7
454.270,F:7
455.460,F:7
456.660,Bb:7
457.820,Bb:7
458.990,F:7
460.130,A:min7
460.710,D:7
461.280,G:min
462.450,C:7
463.630,F:7
