time,chord
2.040,G#:maj7
4.200,G#:maj7
6.350,F:7
8.490,F:7
10.630,A#:7
12.760,D#:7
14.940,G#:maj
17.080,D#:7
19.270,G#:maj7
21.460,G#:maj7
23.640,F:7
25.860,F:7
28.030,A#:7
30.160,D#:7
32.340,G#:maj
34.490,G#:7
36.660,C#:maj
38.800,C#:min
40.960,G#:maj7
43.130,G#:7
45.310,C#:maj6
47.480,D:hdim7
48.560,G:7(b9)
49.630,C:min7
50.720,B:dim7
51.810,A#:min7
52.930,D#:7
54.000,G#:maj7
56.130,G#:maj7
58.310,F:7
60.480,F:7
62.660,A#:7
64.860,D#:7
67.060,G#:maj
69.270,G#:maj
71.490,G#:maj7
73.660,G#:maj7
75.880,F:7
78.070,F:7
80.250,A#:7
82.430,D#:7
84.630,G#:maj
86.790,D#:7
89.010,G#:maj7
91.170,G#:maj7
93.330,F:7
95.570,F:7
97.770,A#:7
99.970,D#:7
102.140,G#:maj
104.300,G#:7
106.480,C#:maj
108.710,C#:min
110.850,G#:maj7
113.010,G#:7
115.150,C#:maj6
117.280,D:hdim7
118.340,G:7(b9)
119.410,C:min7
120.500,B:dim7
121.590,A#:min7
122.650,D#:7
123.730,G#:maj7
125.970,G#:maj7
128.140,F:7
130.320,F:7
132.500,A#:7
134.660,D#:7
136.800,G#:maj
138.940,G#:maj
140.980,G#:maj7
143.100,G#:maj7
145.220,F:7
147.410,F:7
149.530,A#:7
151.670,D#:7
153.800,G#:maj
155.940,D#:7
158.000,G#:maj7
160.150,G#:maj7
162.350,F:7
164.530,F:7
166.690,A#:7
168.830,D#:7
170.960,G#:maj
173.100,G#:7
175.290,C#:maj
177.500,C#:min
179.710,G#:maj7
181.910,G#:7
184.080,C#:maj6
186.250,D:hdim7
187.360,G:7(b9)
188.460,C:min7
189.540,B:dim7
190.620,A#:min7
191.680,D#:7
192.760,G#:maj7
194.970,G#:maj7
197.160,F:7
199.270,F:7
201.390,A#:7
203.540,D#:7
205.710,G#:maj
207.990,G#:maj
