time,chord
86.8,D:min7
87.0,D:min7
87.4,D:min7
87.6,D:min7
88.6,D:min7
88.8,D:min7
89.8,D:min7
90.0,D:min7
91.0,D:min7
91.2,D:min7
92.2,D:min7
92.4,D:min7
93.4,D:min7
93.6,D:min7
94.6,D:min7
94.8,D:min7
95.8,D:min7
96.0,D:min7
97.0,D:min7
97.2,D:min7
98.2,D:min7
98.4,D:min7
99.4,D:min7
99.6,D:min7
100.6,D:min7
100.8,D:min7
101.8,D:min7
102.0,D:min7
103.0,D:min7
103.2,D:min7
104.2,D:min7
104.4,D:min7
105.4,D:min7
105.6,D:min7
106.2,D:min7
106.4,D:min7
106.8,D:min7
107.0,D:min7
107.4,D:min7
107.6,D:min7
108.0,D:min7
108.2,D:min7
108.6,D:min7
108.8,D:min7
109.2,D:min7
109.4,D:min7
109.8,D:min7
110.0,D:min7
110.4,D:min7
110.6,D:min7
111.0,D:min7
111.2,D:min7
111.6,D:min7
111.8,D:min7
112.2,D:min7
112.4,D:min7
112.8,D:min7
113.0,D:min7
113.4,D:min7
113.6,D:min7
114.0,D:min7
114.2,D:min7
114.6,D:min7
114.8,D:min7
115.2,D:min7
115.4,D:min7
115.8,D:min7
116.0,D:min7
116.4,D:min7
116.6,D:min7
117.0,D:min7
117.2,D:min7
117.6,D:min7
117.8,D:min7
118.2,D:min7
118.4,D:min7
118.8,D:min7
119.0,D:min7
119.4,D:min7
119.6,D:min7
120.0,D#:min7
120.2,D#:min7
120.6,D#:min7
120.8,D#:min7
121.2,D#:min7
121.4,D#:min7
121.8,D#:min7
122.0,D#:min7
122.4,D#:min7
122.6,D#:min7
123.0,D#:min7
123.2,D#:min7
123.6,D#:min7
123.8,D#:min7
124.2,D#:min7
124.4,D#:min7
124.8,D#:min7
125.0,D#:min7
125.4,D#:min7
125.6,D#:min7
126.0,D#:min7
126.2,D#:min7
126.6,D#:min7
126.8,D#:min7
127.2,D#:min7
127.4,D#:min7
128.4,D#:min7
128.6,D#:min7
129.6,D#:min7
129.8,D#:min7
130.8,D#:min7
131.0,D#:min7
132.0,D#:min7
132.2,D#:min7
133.2,D#:min7
133.4,D#:min7
134.4,D#:min7
134.6,D#:min7
135.6,D:min7
135.8,D:min7
136.8,D:min7
137.0,D:min7
138.0,D:min7
138.2,D:min7
139.2,D:min7
139.4,D:min7
139.8,D:min7
140.0,D:min7
141.0,D:min7
141.2,D:min7
142.2,D:min7
142.4,D:min7
142.8,D:min7
143.2,D:min7
143.4,D:min7
144.4,D:min7
144.6,D:min7
145.6,D:min7
145.8,D:min7
146.8,D:min7
147.0,D:min7
148.0,D:min7
148.2,D:min7
149.2,D:min7
149.4,D:min7
150.4,D:min7
150.6,D:min7
151.6,D:min7
151.8,D:min7
152.8,D:min7
153.0,D:min7
154.0,D:min7
154.2,D:min7
155.2,D:min7
155.4,D:min7
156.4,D:min7
156.6,D:min7
157.6,D:min7
157.8,D:min7
158.2,D:min7
158.6,D:min7
158.8,D:min7
159.2,D:min7
159.4,D:min7
159.8,D:min7
160.0,D:min7
160.4,D:min7
160.6,D:min7
161.0,D:min7
161.2,D:min7
161.6,D:min7
