time,chord
29.910,Ebj7
31.130,F-
31.740,Bb7
32.330,Ebj7
33.550,Eb-
34.170,Ab7
34.790,Dbj7
36.000,G-7
36.610,C7
37.230,Fj7
38.470,Fm7b5
39.090,Bb7
39.700,Ebj7
40.910,F-
41.520,Bb7
42.140,Ebj7
43.360,Eb-
43.970,Ab7
44.570,Dbj7
45.810,G-7
46.430,C7
47.020,Fj7
48.230,Fm7b5
48.840,Bb7
49.150,A79b
49.460,Abj7
50.690,Abj7
51.930,Ab-
53.170,Db7
54.440,Gbj7
55.690,Gbj7
56.960,Fm7b5
58.200,Bb7
59.440,Ebj7
60.670,F-
61.300,Bb7
61.920,Ebj7
63.150,Eb-7
63.780,Ab7
64.400,Dbj7
65.640,G-7
66.260,C7
66.880,Fj7
68.140,Fm7b5
68.770,Bb7
69.420,Eb7
70.030,D7
70.650,Db7
71.280,C7
71.910,Fm7
73.160,Ebj7
74.410,Ebj7
75.650,F-
76.280,Bb7
76.910,Ebj7
78.160,Eb-
78.780,Ab7
79.410,Dbj7
80.660,G-7
81.290,C7
81.910,Fj7
83.180,Fm7b5
83.800,Bb7
84.420,Ebj7
85.690,F-
86.310,Bb7
86.930,Ebj7
88.190,Eb-
88.810,Ab7
89.440,Dbj7
90.680,G-7
91.300,C7
91.930,Fj7
93.180,Fm7b5
93.800,Bb7
94.110,A79b
94.420,Abj7
95.670,Abj7
96.940,Ab-
98.200,Db7
99.450,Gbj7
100.720,Gbj7
101.970,Fm7b5
103.220,Bb7
104.450,Ebj7
105.730,F-
106.360,Bb7
106.990,Ebj7
108.240,Eb-7
108.880,Ab7
109.500,Dbj7
110.770,G-7
111.400,C7
112.020,Fj7
113.270,Fm7b5
113.900,Bb7
114.530,Eb7
115.160,D7
115.790,Db7
116.400,C7
117.030,Fm7
118.280,Ebj7
119.530,Ebj7
120.800,F-
121.430,Bb7
122.040,Ebj7
123.290,Eb-
123.910,Ab7
124.530,Dbj7
125.770,G-7
126.400,C7
127.020,Fj7
128.260,Fm7b5
128.880,Bb7
129.500,Ebj7
130.780,F-
131.410,Bb7
132.030,Ebj7
133.280,Eb-
133.900,Ab7
134.520,Dbj7
135.760,G-7
136.370,C7
136.990,Fj7
138.230,Fm7b5
138.870,Bb7
139.170,A79b
139.480,Abj7
140.720,Abj7
141.980,Ab-
143.230,Db7
144.470,Gbj7
145.710,Gbj7
146.950,Fm7b5
148.190,Bb7
149.450,Ebj7
150.690,F-
151.320,Bb7
151.940,Ebj7
153.180,Eb-7
153.790,Ab7
154.410,Dbj7
155.640,G-7
156.250,C7
156.860,Fj7
158.100,Fm7b5
158.720,Bb7
159.340,Eb7
159.960,D7
160.570,Db7
161.190,C7
161.810,Fm7
163.050,Ebj7
164.300,Ebj7
165.540,F-
166.160,Bb7
166.780,Ebj7
168.030,Eb-
168.670,Ab7
169.280,Dbj7
170.530,G-7
171.180,C7
171.800,Fj7
173.050,Fm7b5
173.670,Bb7
174.280,Ebj7
175.530,F-
176.150,Bb7
176.770,Ebj7
178.030,Eb-
178.650,Ab7
179.260,Dbj7
180.510,G-7
181.130,C7
181.750,Fj7
182.990,Fm7b5
183.610,Bb7
183.910,A79b
184.230,Abj7
185.470,Abj7
186.700,Ab-
187.950,Db7
189.180,Gbj7
190.430,Gbj7
191.660,Fm7b5
192.890,Bb7
194.130,Ebj7
195.370,F-
195.990,Bb7
196.610,Ebj7
197.850,Eb-7
198.470,Ab7
199.080,Dbj7
200.330,G-7
200.950,C7
201.580,Fj7
202.830,Fm7b5
203.450,Bb7
204.060,Eb7
204.680,D7
205.300,Db7
205.950,C7
206.570,Fm7
207.830,Ebj7
209.080,Ebj7
210.320,F-
210.950,Bb7
211.560,Ebj7
212.810,Eb-
213.440,Ab7
214.050,Dbj7
215.300,G-7
215.920,C7
216.540,Fj7
217.780,Fm7b5
218.400,Bb7
219.010,Ebj7
220.250,F-
220.880,Bb7
221.500,Ebj7
222.740,Eb-
223.360,Ab7
223.970,Dbj7
225.210,G-7
225.830,C7
226.440,Fj7
227.650,Fm7b5
228.260,Bb7
228.570,A79b
228.870,Abj7
230.120,Abj7
231.360,Ab-
232.600,Db7
233.830,Gbj7
235.060,Gbj7
236.290,Fm7b5
237.540,Bb7
238.770,Ebj7
240.020,F-
240.640,Bb7
241.250,Ebj7
242.490,Eb-7
243.100,Ab7
243.700,Dbj7
244.950,G-7
245.570,C7
246.190,Fj7
247.430,Fm7b5
248.050,Bb7
248.700,Eb7
249.310,D7
249.930,Db7
250.550,C7
251.180,Fm7
252.420,Ebj7
253.620,Ebj7
254.860,F-
255.480,Bb7
256.110,Ebj7
257.380,Eb-
258.020,Ab7
258.660,Dbj7
259.930,G-7
260.560,C7
261.170,Fj7
262.460,Fm7b5
263.100,Bb7
263.740,Ebj7
265.010,F-
265.650,Bb7
266.290,Ebj7
267.560,Eb-
268.190,Ab7
268.830,Dbj7
270.090,G-7
270.710,C7
271.330,Fj7
272.600,Fm7b5
273.240,Bb7
273.560,A79b
273.880,Abj7
275.150,Abj7
276.410,Ab-
277.690,Db7
278.950,Gbj7
280.230,Gbj7
281.500,Fm7b5
282.760,Bb7
284.020,Ebj7
