time,chord
5.440,Eb:maj7
6.670,Eb:maj7
7.860,D:hdim7
9.080,G:7(b9)
10.258,C:min7
11.530,C:min7
12.740,Bb:min7
13.970,Eb:7
15.175,Ab:maj7
16.400,Db:9
17.625,Eb:maj7
18.850,C:min7
20.065,F:7
21.275,F:7
22.490,F:min7
23.705,Bb:7
24.915,Eb:maj7
26.140,Eb:maj7
27.360,D:hdim7
28.585,G:7(b9)
29.795,C:min7
31.015,C:min7
32.245,Bb:min7
33.460,Eb:7
34.670,Ab:maj7
35.860,Db:9
37.065,Eb:maj7
38.270,A:hdim7
38.870,D:7
39.475,Eb:maj7
40.080,D:7
40.675,G:7
41.270,C:7
41.880,F:min7
42.490,Bb:7
43.080,Eb:maj6
44.270,Eb:maj7
45.510,Eb:maj7
46.740,D:hdim7
47.955,G:7(b9)
49.140,C:min7
50.345,C:min7
51.550,Bb:min7
52.750,Eb:7
53.940,Ab:maj7
55.155,Db:9
56.360,Eb:maj7
57.570,C:min7
58.780,F:7
59.980,F:7
61.170,F:min7
62.375,Bb:7
63.550,Eb:maj7
64.750,Eb:maj7
65.940,D:hdim7
67.135,G:7(b9)
68.320,C:min7
69.510,C:min7
70.690,Bb:min7
71.885,Eb:7
73.065,Ab:maj7
74.255,Db:9
75.450,Eb:maj7
76.620,A:hdim7
77.220,D:7
77.810,Eb:maj7
78.395,D:7
78.980,G:7
79.565,C:7
80.160,F:min7
80.755,Bb:7
81.345,Eb:maj6
81.950,Bb:7
82.545,Eb:maj7
83.745,Eb:maj7
84.960,D:hdim7
86.165,G:7(b9)
87.380,C:min7
88.595,C:min7
89.810,Bb:min7
91.025,Eb:7
92.225,Ab:maj7
93.425,Db:9
94.620,Eb:maj7
95.815,C:min7
97.000,F:7
98.190,F:7
99.360,F:min7
100.540,Bb:7
101.730,Eb:maj7
102.910,Eb:maj7
104.100,D:hdim7
105.280,G:7(b9)
106.465,C:min7
107.640,C:min7
108.835,Bb:min7
110.015,Eb:7
111.195,Ab:maj7
112.385,Db:9
113.575,Eb:maj7
114.775,A:hdim7
115.380,D:7
115.980,Eb:maj7
116.575,D:7
117.170,G:7
117.770,C:7
118.365,F:min7
118.970,Bb:7
119.565,Eb:maj6
120.120,Bb:7
120.700,Eb:maj7
121.930,Eb:maj7
123.130,D:hdim7
124.315,G:7(b9)
125.520,C:min7
126.725,C:min7
127.915,Bb:min7
129.110,Eb:7
130.300,Ab:maj7
131.490,Db:9
132.690,Eb:maj7
133.880,C:min7
135.070,F:7
136.255,F:7
137.440,F:min7
138.605,Bb:7
139.795,Eb:maj7
140.975,Eb:maj7
142.155,D:hdim7
143.335,G:7(b9)
144.505,C:min7
145.700,C:min7
146.870,Bb:min7
148.050,Eb:7
149.220,Ab:maj7
150.400,Db:9
151.580,Eb:maj7
152.745,A:hdim7
153.330,D:7
153.920,Eb:maj7
154.515,D:7
155.105,G:7
155.695,C:7
156.280,F:min7
156.860,Bb:7
157.435,Eb:maj6
158.010,Bb:7
158.590,Eb:maj7
159.775,Eb:maj7
160.950,D:hdim7
162.150,G:7(b9)
163.315,C:min7
164.495,C:min7
165.670,Bb:min7
166.835,Eb:7
168.010,Ab:maj7
169.195,Db:9
170.365,Eb:maj7
171.560,C:min7
172.720,F:7
173.895,F:7
175.080,F:min7
176.250,Bb:7
177.425,Eb:maj7
178.585,Eb:maj7
179.740,D:hdim7
180.900,G:7(b9)
182.065,C:min7
183.235,C:min7
184.395,Bb:min7
185.540,Eb:7
186.705,Ab:maj7
187.850,Db:9
189.020,Eb:maj7
190.170,A:hdim7
190.745,D:7
191.325,Eb:maj7
191.905,D:7
192.475,G:7
193.050,C:7
193.610,F:min7
194.170,Bb:7
194.735,Eb:maj6
195.300,Bb:7
195.875,Eb:maj7
197.035,Eb:maj7
198.190,D:hdim7
199.345,G:7(b9)
200.515,C:min7
201.640,C:min7
202.790,Bb:min7
203.935,Eb:7
205.060,Ab:maj7
206.215,Db:9
207.360,Eb:maj7
208.500,C:min7
209.650,F:7
210.815,F:7
211.965,F:min7
213.110,Bb:7
214.265,Eb:maj7
215.410,Eb:maj7
216.565,D:hdim7
217.715,G:7(b9)
218.855,C:min7
219.985,C:min7
221.120,Bb:min7
222.255,Eb:7
223.405,Ab:maj7
224.550,Db:9
225.685,Eb:maj7
226.815,A:hdim7
227.385,D:7
227.945,Eb:maj7
228.505,D:7
229.085,G:7
229.660,C:7
230.220,F:min7
230.785,Bb:7
231.355,Eb:maj6
231.925,Bb:7
232.500,Eb:maj7
233.650,Eb:maj7
234.780,D:hdim7
235.935,G:7(b9)
237.060,C:min7
238.205,C:min7
239.340,Bb:min7
240.460,Eb:7
241.575,Ab:maj7
242.720,Db:9
243.830,Eb:maj7
244.965,C:min7
246.100,F:7
247.225,F:7
248.370,F:min7
249.520,Bb:7
250.655,Eb:maj7
251.810,Eb:maj7
252.960,D:hdim7
254.105,G:7(b9)
255.245,C:min7
256.380,C:min7
257.520,Bb:min7
258.645,Eb:7
259.785,Ab:maj7
260.920,Db:9
262.055,Eb:maj7
263.170,A:hdim7
263.725,D:7
264.280,Eb:maj7
264.840,D:7
265.405,G:7
265.980,C:7
266.545,F:min7
267.100,Bb:7
267.665,Eb:maj6
268.235,Bb:7
268.800,Eb:maj7
269.955,Eb:maj7
271.125,D:hdim7
272.280,G:7(b9)
273.425,C:min7
274.565,N
278.010,Ab:maj7
279.190,Db:9
280.360,Eb:maj7
281.520,C:min7
282.670,F:7
283.840,N
287.335,Eb:maj7
288.490,Eb:maj7
289.660,D:hdim7
290.835,G:7(b9)
291.970,C:min7
293.129,N
296.500,Ab:maj7
297.700,Db:9
298.860,Eb:maj7
300.030,A:hdim7
300.640,D:7
301.250,Eb:maj7
302.307,N
305.740,Eb:maj7
306.940,Eb:maj7
308.140,D:hdim7
309.350,G:7(b9)
310.510,C:min7
311.720,C:min7
312.910,Bb:min7
314.110,Eb:7
315.270,Ab:maj7
316.460,Db:9
317.660,Eb:maj7
318.820,C:min7
320.000,F:7
321.190,F:7
322.360,F:min7
323.530,Bb:7
324.690,Eb:maj7
325.880,Eb:maj7
327.060,D:hdim7
328.220,G:7(b9)
329.370,C:min7
330.540,C:min7
331.720,Bb:min7
332.880,Eb:7
334.040,Ab:maj7
335.220,Db:9
336.370,Eb:maj7
337.540,A:hdim7
338.140,D:7
338.720,Eb:maj7
339.300,D:7
339.900,G:7
340.500,C:7
341.090,F:min7
341.700,Bb:7
342.350,Eb:maj7
