time,chord
440.6,D-7
440.8,D-7
441.2,D-7
441.4,D-7
441.8,D-7
442.0,D-7
442.4,D-7
442.6,D-7
443.0,D-7
443.2,D-7
444.0,D-7
444.2,D-7
445.2,D-7
445.4,D-7
446.4,D-7
446.6,D-7
447.6,D-7
448.6,D-7
448.8,D-7
449.8,D-7
450.2,D-7
451.2,D-7
451.4,D-7
452.4,D-7
452.6,D-7
453.6,D-7
453.8,D-7
454.8,D-7
455.0,D-7
456.0,D-7
456.2,D-7
457.2,D-7
457.4,D-7
457.8,D-7
458.0,D-7
458.4,D-7
458.6,D-7
459.0,D-7
459.2,D-7
459.6,D-7
459.8,D-7
460.8,D-7
461.0,D-7
462.0,D-7
462.2,D-7
463.2,D-7
463.4,D-7
464.4,D-7
464.6,D-7
465.6,D-7
465.8,D-7
466.8,D-7
467.0,D-7
468.0,D-7
468.2,D-7
469.2,D-7
469.4,D-7
470.4,D-7
470.6,D-7
471.6,D-7
471.8,D-7
472.8,D-7
473.0,D-7
474.0,D-7
474.2,D-7
475.2,D-7
475.4,D-7
476.4,D-7
476.6,D-7
477.6,D-7
477.8,D-7
478.8,D-7
479.0,D-7
480.0,D-7
480.2,D-7
481.0,D-7
481.2,D-7
481.6,D-7
481.8,D-7
482.2,D-7
482.4,D-7
482.8,D-7
483.0,D-7
483.4,D-7
483.6,D-7
484.0,D-7
484.2,D-7
484.6,D-7
484.8,D-7
485.2,D-7
485.4,D-7
485.8,D#b-7
486.0,D#b-7
486.4,D#b-7
486.6,D#b-7
487.2,D#b-7
487.6,D#b-7
487.8,D#b-7
488.2,D#b-7
488.4,D#b-7
488.8,D#b-7
489.0,D#b-7
489.4,D#b-7
489.6,D#b-7
490.0,D#b-7
490.2,D#b-7
490.6,D#b-7
490.8,D#b-7
491.2,D#b-7
491.4,D#b-7
491.8,D#b-7
492.0,D#b-7
492.4,D#b-7
492.6,D#b-7
493.0,D#b-7
493.2,D#b-7
493.6,D#b-7
493.8,D#b-7
494.2,D#b-7
494.4,D#b-7
494.8,D#b-7
495.0,D#b-7
495.4,D#b-7
495.6,D#b-7
496.0,D-7
496.2,D-7
496.6,D-7
496.8,D-7
497.2,D-7
497.4,D-7
497.8,D-7
498.0,D-7
498.4,D-7
498.6,D-7
499.0,D-7
499.2,D-7
499.6,D-7
499.8,D-7
500.2,D-7
500.4,D-7
500.8,D-7
501.0,D-7
501.4,D-7
501.6,D-7
502.0,D-7
502.2,D-7
502.6,D-7
502.8,D-7
