time,chord
5.850,G:min7
6.440,C:7
7.030,G:min7
7.600,C:7
8.170,G:min7
8.730,C:7
9.300,G:min7
9.870,C:7
10.460,F:maj6
11.040,F:7/3
11.610,Bb:maj
12.190,B:hdim7
12.780,F:maj/5
13.350,Bb:7
13.940,A:min7
14.520,D:7
15.100,G:min7
15.670,C:7
16.260,G:min7
16.830,C:7
17.410,G:min7
17.980,C:7
18.560,G:min7
19.140,C:7
19.720,F:maj6
20.310,F:7/3
20.890,Bb:maj
21.470,B:hdim7
22.050,F:maj/5
23.210,F:maj6
24.390,F:7
25.560,F:7
26.720,Bb:maj6
27.910,Bb:maj6
29.070,G:7
30.250,G:7
31.420,C:7
32.590,C:7
33.760,G:min7
34.340,C:7
34.910,G:min7
35.480,C:7
36.060,G:min7
36.640,C:7
37.220,G:min7
37.800,C:7
38.390,F:maj6
38.980,F:7/3
39.560,Bb:maj
40.140,C:7
40.720,F:maj6
43.060,G:min7
43.640,C:7
44.230,G:min7
44.810,C:7
45.400,G:min7
45.990,C:7
46.580,G:min7
47.180,C:7
47.760,F:maj6
48.350,F:7/3
48.920,Bb:maj
49.520,B:hdim7
50.100,F:maj/5
52.450,G:min7
53.050,C:7
53.630,G:min7
54.210,C:7
54.790,G:min7
55.390,C:7
55.970,G:min7
56.550,C:7
57.130,F:maj6
57.710,F:7/3
58.290,Bb:maj
58.880,B:hdim7
59.450,F:maj/5
60.650,F:maj6
61.830,F:7
63.010,F:7
64.190,Bb:maj6
65.340,Bb:maj6
66.510,G:7
67.690,G:7
68.840,C:7
70.000,C:7
71.170,G:min7
71.770,C:7
72.360,G:min7
72.940,C:7
73.520,G:min7
74.110,C:7
74.710,G:min7
75.300,C:7
75.880,F:maj6
76.450,F:7/3
77.030,Bb:maj
77.620,C:7
78.190,F:maj6
80.530,G:min7
81.130,C:7
81.720,G:min7
82.310,C:7
82.890,G:min7
83.460,C:7
84.060,G:min7
84.650,C:7
85.240,F:maj6
85.820,F:7/3
86.420,Bb:maj
87.020,B:hdim7
87.600,F:maj/5
89.950,G:min7
90.560,C:7
91.140,G:min7
91.730,C:7
92.320,G:min7
92.900,C:7
93.490,G:min7
94.070,C:7
94.650,F:maj6
95.260,F:7/3
95.840,Bb:maj
96.430,B:hdim7
97.020,F:maj/5
98.200,F:maj6
99.390,F:7
100.560,F:7
101.760,Bb:maj6
102.960,Bb:maj6
104.130,G:7
105.300,G:7
106.480,C:7
107.660,C:7
108.840,G:min7
109.430,C:7
110.030,G:min7
110.600,C:7
111.200,G:min7
111.800,C:7
112.380,G:min7
112.960,C:7
113.560,F:maj6
114.170,F:7/3
114.770,Bb:maj
115.370,C:7
115.960,F:maj6
118.290,G:min7
118.890,C:7
119.500,G:min7
120.100,C:7
120.680,G:min7
121.270,C:7
121.880,G:min7
122.480,C:7
123.070,F:maj6
123.660,F:7/3
124.250,Bb:maj
124.840,B:hdim7
125.440,F:maj/5
126.040,Bb:7
127.820,G:min7
128.400,C:7
128.990,G:min7
129.580,C:7
130.170,G:min7
130.770,C:7
131.360,G:min7
131.950,C:7
132.540,F:maj6
133.150,F:7/3
133.750,Bb:maj
134.350,B:hdim7
134.940,F:maj/5
136.140,F:maj6
137.340,F:7
138.540,F:7
139.730,Bb:maj6
140.910,Bb:maj6
142.110,G:7
143.300,G:7
144.480,C:7
145.660,C:7
146.850,G:min7
147.460,C:7
148.060,G:min7
148.660,C:7
149.250,G:min7
149.860,C:7
150.450,G:min7
151.050,C:7
151.650,F:maj6
152.250,F:7/3
152.850,Bb:maj
153.450,C:7
154.020,F:maj6
156.420,G:min7
157.020,C:7
157.610,G:min7
158.200,C:7
158.800,G:min7
159.410,C:7
160.010,G:min7
160.610,C:7
161.200,F:maj6
161.790,F:7/3
162.370,Bb:maj
162.970,B:hdim7
163.560,F:maj/5
164.160,Bb:7
164.750,F:maj
165.900,G:min7
166.510,C:7
167.110,G:min7
167.700,C:7
168.290,G:min7
168.880,C:7
169.480,G:min7
170.070,C:7
170.680,F:maj6
171.280,F:7/3
171.870,Bb:maj
172.480,B:hdim7
173.080,F:maj/5
173.680,Bb:9
174.280,F:maj6
175.470,F:7
176.690,F:7
177.900,Bb:maj6
179.090,Bb:maj6
180.260,G:7
181.430,G:7
182.600,C:7
183.780,C:7
184.950,G:min7
185.550,C:7
186.150,G:min7
186.730,C:7
187.320,G:min7
187.910,C:7
188.500,G:min7
189.090,C:7
189.680,F:maj6
190.280,F:7/3
190.880,Bb:maj
191.480,C:7
192.080,F:maj6
