time,chord
111.0,C6
111.2,C6
111.4,C6
111.6,C6
111.8,F-7
112.0,F-7
112.2,A#7
112.4,A#7
112.6,C7
112.8,C7
113.0,A#7
113.2,A#7
113.8,A7
114.0,A7
114.6,A7
114.8,A7
115.4,A7
115.6,A7
116.2,A7
116.4,A7
117.0,D7
117.2,D7
117.8,D7
118.0,D7
118.6,D7
118.8,D7
119.4,D7
119.6,D7
120.0,G7
120.2,G7
120.4,G7
120.6,G7
120.8,E-7
121.0,E-7
121.2,A7
121.4,A7
121.6,D-7
121.8,D-7
122.0,G7
122.2,G7
122.8,G7
123.0,G7
123.6,C6
123.8,C6
124.0,C6
124.2,C6
124.4,F-7
124.6,F-7
124.8,A#7
125.0,A#7
125.6,A#7
125.8,C7
126.0,C7
126.2,A#7
126.4,A#7
126.6,A7
126.8,A7
127.0,A7
127.2,A7
127.4,D7
127.6,D7
127.8,D7
128.0,D7
128.2,G7
128.6,G7
128.8,G7
129.0,G7
129.2,C6
129.4,C6
129.6,C6
129.8,C6
130.0,F##m7b5
130.2,F##m7b5
130.4,B9b
130.6,B9b
130.8,E-7
131.0,E-7
131.2,E-7
131.4,E-7
131.6,F##m7b5
131.8,F##m7b5
132.0,B9b
132.2,B9b
132.4,E-7
132.6,E-7
132.8,E-7
133.0,E-7
133.2,A7
133.4,A7
133.6,A7
133.8,A7
134.0,D-7
134.2,D-7
134.4,D-7
134.6,D-7
134.8,Em7b5
135.0,Em7b5
135.2,A7
135.4,A7
135.6,D7
135.8,D7
136.0,D7
136.2,D7
136.4,D-7
136.6,D-7
136.8,G7
137.0,G7
137.2,C6
137.4,C6
137.6,C6
137.8,C6
138.0,C6
138.2,F-7
138.4,F-7
138.6,A#7
138.8,A#7
139.0,C7
139.2,C7
139.4,A#7
139.6,A#7
140.2,A7
140.4,A7
140.6,A7
140.8,A7
141.0,D7
141.2,D7
141.4,D7
141.6,D7
141.8,G7
142.0,G7
142.2,G7
142.4,G7
142.6,C6
142.8,C6
143.0,C6
143.2,C6
143.4,D-7
143.6,D-7
143.8,G7
144.0,G7
144.6,G7
144.8,G7
145.4,C6
145.6,C6
146.2,C6
146.4,C6
147.0,C6
147.2,C6
147.8,C6
148.0,C6
148.6,F-7
148.8,F-7
149.4,F-7
149.6,F-7
150.2,A#7
150.4,A#7
151.0,A#7
151.2,A#7
151.8,C7
152.0,C7
152.6,C7
153.0,A#7
153.2,A#7
153.4,A7
153.6,A7
153.8,A7
154.0,A7
154.2,D7
154.4,D7
154.6,D7
154.8,D7
155.0,G7
155.2,G7
155.8,G7
156.0,G7
156.2,G7
156.4,E-7
156.6,E-7
156.8,A7
157.0,A7
157.2,D-7
157.4,D-7
157.6,G7
157.8,G7
158.0,C6
158.2,C6
158.4,C6
158.6,C6
158.8,F-7
159.0,F-7
159.2,A#7
159.4,A#7
159.6,C7
160.2,C7
160.4,C7
161.0,A#7
161.2,A#7
161.8,A#7
162.0,A#7
162.6,A7
162.8,A7
163.4,A7
163.6,A7
164.2,A7
164.4,A7
165.0,A7
165.2,A7
165.8,D7
166.0,D7
166.4,D7
166.6,D7
166.8,D7
167.4,G7
167.6,G7
168.2,G7
168.4,G7
169.0,G7
169.2,G7
169.4,C6
169.6,C6
169.8,C6
170.0,C6
170.2,F##m7b5
170.4,F##m7b5
170.6,B9b
170.8,B9b
171.0,B9b
171.6,E-7
171.8,E-7
172.4,E-7
172.8,E-7
173.0,E-7
173.2,F##m7b5
173.4,F##m7b5
173.6,B9b
173.8,B9b
174.0,E-7
174.2,E-7
174.4,E-7
174.6,E-7
174.8,A7
175.0,A7
175.2,A7
175.4,A7
175.6,D-7
175.8,D-7
176.0,D-7
176.2,D-7
176.4,Em7b5
176.6,Em7b5
176.8,A7
177.0,A7
177.2,D7
177.4,D7
177.6,D7
177.8,D7
178.0,D-7
178.2,D-7
178.4,G7
178.6,G7
178.8,C6
179.0,C6
179.2,C6
179.4,C6
179.6,F-7
179.8,F-7
180.0,A#7
180.2,A#7
180.6,A#7
180.8,C7
181.4,C7
181.6,C7
182.2,A#7
182.4,A#7
183.0,A#7
183.2,A#7
183.8,A7
184.0,A7
184.6,A7
184.8,A7
185.4,A7
185.6,A7
186.2,A7
186.4,A7
187.0,D7
187.2,D7
187.8,D7
188.0,D7
188.6,D7
188.8,D7
189.0,D7
189.2,G7
189.4,G7
189.6,G7
189.8,G7
190.0,C6
190.2,C6
190.4,C6
190.6,C6
190.8,D-7
191.0,D-7
191.2,G7
191.4,G7
191.6,C6
191.8,C6
192.0,C6
192.2,C6
192.4,F-7
192.6,F-7
192.8,A#7
193.0,A#7
193.2,C7
193.4,C7
193.6,A#7
193.8,A#7
194.0,A7
194.2,A7
194.4,A7
194.6,A7
194.8,D7
195.0,D7
195.2,D7
195.4,D7
195.6,G7
195.8,G7
196.0,G7
196.2,G7
196.4,E-7
196.6,E-7
196.8,A7
197.0,A7
197.2,D-7
197.4,D-7
197.6,G7
197.8,G7
198.4,C6
198.6,C6
199.2,C6
199.4,C6
200.0,C6
200.2,C6
200.8,C6
201.0,C6
201.6,F-7
201.8,F-7
202.4,F-7
202.6,F-7
203.2,A#7
203.4,A#7
204.0,A#7
204.2,A#7
204.8,C7
205.0,C7
205.6,C7
205.8,C7
206.4,A#7
206.6,A#7
207.2,A#7
207.4,A#7
208.0,A7
208.2,A7
208.6,A7
208.8,A7
209.0,A7
209.2,D7
209.4,D7
209.6,D7
209.8,D7
210.0,G7
210.2,G7
210.4,G7
210.6,G7
210.8,C6
211.0,C6
211.6,C6
211.8,C6
212.4,C6
212.6,C6
213.2,F##m7b5
213.4,F##m7b5
214.0,F##m7b5
214.2,F##m7b5
214.8,B9b
215.0,B9b
215.6,B9b
215.8,B9b
216.4,E-7
216.6,E-7
217.2,E-7
217.4,E-7
218.0,E-7
218.2,E-7
218.8,F##m7b5
219.0,F##m7b5
219.6,F##m7b5
219.8,F##m7b5
220.4,B9b
220.6,B9b
221.2,B9b
221.4,B9b
222.0,E-7
222.2,E-7
222.4,E-7
222.6,E-7
222.8,E-7
223.0,A7
223.2,A7
223.4,A7
223.6,A7
224.2,D-7
224.6,D-7
224.8,D-7
225.0,D-7
225.2,Em7b5
225.4,Em7b5
225.6,A7
225.8,A7
226.0,D7
226.2,D7
226.4,D7
226.6,D7
226.8,D-7
227.0,D-7
227.2,G7
227.4,G7
227.6,C6
227.8,C6
228.0,C6
228.2,C6
228.4,F-7
228.6,F-7
228.8,A#7
229.0,A#7
229.2,C7
229.4,C7
229.6,A#7
229.8,A#7
230.0,A7
230.2,A7
230.4,A7
230.6,A7
230.8,D7
231.0,D7
231.2,D7
231.4,D7
231.6,G7
231.8,G7
232.0,G7
232.2,G7
232.4,C6
232.6,C6
232.8,C6
233.0,C6
233.2,D-7
233.4,D-7
233.6,G7
233.8,G7
