time,chord
249.6,A#:maj6
249.8,A#:maj6
249.8,G:min7
250.0,G:min7
250.0,C:min7
250.2,C:min7
250.2,F:7
250.4,F:7
250.4,A#:maj6
250.6,A#:maj6
250.6,G:min7
250.8,G:min7
250.8,C:min7
251.0,C:min7
251.0,F:7
251.2,F:7
251.2,A#:maj6
251.4,A#:maj6
251.4,A#:7
251.6,A#:7
251.6,D#:maj6
251.8,D#:maj6
251.8,E:dim7
252.0,E:dim7
252.0,A#:maj6
252.2,A#:maj6
252.2,F:7
252.4,F:7
252.4,A#:maj6
252.6,A#:maj6
252.6,A#:maj6
252.8,A#:maj6
252.8,A#:maj6
253.0,A#:maj6
253.0,G:min7
253.2,G:min7
253.2,C:min7
253.4,C:min7
253.4,F:7
253.6,F:7
253.6,A#:maj6
253.8,A#:maj6
253.8,G:min7
254.0,G:min7
254.2,G:min7
254.4,C:min7
254.6,C:min7
254.8,C:min7
254.8,F:7
255.0,F:7
255.2,F:7
255.4,A#:maj6
255.6,A#:maj6
255.8,A#:maj6
256.0,A#:7
256.0,A#:7
256.2,D#:maj6
256.4,D#:maj6
256.4,E:dim7
256.6,E:dim7
256.6,A#:maj6
256.8,A#:maj6
256.8,F:7
257.0,F:7
257.0,A#:maj6
257.2,A#:maj6
257.2,A#:maj6
257.4,A#:maj6
257.4,D:7
257.6,D:7
257.6,D:7
257.8,D:7
257.8,D:7
258.0,D:7
258.0,D:7
258.2,D:7
258.2,G:7
258.4,G:7
258.4,G:7
258.6,G:7
258.6,G:7
258.8,G:7
259.0,G:7
259.2,G:7
259.4,G:7
259.6,G:7
259.8,G:7
260.0,C:7
260.0,C:7
260.2,C:7
260.2,C:7
260.4,C:7
260.4,C:7
260.6,C:7
260.6,C:7
260.8,F:7
260.8,F:7
261.0,F:7
261.0,F:7
261.2,F:7
261.2,F:7
261.4,F:7
261.4,F:7
261.6,A#:maj6
261.6,A#:maj6
261.8,G:min7
261.8,G:min7
262.0,C:min7
262.0,C:min7
262.2,F:7
262.2,F:7
262.4,A#:maj6
262.4,A#:maj6
262.6,G:min7
262.6,G:min7
262.8,C:min7
262.8,C:min7
263.0,F:7
263.0,F:7
263.2,A#:maj6
263.2,A#:maj6
263.4,A#:7
263.4,A#:7
263.6,D#:maj6
263.6,D#:maj6
263.8,E:dim7
263.8,E:dim7
264.0,A#:maj6
264.0,A#:maj6
264.2,F:7
264.2,F:7
264.4,A#:maj6
264.6,A#:maj6
264.8,A#:maj6
265.0,A#:maj6
265.2,A#:maj6
265.4,A#:maj6
265.6,A#:maj6
265.8,A#:maj6
266.0,A#:maj6
266.2,A#:maj6
266.4,A#:maj6
266.6,A#:maj6
266.8,G:min7
267.0,G:min7
267.2,G:min7
267.4,G:min7
267.6,C:min7
267.8,C:min7
268.0,C:min7
268.2,C:min7
268.4,F:7
268.6,F:7
268.8,F:7
269.0,F:7
