time,chord
9.260,C6
10.355,F-7
10.905,Bb7
11.455,C7
12.005,Bb7
12.555,A7
13.650,D7
14.715,G7
15.800,E-7
16.340,A7
16.870,D-7
17.395,G7
17.945,C6
19.055,F-7
19.610,Bb7
20.165,C7
20.710,Bb7
21.245,A7
22.305,D7
23.355,G7
24.435,C6
25.515,F#m7b5
26.045,B79b
26.580,E-7
27.670,F#m7b5
28.215,B79b
28.765,E-7
29.850,A7
30.895,D-7
31.950,Em7b5
32.490,A7
33.025,D7
34.090,D-7
34.610,G7
35.140,C6
36.220,F-7
36.760,Bb7
37.295,C7
37.835,Bb7
38.380,A7
39.460,D7
40.510,G7
41.565,C6
42.635,D-7
43.170,G7
43.710,C6
44.790,F-7
45.330,Bb7
45.870,C7
46.415,Bb7
46.960,A7
48.030,D7
49.110,G7
50.195,E-7
50.735,A7
51.260,D-7
51.785,G7
52.320,C6
53.370,F-7
53.900,Bb7
54.415,C7
54.930,Bb7
55.455,A7
56.510,D7
57.560,G7
58.630,C6
59.685,F#m7b5
60.205,B79b
60.725,E-7
61.770,F#m7b5
62.295,B79b
62.820,E-7
63.870,A7
64.925,D-7
65.995,Em7b5
66.535,A7
67.065,D7
68.115,D-7
68.635,G7
69.150,C6
70.210,F-7
70.735,Bb7
71.260,C7
71.785,Bb7
72.310,A7
73.360,D7
74.410,G7
75.475,C6
76.515,D-7
77.035,G7
77.560,C6
78.630,F-7
79.165,Bb7
79.700,C7
80.235,Bb7
80.770,A7
81.845,D7
82.895,G7
83.970,E-7
84.510,A7
85.040,D-7
85.570,G7
86.100,C6
87.160,F-7
87.680,Bb7
88.210,C7
88.745,Bb7
89.280,A7
90.350,D7
91.410,G7
92.475,C6
93.530,F#m7b5
94.050,B79b
94.570,E-7
95.615,F#m7b5
96.145,B79b
96.675,E-7
97.735,A7
98.805,D-7
99.870,Em7b5
100.405,A7
100.935,D7
101.995,D-7
102.520,G7
103.045,C6
104.105,F-7
104.640,Bb7
105.175,C7
105.715,Bb7
106.260,A7
107.325,D7
108.400,G7
109.465,C6
110.530,D-7
111.050,G7
111.585,C6
112.650,F-7
113.180,Bb7
113.710,C7
114.240,Bb7
114.765,A7
115.815,D7
116.875,G7
117.935,E-7
118.470,A7
119.000,D-7
119.530,G7
120.070,C6
121.110,F-7
121.645,Bb7
122.180,C7
122.715,Bb7
123.240,A7
124.310,D7
125.365,G7
126.425,C6
127.470,F#m7b5
127.985,B79b
128.505,E-7
129.575,F#m7b5
130.095,B79b
130.620,E-7
131.680,A7
132.725,D-7
133.795,Em7b5
134.320,A7
134.835,D7
135.885,D-7
136.405,G7
136.930,C6
137.995,F-7
138.530,Bb7
139.065,C7
139.585,Bb7
140.105,A7
141.155,D7
142.215,G7
143.260,C6
144.295,D-7
144.815,G7
145.335,C6
146.395,F-7
146.925,Bb7
147.460,C7
147.990,Bb7
148.515,A7
149.585,D7
150.665,G7
151.725,E-7
152.255,A7
152.785,D-7
153.305,G7
153.815,C6
154.860,F-7
155.380,Bb7
155.905,C7
156.430,Bb7
156.945,A7
158.000,D7
159.045,G7
160.090,C6
161.135,F#m7b5
161.655,B79b
162.165,E-7
163.205,F#m7b5
163.740,B79b
164.275,E-7
165.335,A7
166.370,D-7
167.415,Em7b5
167.940,A7
168.455,D7
169.480,D-7
169.985,G7
170.505,C6
171.545,F-7
172.060,Bb7
172.565,C7
173.065,Bb7
173.570,A7
174.590,D7
175.615,G7
176.640,C6
177.665,D-7
178.185,G7
178.705,C6
179.755,F-7
180.280,Bb7
180.800,C7
181.325,Bb7
181.855,A7
182.910,D7
183.960,G7
184.990,E-7
185.510,A7
186.030,D-7
186.545,G7
187.055,C6
188.116,F-7
188.638,Bb7
189.160,C7
189.680,Bb7
190.200,A7
191.250,D7
192.310,G7
193.350,C6
194.390,F#m7b5
194.920,B79b
195.450,E-7
196.490,F#m7b5
197.020,B79b
197.530,E-7
198.570,A7
199.610,D-7
200.640,Em7b5
201.160,A7
201.670,D7
202.700,D-7
203.200,G7
203.710,C6
204.750,F-7
205.280,Bb7
205.810,C7
206.330,Bb7
206.850,A7
207.900,D7
208.950,G7
210.000,C6
211.030,D-7
211.530,G7
212.050,C6
213.120,F-7
213.640,Bb7
214.190,C7
214.730,Bb7
215.260,A7
216.340,D7
217.360,G7
218.420,E-7
218.940,A7
219.440,D-7
219.980,G7
220.500,C6
221.580,F-7
222.120,Bb7
222.640,C7
223.160,Bb7
223.680,A7
224.710,D7
225.760,G7
226.810,C6
227.860,F#m7b5
228.400,B79b
228.900,E-7
229.980,F#m7b5
230.500,B79b
231.040,E-7
232.090,A7
233.130,D-7
234.120,Em7b5
234.650,A7
235.170,D7
236.210,D-7
236.740,G7
237.250,C6
238.310,F-7
238.850,Bb7
239.370,C7
239.890,Bb7
240.420,A7
241.460,D7
242.470,G7
243.520,C6
