time,chord
9.030,Ab:maj
10.090,F:7
11.170,Bb:7
12.220,Bb:7
13.240,Bb:min7
14.290,Eb:7
15.340,Ab:maj
16.380,Eb:min7
16.900,D:7
17.400,Db:maj
18.440,Db:min7
19.480,Ab:maj
20.540,F:7
21.570,Bb:7
22.620,Bb:7
23.670,Bb:min7
24.720,Eb:7
25.750,Ab:maj
26.830,F:7
27.850,Bb:7
28.890,Bb:7
29.920,C:7
30.920,C:7
31.964,F:min
33.010,C:7(#9)
34.030,F:min
35.050,C:7
36.055,F:min
37.080,Ab:dim
38.140,Ab:maj
38.645,F:7
39.160,Bb:min7
39.695,Eb:7
40.220,Ab:maj
41.250,N
42.260,Ab:maj
43.310,F:7
44.355,Bb:7
45.390,Bb:7
46.440,Bb:min7
47.465,Eb:7
48.520,Ab:maj
49.565,Eb:min7
50.085,D:7
50.600,Db:maj
51.615,Db:min7
52.650,Ab:maj
53.680,F:7
54.715,Bb:7
55.745,Bb:7
56.780,Bb:min7
57.810,Eb:7
58.850,Ab:maj
59.880,F:7
60.940,Bb:7
61.950,Bb:7
62.975,C:7
64.005,C:7
65.030,F:min
66.075,C:7(#9)
67.105,F:min
68.145,C:7
69.155,F:min
70.165,Ab:dim
71.175,Ab:maj
71.670,F:7
72.190,Bb:min7
72.715,Eb:7
73.220,Ab:maj
74.255,Bb:min7
74.770,Eb:7
75.280,Ab:maj
76.295,F:7
77.330,Bb:7
78.365,Bb:7
79.385,Bb:min7
80.405,Eb:7
81.435,Ab:maj
82.460,Eb:min7
82.970,D:7
83.485,Db:maj
84.520,Db:min7
85.545,Ab:maj
86.550,F:7
87.575,Bb:7
88.590,Bb:7
89.610,Bb:min7
90.605,Eb:7
91.615,Ab:maj
92.610,F:7
93.605,Bb:7
94.630,Bb:7
95.640,C:7
96.655,C:7
97.690,F:min
98.710,C:7(#9)
99.710,F:min
100.725,C:7
101.765,F:min
102.790,Ab:dim
103.800,Ab:maj
104.315,F:7
104.825,Bb:min7
105.340,Eb:7
105.855,Ab:maj
106.865,Bb:min7
107.370,Eb:7
107.890,Ab:maj
108.925,F:7
109.970,Bb:7
110.990,Bb:7
112.005,Bb:min7
113.040,Eb:7
114.045,Ab:maj
115.045,Eb:min7
115.530,D:7
116.030,Db:maj
117.050,Db:min7
118.075,Ab:maj
119.080,F:7
120.085,Bb:7
121.085,Bb:7
122.090,Bb:min7
123.115,Eb:7
124.115,Ab:maj
125.105,F:7
126.110,Bb:7
127.120,Bb:7
128.120,C:7
129.125,C:7
130.140,F:min
131.135,C:7(#9)
132.135,F:min
133.155,C:7
134.180,F:min
135.185,Ab:dim
136.200,Ab:maj
136.715,F:7
137.230,Bb:min7
137.740,Eb:7
138.245,Ab:maj
139.265,Bb:min7
139.770,Eb:7
140.280,Ab:maj
141.295,F:7
142.330,Bb:7
143.335,Bb:7
144.355,Bb:min7
145.380,Eb:7
146.390,Ab:maj
147.415,Eb:min7
147.910,D:7
148.410,Db:maj
149.405,Db:min7
150.425,Ab:maj
151.460,F:7
152.460,Bb:7
153.485,Bb:7
154.500,Bb:min7
155.510,Eb:7
156.530,Ab:maj
157.540,F:7
158.580,Bb:7
159.610,Bb:7
160.615,C:7
161.630,C:7
162.635,F:min
163.670,C:7(#9)
164.665,F:min
165.665,C:7
166.680,F:min
167.700,Ab:dim
168.705,Ab:maj
169.215,F:7
169.725,Bb:min7
170.235,Eb:7
170.740,Ab:maj
171.790,Bb:min7
172.300,Eb:7
172.805,Ab:maj
173.820,F:7
174.840,Bb:7
175.840,Bb:7
176.850,Bb:min7
177.855,Eb:7
178.840,Ab:maj
179.840,Eb:min7
180.345,D:7
180.855,Db:maj
181.860,Db:min7
182.875,Ab:maj
183.880,F:7
184.885,Bb:7
185.885,Bb:7
186.905,Bb:min7
187.910,Eb:7
188.915,Ab:maj
189.940,F:7
190.960,Bb:7
191.965,Bb:7
192.975,C:7
193.970,C:7
194.970,F:min
195.975,C:7(#9)
196.960,F:min
197.975,C:7
198.965,F:min
199.985,Ab:dim
201.005,Ab:maj
201.515,F:7
202.020,Bb:min7
202.535,Eb:7
203.055,Ab:maj
204.050,Bb:min7
204.570,Eb:7
205.080,Ab:maj
206.075,F:7
207.075,Bb:7
208.095,Bb:7
209.130,Bb:min7
210.165,Eb:7
211.195,Ab:maj
212.220,Eb:min7
212.730,D:7
213.240,Db:maj
214.245,Db:min7
215.260,Ab:maj
216.280,F:7
217.295,Bb:7
218.295,Bb:7
219.315,Bb:min7
220.315,Eb:7
221.305,Ab:maj
222.305,F:7
223.305,Bb:7
224.315,Bb:7
225.305,C:7
226.300,C:7
227.295,F:min
228.290,C:7(#9)
229.275,F:min
230.275,C:7
231.280,F:min
232.295,Ab:dim
233.300,Ab:maj
233.800,F:7
234.300,Bb:min7
234.800,Eb:7
235.300,Ab:maj
236.295,Bb:min7
236.795,Eb:7
237.285,Ab:maj
238.270,F:7
239.250,Bb:7
240.225,Bb:7
241.195,Bb:min7
242.160,Eb:7
243.150,Ab:maj
244.140,Eb:min7
244.625,D:7
245.115,Db:maj
246.100,Db:min7
247.095,Ab:maj
248.080,F:7
249.055,Bb:7
250.025,Bb:7
251.000,Bb:min7
251.980,Eb:7
252.950,Ab:maj
253.920,F:7
254.900,Bb:7
255.855,Bb:7
256.840,C:7
257.805,C:7
258.785,F:min
259.755,C:7(#9)
260.735,F:min
261.715,C:7
262.675,F:min
263.635,Ab:dim
264.610,Ab:maj
265.100,F:7
265.580,Bb:min7
266.070,Eb:7
266.560,Ab:maj
267.520,Bb:min7
268.000,Eb:7
268.480,Ab:maj
269.445,F:7
270.420,Bb:7
271.395,Bb:7
272.380,Bb:min7
273.345,Eb:7
274.310,Ab:maj
275.265,Eb:min7
275.750,D:7
276.225,Db:maj
277.215,Db:min7
278.180,Ab:maj
279.145,F:7
280.095,Bb:7
281.060,Bb:7
282.030,Bb:min7
283.015,Eb:7
284.000,Ab:maj
284.975,F:7
285.950,Bb:7
286.925,Bb:7
287.900,C:7
288.870,C:7
289.830,F:min
290.795,C:7(#9)
291.770,F:min
292.740,C:7
293.705,F:min
294.665,Ab:dim
295.650,Ab:maj
296.135,F:7
296.610,Bb:min7
297.090,Eb:7
297.575,Ab:maj
298.560,Bb:min7
299.050,Eb:7
299.535,Ab:maj
300.510,F:7
301.495,Bb:7
302.485,Bb:7
303.445,Bb:min7
304.405,N
307.245,Db:maj
308.230,Db:min7
309.200,Ab:maj
310.170,F:7
311.220,N
314.880,Ab:maj
315.870,F:7
316.860,Bb:7
317.840,Bb:7
318.810,N
322.600,F:min
323.610,C:7
324.590,F:min
325.570,Ab:dim
326.530,N
330.270,Ab:maj
331.250,F:7
332.210,Bb:7
333.180,Bb:7
334.150,N
337.830,Db:maj
338.800,Db:min7
339.750,Ab:maj
340.720,F:7
341.640,N
345.360,Ab:maj
346.330,F:7
347.280,Bb:7
348.260,Bb:7
349.210,N
352.920,F:min
353.900,C:7
354.870,F:min
355.790,Ab:dim
356.730,N
360.400,Ab:maj
361.375,F:7
362.345,Bb:7
363.330,Bb:7
364.315,Bb:min7
365.275,Eb:7
366.255,Ab:maj
367.230,Eb:min7
367.715,D:7
368.185,Db:maj
369.160,Db:min7
370.150,Ab:maj
371.120,F:7
372.075,Bb:7
373.040,Bb:7
374.005,Bb:min7
374.985,Eb:7
375.950,Ab:maj
376.945,F:7
377.905,Bb:7
378.860,Bb:7
379.825,C:7
380.805,C:7
381.760,F:min
382.720,C:7(#9)
383.675,F:min
384.625,C:7
385.580,F:min
386.540,Ab:dim
387.510,Ab:maj
387.990,F:7
388.465,Bb:min7
388.925,Eb:7
389.395,Ab:maj
