time,chord
28.110,F:min7
28.980,C:7(#9)
29.850,F:min7
30.710,F:7(b9)
31.590,Bb:min7
32.460,F:7(#9)
33.350,Bb:min7
34.190,Bb:min7
35.060,Db:maj7
35.960,D:min7
36.400,G:7
36.840,C:maj7
37.720,Db:min7
38.160,Gb:7
38.610,B:maj7
39.500,C:min7
39.940,F:7
40.400,Bb:maj7
41.290,Bb:maj7
42.190,Bb:min7
43.100,Eb:7
43.990,Ab:maj7
44.860,G:hdim7
45.290,C:7
45.730,F:min7
46.600,C:7(#9)
47.480,F:min7
48.340,F:7(b9)
49.230,Bb:min7
50.120,F:7(#9)
50.980,Bb:min7
51.830,Bb:min7
52.720,Db:maj7
53.660,D:hdim7
54.090,G:7
54.560,C:hdim7
54.990,Gb:7
55.440,F:7
55.870,B:7
56.320,Bb:min7
57.160,Eb:7
58.030,N
59.820,F:min7
60.720,C:7(#9)
61.590,F:min7
62.500,F:7(b9)
63.380,Bb:min7
64.260,F:7(#9)
65.130,Bb:min7
66.000,Bb:min7
66.870,Db:maj7
67.740,D:min7
68.160,G:7
68.610,C:maj7
69.490,Db:min7
69.920,Gb:7
70.340,B:maj7
71.210,C:min7
71.630,F:7
72.080,Bb:maj7
72.930,Bb:maj7
73.820,Bb:min7
74.690,Eb:7
75.560,Ab:maj7
76.430,G:hdim7
76.860,C:7
77.310,F:min7
78.180,C:7(#9)
79.060,F:min7
79.930,F:7(b9)
80.810,Bb:min7
81.660,F:7(#9)
82.530,Bb:min7
83.370,Bb:min7
84.230,Db:maj7
85.110,D:hdim7
85.560,G:7
85.990,C:hdim7
86.400,Gb:7
86.830,F:7
87.270,B:7
87.710,Bb:min7
88.550,Eb:7
89.440,Ab:maj6
90.330,G:hdim7
90.770,C:7(b9)
91.190,F:min7
92.090,C:7(#9)
92.970,F:min7
93.840,F:7(b9)
94.690,Bb:min7
95.540,F:7(#9)
96.420,Bb:min7
97.280,Bb:min7
98.150,Db:maj7
99.000,D:min7
99.430,G:7
99.850,C:maj7
100.730,Db:min7
101.180,Gb:7
101.580,B:maj7
102.430,C:min7
102.860,F:7
103.290,Bb:maj7
104.140,Bb:maj7
105.000,Bb:min7
105.850,Eb:7
106.720,Ab:maj7
107.590,G:hdim7
108.030,C:7
108.450,F:min7
109.320,C:7(#9)
110.210,F:min7
111.090,F:7(b9)
111.980,Bb:min7
112.840,F:7(#9)
113.710,Bb:min7
114.550,Bb:min7
115.420,Db:maj7
116.270,D:hdim7
116.710,G:7
117.150,C:hdim7
117.560,Gb:7
118.000,F:7
118.420,B:7
118.870,Bb:min7
119.730,Eb:7
120.580,Ab:maj6
121.440,G:hdim7
121.880,C:7(b9)
122.300,F:min7
123.150,C:7(#9)
124.030,F:min7
124.890,F:7(b9)
125.730,Bb:min7
126.600,F:7(#9)
127.440,Bb:min7
128.290,Bb:min7
129.150,Db:maj7
130.010,D:min7
130.470,G:7
130.880,C:maj7
131.760,Db:min7
132.190,Gb:7
132.610,B:maj7
133.470,C:min7
133.900,F:7
134.340,Bb:maj7
135.190,Bb:maj7
136.040,Bb:min7
136.890,Eb:7
137.770,Ab:maj7
138.590,G:hdim7
139.030,C:7
139.450,F:min7
140.320,C:7(#9)
141.180,F:min7
142.050,F:7(b9)
142.880,Bb:min7
143.730,F:7(#9)
144.590,Bb:min7
145.450,Bb:min7
146.290,Db:maj7
147.120,D:hdim7
147.530,G:7
147.970,C:hdim7
148.390,Gb:7
148.800,F:7
149.210,B:7
149.640,Bb:min7
150.500,Eb:7
151.340,Ab:maj6
152.150,G:hdim7
152.560,C:7(b9)
152.970,F:min7
159.050,Bb:min7
159.920,Db:maj7
160.770,D:min7
161.200,G:7
161.650,C:maj7
162.500,Db:min7
162.940,Gb:7
163.350,B:maj7
164.190,C:min7
164.620,F:7
165.030,Bb:maj7
165.900,Bb:maj7
166.750,Bb:min7
167.590,Eb:7
168.460,Ab:maj7
169.320,G:hdim7
169.750,C:7
170.170,F:min7
171.030,C:7(#9)
171.890,F:min7
175.260,Bb:min7
176.930,Db:maj7
177.810,D:hdim7
178.220,G:7
178.650,C:hdim7
179.100,Gb:7
179.520,F:7
179.950,B:7
180.370,Bb:min7
181.220,Eb:7
182.070,Ab:maj6
182.890,G:hdim7
183.320,C:7(b9)
183.730,F:min7
184.620,C:7(#9)
185.490,F:min7
186.320,F:7(b9)
187.195,Bb:min7
188.067,F:7(#9)
188.910,Bb:min7
189.730,Bb:min7
190.575,Db:maj7
191.425,D:min7
191.850,G:7
192.275,C:maj7
193.145,Db:min7
193.575,Gb:7
194.000,B:maj7
194.850,C:min7
195.280,F:7
195.700,Bb:maj7
196.560,Bb:maj7
197.410,Bb:min7
198.265,Eb:7
199.125,Ab:maj7
199.970,G:hdim7
200.405,C:7
200.840,F:min7
201.705,C:7(#9)
202.550,F:min7
203.380,F:7(b9)
204.230,Bb:min7
205.060,F:7(#9)
205.910,Bb:min7
206.750,Bb:min7
207.600,Db:maj7
208.455,D:hdim7
208.870,G:7
209.290,C:hdim7
209.715,Gb:7
210.145,F:7
210.570,B:7
210.990,Bb:min7
211.840,Eb:7
212.675,Ab:maj6
213.510,G:hdim7
213.935,C:7(b9)
214.360,F:min7
215.199,C:7(#9)
216.039,F:min7
216.879,F:7(b9)
217.730,Bb:min7
218.589,F:7(#9)
219.420,Bb:min7
220.260,Bb:min7
221.100,Db:maj7
221.930,D:min7
222.340,G:7
222.750,C:maj7
223.560,Db:min7
224.010,Gb:7
224.430,B:maj7
225.290,C:min7
225.710,F:7
226.140,Bb:maj7
226.980,Bb:maj7
227.820,Bb:min7
228.650,Eb:7
229.480,Ab:maj7
230.340,G:hdim7
230.760,C:7
231.160,F:min7
232.010,C:7(#9)
232.880,F:min7
233.720,F:7(b9)
234.560,Bb:min7
235.400,F:7(#9)
236.270,Bb:min7
237.090,Bb:min7
237.920,Db:maj7
238.760,D:hdim7
239.170,G:7
239.600,C:hdim7
240.020,Gb:7
240.440,F:7
240.840,B:7
241.270,Bb:min7
242.110,Eb:7
242.950,Ab:maj6
244.630,F:min7
246.330,F:min7
251.460,Db:maj7
252.280,D:min7
252.710,G:7
253.120,C:maj7
253.980,Db:min7
254.400,Gb:7
254.800,B:maj7
255.680,C:min7
256.110,F:7
256.540,Bb:maj7
257.400,Bb:maj7
258.230,Bb:min7
259.060,Eb:7
259.920,Ab:maj7
260.770,G:hdim7
261.190,C:7
261.590,F:min7
263.320,F:min7
268.390,Db:maj7
269.230,D:hdim7
269.630,G:7
270.030,C:hdim7
270.450,Gb:7
270.870,F:7
271.300,B:7
271.710,Bb:min7
272.540,Eb:7
273.380,Ab:maj6
274.220,G:hdim7
274.640,C:7(b9)
275.040,F:min7
275.900,C:7(#9)
276.740,F:min7
277.590,F:7(b9)
278.420,Bb:min7
279.280,F:7(#9)
280.120,Bb:min7
280.960,Bb:min7
281.780,Db:maj7
282.660,D:min7
283.080,G:7
