time,chord
8.6,Gj7
8.8,Gj7
8.8,Gj7
9.0,Gj7
9.0,Gj7
9.2,Gj7
9.2,Gj7
9.4,Gj7
9.4,G-7
9.6,G-7
9.8,G-7
10.0,C7
10.2,C7
10.4,C7
10.6,C7
10.8,G-7
11.0,G-7
11.2,G-7
11.4,G-7
11.6,C7
11.8,C7
12.0,C7
12.2,C7
12.4,Fj7
12.6,Fj7
12.8,Fj7
13.0,Fj7
13.2,Fj7
13.4,Fj7
13.6,Fj7
13.8,Fj7
14.0,Fj7
14.2,Fj7
14.4,Fj7
14.6,Fj7
14.8,Fj7
15.0,Fj7
15.0,F-7
15.2,F-7
15.2,F-7
15.4,F-7
15.4,A#7
15.6,A#7
15.6,A#7
15.8,A#7
15.8,D#b7
16.0,D#b7
16.0,D#b7
16.2,D#b7
16.4,D#b7
16.6,D7
16.8,D7
17.0,D7
17.2,D7
17.4,D7
17.6,D7
17.8,D7
18.0,D7
18.2,G-
18.4,G-
18.6,G-
18.8,G-
19.0,G-
19.0,Cm7b5
19.2,Cm7b5
19.2,D7
19.4,D7
19.4,B7
19.6,B7
19.6,B7
19.8,B7
20.0,B7
20.2,E7
20.4,E7
20.6,E7
20.8,E7
21.0,E7
21.2,E7
21.4,E7
21.6,E7
21.8,A-7
22.0,A-7
22.2,A-7
22.4,A-7
22.6,A-7
22.8,A-7
23.0,A-7
23.2,A-7
23.4,D7
23.6,D7
23.8,D7
24.0,D7
24.2,D7
24.4,D7
24.6,D7
24.8,D7
25.0,Gj7
25.2,Gj7
25.4,Gj7
25.6,Gj7
25.8,Gj7
25.8,Gj7
26.0,Gj7
26.0,Gj7
26.2,Gj7
26.4,Gj7
26.6,G-7
26.8,G-7
27.0,G-7
27.2,G-7
27.4,C7
27.6,C7
27.8,C7
28.0,C7
28.2,G-7
28.4,G-7
28.6,G-7
28.8,G-7
29.0,C7
29.2,C7
29.4,C7
29.6,C7
29.8,Fj7
30.0,Fj7
30.2,Fj7
30.4,Fj7
30.6,Fj7
30.8,Fj7
31.0,Fj7
31.0,Fj7
31.2,Fj7
31.2,Fj7
31.4,Fj7
31.4,F-7
31.6,F-7
31.6,F-7
31.8,F-7
31.8,A#7
32.0,A#7
32.0,A#7
32.2,A#7
32.2,D#b7
32.4,D#b7
32.4,D#b7
32.6,D#b7
32.8,D#b7
33.0,D7
33.2,D7
33.2,D7
33.4,D7
33.6,D7
33.8,G
34.0,G
34.2,G
34.4,G
34.6,G
34.8,G
35.0,G
35.2,A-7
35.4,A-7
35.6,A-7
35.8,A-7
36.0,D7
36.2,D7
36.4,D7
36.6,D7
36.8,G/B
37.0,G/B
37.2,G/B
37.4,G/B
37.6,A#7
37.8,A#7
38.0,A#7
38.2,A#7
38.4,A-7
38.6,A-7
38.8,A-7
39.0,A-7
39.2,Gb7
39.4,Gb7
39.6,Gb7
39.8,Gb7
40.0,Gj7
40.2,Gj7
40.4,Gj7
40.6,Gj7
40.8,Gj7
41.0,Gj7
41.2,Gj7
41.4,A-7
41.6,A-7
41.6,D7
41.8,D7
41.8,Gj7
42.0,Gj7
42.0,Gj7
42.2,Gj7
42.2,Gj7
42.4,Gj7
42.4,Gj7
42.6,Gj7
42.8,Gj7
43.0,G-7
43.2,G-7
43.4,G-7
43.6,G-7
43.8,C7
44.0,C7
44.2,C7
44.4,C7
44.6,G-7
44.8,G-7
45.0,G-7
45.2,G-7
45.4,C7
45.6,C7
45.8,C7
46.0,C7
46.2,Fj7
46.4,Fj7
46.6,Fj7
46.8,Fj7
47.0,Fj7
47.2,Fj7
47.4,Fj7
47.6,Fj7
47.8,Fj7
48.0,Fj7
48.2,Fj7
48.4,Fj7
48.6,Fj7
48.8,Fj7
49.0,Fj7
49.2,Fj7
49.4,F-7
49.6,F-7
49.8,F-7
50.0,F-7
50.2,F-7
50.4,F-7
50.6,F-7
50.8,F-7
51.0,A#7
51.2,A#7
51.4,A#7
51.4,A#7
51.6,A#7
51.6,D#b7
51.8,D#b7
51.8,D#b7
52.0,D#b7
52.2,D#b7
52.4,D7
52.6,D7
52.8,D7
53.0,D7
53.2,D7
53.4,D7
53.6,D7
53.8,D7
54.0,G-
54.2,G-
54.4,G-
54.6,G-
54.8,G-
55.0,G-
55.2,G-
55.4,G-
55.6,Cm7b5
55.8,Cm7b5
56.0,Cm7b5
56.2,Cm7b5
56.4,D7
56.6,D7
56.8,D7
56.8,B7
57.0,B7
57.0,B7
57.2,B7
57.2,E7
57.4,E7
57.4,E7
57.6,E7
57.6,A-7
57.8,A-7
57.8,A-7
58.0,A-7
58.0,D7
58.2,D7
58.2,D7
58.4,D7
58.4,Gj7
58.6,Gj7
58.6,Gj7
58.8,Gj7
58.8,Gj7
59.0,Gj7
59.0,Gj7
59.2,Gj7
59.2,G-7
59.4,G-7
59.4,C7
59.6,C7
59.6,G-7
59.8,G-7
60.0,G-7
60.2,C7
60.4,C7
60.6,C7
60.8,C7
61.0,Fj7
61.2,Fj7
61.4,Fj7
61.4,Fj7
61.6,Fj7
61.6,Fj7
61.8,Fj7
61.8,Fj7
62.0,Fj7
62.0,F-7
62.2,F-7
62.2,F-7
62.4,F-7
62.6,F-7
62.8,A#7
63.0,A#7
63.2,A#7
63.4,A#7
63.6,A#7
63.8,A#7
64.0,A#7
64.2,A#7
64.4,D#b7
64.6,D#b7
64.8,D#b7
65.0,D#b7
65.2,D#b7
65.4,D#b7
65.6,D7
65.8,D7
66.0,D7
66.2,D7
66.4,D7
66.6,D7
66.8,G
67.0,G
67.2,G
67.4,G
67.6,G
67.8,G
68.0,G
68.2,G
68.4,A-7
68.6,A-7
68.8,A-7
69.0,A-7
69.2,D7
69.4,D7
69.6,D7
69.8,D7
70.0,G/B
