time,chord
15.660,Gj7
16.610,G6
17.540,Gj7
18.450,G6
19.370,G-7
20.300,G-6
21.220,G-7
22.180,G-6
23.150,Am7b5
24.040,D7
24.950,Bm7b5
25.860,E7
26.750,A-7
27.650,D7
28.560,Gj7
29.450,Gj7
30.350,C-7
31.260,F7
32.160,Bbj7
33.090,G-7
34.000,C-7
34.910,F7
35.790,Bbj7
36.710,Bbj7
37.610,A-7
38.510,D7
39.410,Gj7
40.320,Gj7
41.220,F#-7
42.130,B7
43.020,Ej7
43.940,A-7
44.400,D7
44.850,Gj7
45.790,G6
46.720,Gj7
47.690,G6
48.630,G-7
49.610,G-6
50.530,G-7
51.470,G-6
52.380,Am7b5
53.340,D7
54.270,Bm7b5
55.180,E7
56.090,A-7
57.010,D7
57.990,Gj7
58.950,N.C.
59.900,Gj7
60.820,G6
61.730,Gj7
62.640,G6
63.570,G-7
64.490,G-6
65.420,G-7
66.330,G-6
67.290,Am7b5
68.180,D7
69.080,Bm7b5
69.980,E7
70.910,A-7
71.820,D7
72.730,Gj7
73.650,Gj7
74.570,C-7
75.480,F7
76.380,Bbj7
77.290,G-7
78.200,C-7
79.110,F7
80.000,Bbj7
80.910,Bbj7
81.790,A-7
82.670,D7
83.590,Gj7
84.510,Gj7
85.420,F#-7
86.340,B7
87.250,Ej7
88.140,A-7
88.590,D7
89.030,Gj7
89.960,G6
90.860,Gj7
91.750,G6
92.650,G-7
93.560,G-6
94.460,G-7
95.360,G-6
96.240,Am7b5
97.150,D7
98.070,Bm7b5
98.990,E7
99.870,A-7
100.770,D7
101.670,Gj7
102.560,Gj7
103.440,Gj7
104.340,G6
105.260,Gj7
106.160,G6
107.050,G-7
107.960,G-6
108.870,G-7
109.780,G-6
110.680,Am7b5
111.580,D7
112.480,Bm7b5
113.400,E7
114.300,A-7
115.190,D7
116.110,Gj7
117.040,Gj7
117.930,C-7
118.890,F7
119.810,Bbj7
120.750,G-7
121.660,C-7
122.600,F7
123.510,Bbj7
124.440,Bbj7
125.370,A-7
126.300,D7
127.220,Gj7
128.140,Gj7
129.080,F#-7
130.000,B7
130.920,Ej7
131.840,A-7
132.310,D7
132.780,Gj7
133.700,G6
134.650,Gj7
135.560,G6
136.500,G-7
137.390,G-6
138.310,G-7
139.240,G-6
140.160,Am7b5
141.080,D7
141.980,Bm7b5
142.890,E7
143.790,A-7
144.680,D7
145.580,Gj7
146.500,Gj7
147.390,Gj7
148.291,G6
149.275,Gj7
150.140,G6
151.035,G-7
151.945,G-6
152.830,G-7
153.725,G-6
154.620,Am7b5
155.495,D7
156.405,Bm7b5
157.310,E7
158.245,A-7
159.160,D7
160.095,Gj7
161.035,Gj7
161.960,C-7
162.880,F7
163.805,Bbj7
164.710,G-7
165.615,C-7
166.515,F7
167.435,Bbj7
168.350,Bbj7
169.265,A-7
170.155,D7
171.070,Gj7
171.990,Gj7
172.910,F#-7
173.810,B7
174.725,Ej7
175.615,A-7
176.065,D7
176.525,Gj7
177.435,G6
178.355,Gj7
179.260,G6
180.150,G-7
181.090,G-6
182.005,G-7
182.935,G-6
183.850,Am7b5
184.745,D7
185.665,Bm7b5
186.575,E7
187.475,A-7
188.375,D7
189.275,Gj7
190.215,Gj7
191.165,Gj7
192.065,G6
192.965,Gj7
193.860,G6
194.770,G-7
195.685,G-6
196.585,G-7
197.505,G-6
198.415,Am7b5
199.320,D7
200.250,Bm7b5
201.155,E7
202.075,A-7
203.005,D7
203.930,Gj7
204.835,Gj7
205.760,C-7
206.660,F7
207.595,Bbj7
208.510,G-7
209.410,C-7
210.330,F7
211.225,Bbj7
212.135,Bbj7
213.045,A-7
213.960,D7
214.855,Gj7
215.750,Gj7
216.655,F#-7
217.540,B7
218.450,Ej7
219.345,A-7
219.795,D7
220.250,Gj7
221.150,G6
222.040,Gj7
223.010,G6
223.850,G-7
224.750,G-6
225.650,G-7
226.560,G-6
227.460,Am7b5
228.360,D7
229.260,Bm7b5
230.160,E7
231.080,A-7
231.990,D7
232.910,Gj7
233.810,Gj7
234.710,Gj7
235.620,G6
236.530,Gj7
237.440,G6
238.330,G-7
239.240,G-6
240.160,G-7
241.050,G-6
241.940,Am7b5
242.860,D7
243.780,Bm7b5
244.710,E7
245.600,A-7
246.500,D7
247.440,Gj7
248.370,Gj7
249.300,C-7
250.200,F7
251.110,Bbj7
252.020,G-7
252.940,C-7
253.840,F7
254.760,Bbj7
255.640,Bbj7
256.540,A-7
257.450,D7
258.350,Gj7
259.250,Gj7
260.180,F#-7
261.090,B7
262.030,Ej7
262.940,A-7
263.390,D7
263.850,Gj7
264.760,G6
265.660,Gj7
266.540,G6
267.450,G-7
268.380,G-6
269.260,G-7
270.180,G-6
271.050,Am7b5
272.020,D7
272.930,Bm7b5
273.810,E7
274.719,A-7
275.631,D7
276.551,Gj7
277.431,Gj7
278.360,Gj7
279.280,G6
280.210,Gj7
281.090,G6
282.000,N.C.
285.550,Am7b5
286.480,D7
287.370,Bm7b5
288.280,E7
289.170,N.C.
292.720,C-7
293.630,F7
294.540,Bbj7
295.520,G-7
296.450,N.C.
300.108,A-7
301.009,D7
301.929,Gj7
302.868,Gj7
303.788,N.C.
307.531,Gj7
308.409,G6
309.337,Gj7
310.209,G6
311.199,N.C.
314.868,Am7b5
315.799,D7
316.697,Bm7b5
317.649,E7
318.630,N.C.
322.300,Gj7
323.240,G6
324.160,Gj7
325.060,G6
325.990,N.C.
329.570,Am7b5
330.500,D7
331.410,Bm7b5
332.330,E7
333.260,N.C.
337.021,C-7
337.810,F7
338.709,Bbj7
339.599,G-7
340.501,N.C.
344.010,A-7
344.901,D7
345.869,Gj7
346.749,Gj7
347.679,N.C.
351.250,Gj7
352.189,G6
353.079,Gj7
353.981,G6
354.901,N.C.
358.649,Am7b5
359.581,D7
360.480,Bm7b5
361.412,E7
362.281,N.C.
365.710,Gj7
366.632,G6
367.580,Gj7
368.562,G6
369.492,G-7
370.420,G-6
371.332,G-7
372.180,G-6
373.052,Am7b5
373.972,D7
374.882,Bm7b5
375.762,E7
376.711,A-7
377.572,D7
378.500,Gj7
379.431,Gj7
380.360,C-7
381.250,F7
382.150,Bbj7
383.040,G-7
383.930,Bbj7
384.800,F7
385.670,N.C.
387.460,A-7
388.370,D7
389.250,Gj7
390.150,Gj7
391.040,N.C.
394.660,Gj7
395.620,G6
396.501,Gj7
397.413,G6
398.328,N.C.
401.961,Am7b5
402.829,D7
403.660,Bm7b5
404.555,E7
405.471,N.C.
409.064,Gj7
409.940,G6
410.900,Gj7
411.840,G6
412.800,G-7
413.750,G-6
414.690,G-7
415.610,G-6
416.590,Am7b5
417.530,D7
418.430,Bm7b5
419.390,E7
420.330,A-7
421.260,D7
422.190,Gj7
423.110,Gj7
424.050,C-7
424.980,F7
425.860,Bbj7
426.760,G-7
427.620,C-7
428.490,F7
429.370,Bbj7
430.260,Bbj7
431.150,A-7
432.060,D7
432.960,Gj7
433.830,Gj7
434.710,F#-7
435.600,B7
436.510,Ej7
437.400,A-7
437.840,D7
438.320,Gj7
439.250,G6
440.210,Gj7
441.150,G6
442.070,G-7
443.020,G-6
443.970,G-7
444.910,G-6
445.840,Am7b5
446.800,D7
447.760,Bm7b5
448.680,E7
449.610,A-7
450.550,D7
451.470,Gj7
452.410,Gj7
