time,chord
84.8,Gm7b5
85.0,Gm7b5
85.0,Gm7b5
85.2,Gm7b5
85.4,Gm7b5
85.6,C+7
85.8,C+7
86.0,C+7
86.2,C+7
86.4,C+7
86.6,C+7
86.8,C+7
87.0,C+7
87.2,Fm7b5
87.4,Fm7b5
87.6,Fm7b5
87.8,Fm7b5
88.0,Fm7b5
88.2,Fm7b5
88.4,Fm7b5
88.6,Fm7b5
88.8,A#+7
89.0,A#+7
89.2,A#+7
89.4,A#+7
89.6,A#+7
89.8,A#+7
90.0,A#+7
90.2,A#+7
90.4,Dm7b5
90.6,Dm7b5
90.8,Dm7b5
91.0,Dm7b5
91.2,Dm7b5
91.4,Dm7b5
91.6,Dm7b5
91.8,Dm7b5
92.0,G+7
92.2,G+7
92.4,G+7
92.6,G+7
92.8,G+7
93.0,G+7
93.2,G+7
93.4,Cj7
93.6,Cj7
93.8,Cj7
94.0,Cj7
94.2,Cj7
94.4,Cj7
94.6,Cj7
94.8,Cj7
95.0,Cj7
95.2,Cj7
95.4,Cj7
95.6,Cj7
95.8,Cj7
96.0,Cj7
96.2,Cj7
96.4,Cj7
96.6,Gm7b5
96.8,Gm7b5
97.0,Gm7b5
97.2,Gm7b5
97.4,Gm7b5
97.6,Gm7b5
97.8,Gm7b5
98.0,Gm7b5
98.2,C+7
98.4,C+7
98.6,C+7
98.8,C+7
98.8,C+7
99.0,Fm7b5
99.0,Fm7b5
99.2,Fm7b5
99.2,Fm7b5
99.4,A#+7
99.4,A#+7
99.6,A#+7
99.6,A#+7
99.8,Dm7b5
99.8,Dm7b5
100.0,Dm7b5
100.2,Dm7b5
100.4,Dm7b5
100.6,Dm7b5
100.8,G+7
101.0,G+7
101.2,G+7
101.4,G+7
101.6,G+7
101.8,G+7
102.0,G+7
102.2,G+7
102.4,Cj7
102.6,Cj7
102.8,Cj7
103.0,Cj7
103.2,Cj7
103.4,Cj7
103.6,Cj7
103.8,Cj7
104.0,Cj7
104.2,Cj7
104.4,Cj7
104.6,Cj7
104.8,Cj7
105.0,Cj7
105.2,Cj7
105.4,Cj7
105.6,C-7
105.8,C-7
106.0,C-7
106.2,C-7
106.4,C-7
106.6,C-7
106.8,C-7
107.0,C-7
107.2,F7
107.4,F7
107.6,F7
107.8,F7
108.0,F7
108.2,F7
108.4,F7
108.6,F7
108.8,A#j7
109.0,A#j7
109.2,A#j7
109.4,A#j7
109.6,A#j7
109.8,A#j7
110.0,A#j7
110.2,A#j7
110.4,A#j7
110.6,A#j7
110.8,A#j7
111.0,A#j7
111.2,A#j7
111.4,A#j7
111.6,A#j7
111.8,A#j7
112.0,Gb7
112.2,Gb7
112.4,Gb7
