time,chord
12.380,F#:maj7
15.460,F#:maj7
18.620,F#:min7
24.930,F:min7
27.940,A#:min7
31.110,C#:dim
34.210,E:dim
37.370,D#:min7
40.520,G#:7
43.690,C#:maj
46.860,A#:min7
50.090,D#:7
53.320,D#:7
56.550,G#:7
59.830,G#:7
61.480,G:7
63.100,F#:maj7
66.380,F#:maj7
69.650,F#:min7
76.260,C#:maj7
79.450,C#:maj7
82.680,E:min7
85.960,A:7
89.270,D#:min7
92.520,G#:7
95.840,C#:hdim7
97.470,F:7
99.090,A#:min7
102.390,D#:7
105.660,D#:min7
107.340,G#:7
108.970,C#:maj7
120.010,F#:maj7
123.430,F#:maj7
126.870,F#:min7
130.240,B:7
133.650,C#:maj7
137.020,C#:maj7
140.410,E:min7
143.760,A:7
147.240,D#:min7
150.610,G#:7
154.060,A:dim
157.470,A#:min7
