time,chord
0.650,F7
2.490,Bb7
4.270,F7
6.070,F7
7.820,Bb7
9.640,Bb7
11.410,F7
13.200,A-7
14.110,D7
15.000,G-7
16.820,C7
18.600,F7
20.420,C7
22.230,F7
24.070,Bb7
25.890,F7
27.690,F7
29.500,Bb7
31.320,Bb7
33.130,F7
34.960,A-7
35.870,D7
36.760,G-7
38.570,C7
40.410,F7
42.230,C7
44.030,F7
45.880,Bb7
47.740,F7
49.600,F7
51.440,Bb7
53.300,Bb7
55.150,F7
57.030,A-7
57.940,D7
58.870,G-7
60.750,C7
62.620,F7
64.480,C7
66.360,F7
68.250,Bb7
70.170,F7
72.050,F7
73.940,Bb7
75.800,Bb7
77.690,F7
79.550,A-7
80.490,D7
81.440,G-7
83.320,C7
85.190,F7
87.100,C7
88.980,F7
90.890,Bb7
92.780,F7
94.670,F7
96.570,Bb7
98.440,Bb7
100.330,F7
102.220,A-7
103.170,D7
104.100,G-7
105.990,C7
107.880,F7
109.750,C7
111.640,F7
113.540,Bb7
115.450,F7
117.350,F7
119.250,Bb7
121.160,Bb7
123.060,F7
124.960,A-7
125.920,D7
126.870,G-7
128.780,C7
130.690,F7
132.580,C7
134.490,F7
136.380,Bb7
138.270,F7
140.170,F7
142.070,Bb7
143.990,Bb7
145.890,F7
147.790,A-7
148.740,D7
149.690,G-7
151.590,C7
153.480,F7
155.370,C7
157.260,F7
159.180,Bb7
161.100,F7
163.020,F7
164.930,Bb7
166.850,Bb7
168.760,F7
170.680,A-7
171.640,D7
172.590,G-7
174.520,C7
176.460,F7
178.390,C7
180.300,F7
182.220,Bb7
184.140,F7
186.050,F7
187.970,Bb7
189.900,Bb7
191.830,F7
193.760,A-7
194.720,D7
195.680,G-7
197.600,C7
199.510,F7
201.420,C7
203.320,F7
205.230,Bb7
207.160,F7
209.080,F7
210.980,Bb7
212.920,Bb7
214.830,F7
216.750,A-7
217.700,D7
218.650,G-7
220.580,C7
222.510,F7
224.440,C7
226.360,F7
228.290,Bb7
230.220,F7
232.130,F7
234.070,Bb7
236.010,Bb7
237.930,F7
239.850,A-7
240.810,D7
241.780,G-7
243.720,C7
245.630,F7
247.550,C7
249.450,F7
251.390,Bb7
253.320,F7
255.260,F7
257.170,Bb7
259.120,Bb7
261.060,F7
263.000,A-7
263.980,D7
264.960,G-7
266.870,C7
268.800,F7
270.730,C7
272.670,F7
276.320,Eb7
279.930,Db7
283.510,C7
287.080,F7
290.830,F7
292.770,Bb7
294.670,F7
296.590,F7
298.520,Bb7
300.470,Bb7
302.370,F7
304.330,A-7
305.300,D7
306.260,G-7
308.220,C7
310.160,F7
312.100,C7
314.070,F7
316.050,Bb7
318.000,F7
319.930,F7
321.880,Bb7
323.820,Bb7
325.770,F7
327.740,A-7
328.730,D7
329.700,G-7
331.660,C7
333.630,F7
