time,chord
90.4,A#-7
90.4,A#-7
90.6,A#-7
90.8,A#-7
91.0,A#-7
91.2,A#-7
91.4,F#b7
91.6,F#b7
91.8,F7
92.0,F7
92.2,E7
92.4,E7
92.6,D#b7
92.8,D#b7
93.0,Gbj7
93.2,Gbj7
93.4,Gbj7
93.6,Gbj7
93.8,Gbj7
94.0,Gbj7
94.2,Gbj7
94.4,Gbj7
94.6,Gb7
94.8,Gb7
95.0,G7
95.2,F#b7
95.4,F7
95.4,A#7
95.6,A#7
95.6,A#7
95.8,A#7
95.8,A#-7
96.0,A#-7
96.0,D#b7
96.2,D#b7
96.2,Gbj7
96.4,Gbj7
96.4,Gbj7
96.6,Gbj7
96.8,Gbj7
97.0,Gb7
97.2,Gb7
97.4,Gb7
97.6,Gb7
97.8,F79b
98.0,F79b
98.2,F79b
98.4,F79b
98.6,A#-7
98.8,A#-7
98.8,A#-7
99.0,A#-7
99.2,A#-7
99.4,F#b7
99.6,F#b7
99.8,F7
100.0,F7
100.2,E7
100.4,E7
100.6,D#b7
100.8,D#b7
101.0,Gbj7
101.2,Gbj7
101.4,Gbj7
101.4,Gbj7
101.6,Gbj7
101.6,Gb7
101.8,G7
101.8,F#b7
102.0,F7
102.0,A#7
102.2,A#7
102.2,A#7
102.4,A#7
102.4,A#-7
102.6,A#-7
102.8,A#-7
103.0,D#b7
103.2,D#b7
103.4,D#b7
103.6,D#b7
103.8,Gbj7
103.8,Gbj7
104.0,Gbj7
104.0,Gbj7
104.2,Gb7911#
104.2,Gb7911#
104.4,D79b
104.4,D79b
104.6,Gj7
104.6,Gj7
104.8,E-7
105.0,E-7
105.2,E-7
105.4,E-7
105.6,A-7
105.8,A-7
106.0,A-7
106.2,A-7
106.4,D7
106.6,D7
106.8,D7
107.0,D7
107.2,G7
107.4,G7
107.6,G7
107.8,G7
108.0,G#o7
108.2,G#o7
108.2,A-7
108.4,A-7
108.6,A-7
108.8,D7
109.0,D7
109.2,D7
109.2,Gj7
109.4,Gj7
109.6,Gj7
109.8,E-7
110.0,E-7
110.2,E-7
110.4,E-7
110.6,A-7
110.8,A-7
111.0,A-7
111.2,A-7
111.4,D7
111.6,D7
111.8,D7
111.8,G7
112.0,G7
112.0,C-7
112.2,C-7
112.2,D#b7
112.4,D#b7
112.4,Cm7b5
112.6,F79b
112.6,A#-7
112.8,A#-7
112.8,A#-7
113.0,A#-7
113.0,F#b7
113.2,F7
113.2,E7
113.4,D#b7
113.4,Gbj7
113.6,Gbj7
113.6,Gbj7
113.8,Gbj7
113.8,Gb7
114.0,G7
114.0,F#b7
114.2,F7
114.4,F7
114.6,A#7
114.8,A#7
115.0,A#7
115.2,A#7
115.4,A#7
115.6,A#7
115.8,A#7
116.0,A#7
116.2,A#-7
116.4,A#-7
116.6,A#-7
116.8,A#-7
117.0,D#b7
117.2,D#b7
117.2,Gbj7
117.4,Gbj7
117.4,Gbj7
117.6,Gbj7
117.8,Gbj7
118.0,Gb7
118.2,Gb7
118.4,Gb7
118.6,Gb7
118.8,F79b
119.0,F79b
119.2,Gj7
119.2,Gj7
119.4,B7
119.4,B7
119.6,A-7
119.6,F7
119.8,D7
120.0,D7
120.2,D#b7
120.4,D#b7
120.6,G7
120.8,G7
121.0,G7
121.2,G#o7
121.4,G#o7
121.4,A-7
121.6,G7
121.6,D7
121.8,F7
121.8,Gj7
122.0,Gj7
122.2,Gj7
122.4,E-7
122.6,E-7
122.8,E-7
123.0,E-7
123.2,A-7
123.4,A-7
123.6,A-7
123.8,A-7
124.0,D7
124.2,D7
124.4,D7
124.6,D7
124.8,G7
125.0,G7
125.2,G7
125.4,G7
125.6,C-7
125.8,C-7
126.0,C-7
126.2,C-7
126.4,D#b7
126.6,D#b7
126.8,D#b7
127.0,D#b7
127.2,Cm7b5
127.4,Cm7b5
127.6,F79b
127.8,F79b
128.0,A#-7
128.2,A#-7
128.4,A#-7
128.6,A#-7
128.8,A#-7
129.0,A#-7
129.2,A#-7
129.4,A#-7
129.6,F#b7
129.8,F7
129.8,E7
130.0,D#b7
130.2,D#b7
130.4,Gbj7
130.6,Gbj7
130.8,Gbj7
130.8,Gbj7
131.0,Gb7
131.0,G7
131.2,F#b7
131.2,F7
131.4,A#7
131.4,A#7
131.6,A#7
131.6,A#7
131.8,A#-7
131.8,A#-7
132.0,D#b7
132.0,D#b7
132.2,Gbj7
132.2,Gbj7
132.4,Gbj7
132.4,Gbj7
132.6,Gbj7
132.6,Gbj7
132.8,Gbj7
132.8,Gbj7
133.0,Gbj7
133.0,Gbj7
133.2,Gbj7
133.2,Gbj7
133.4,A#-7
133.4,A#-7
133.6,A#-7
133.6,A#-7
133.8,F#b7
133.8,F7
134.0,E7
134.0,D#b7
134.2,Gbj7
134.2,Gbj7
134.4,Gbj7
134.4,Gbj7
134.6,Gb7
134.6,G7
134.8,F#b7
134.8,F7
135.0,A#7
135.0,A#7
135.2,A#7
135.2,A#7
135.4,A#-7
135.4,A#-7
135.6,D#b7
135.6,D#b7
135.8,Gbj7
135.8,Gbj7
136.0,Gbj7
136.0,Gbj7
136.2,Gb7
136.2,Gb7
136.4,F79b
136.4,F79b
136.6,A#-7
136.6,A#-7
136.8,A#-7
136.8,A#-7
137.0,F#b7
137.2,F#b7
137.4,F7
137.6,F7
137.8,E7
138.0,E7
138.2,D#b7
138.4,D#b7
138.6,Gbj7
138.8,Gbj7
139.0,Gbj7
139.2,Gbj7
139.4,Gbj7
139.6,Gbj7
139.8,Gbj7
140.0,Gbj7
140.2,Gb7
140.4,Gb7
140.6,G7
140.8,G7
141.0,F#b7
141.2,F#b7
141.4,F7
141.6,A#7
141.8,A#7
141.8,A#7
142.0,A#7
142.0,A#-7
142.2,A#-7
142.2,D#b7
142.4,D#b7
142.6,D#b7
142.8,Gbj7
143.0,Gbj7
143.2,Gbj7
143.4,Gbj7
143.6,Gbj7
143.6,Gb7911#
143.8,Gb7911#
143.8,D79b
144.0,D79b
144.0,Gj7
144.2,Gj7
144.2,E-7
144.4,E-7
144.4,A-7
144.6,A-7
144.6,D7
144.8,D7
144.8,G7
145.0,G7
145.0,G#o7
145.2,G#o7
145.2,A-7
145.4,A-7
145.6,A-7
145.8,D7
146.0,D7
146.2,D7
146.4,D7
146.6,Gj7
146.8,Gj7
147.0,Gj7
147.2,Gj7
147.4,E-7
147.6,E-7
147.8,E-7
148.0,E-7
148.2,A-7
148.4,A-7
148.6,A-7
148.8,A-7
149.0,D7
149.2,D7
149.4,D7
149.6,D7
149.8,G7
149.8,G7
150.0,C-7
150.0,C-7
150.2,D#b7
150.2,D#b7
150.4,Cm7b5
150.4,F79b
150.6,A#-7
150.6,A#-7
150.8,A#-7
150.8,A#-7
151.0,F#b7
151.0,F7
151.2,E7
151.2,D#b7
151.4,Gbj7
151.4,Gbj7
151.6,Gbj7
151.6,Gbj7
151.8,Gb7
151.8,G7
152.0,F#b7
152.0,F7
152.2,A#7
152.2,A#7
152.4,A#7
152.4,A#7
152.6,A#-7
152.6,A#-7
152.8,D#b7
152.8,D#b7
153.0,Gbj7
153.0,Gbj7
153.2,Gbj7
153.4,Gbj7
153.6,Gbj7
153.6,Gb7
153.8,Gb7
153.8,F79b
154.0,F79b
154.0,Gj7
154.2,Gj7
154.2,B7
154.4,B7
154.6,B7
154.8,A-7
155.0,A-7
155.2,F7
155.4,F7
155.6,D7
155.8,D#b7
156.0,G7
156.0,G7
156.2,G#o7
156.2,G#o7
156.4,A-7
156.6,A-7
156.8,G7
157.0,G7
157.2,D7
157.4,D7
157.6,F7
157.8,F7
158.0,Gj7
158.2,Gj7
158.4,Gj7
158.6,E-7
158.8,E-7
158.8,A-7
159.0,A-7
159.0,D7
159.2,D7
159.2,G7
159.4,G7
159.4,C-7
159.6,C-7
159.6,D#b7
159.8,D#b7
160.0,D#b7
160.2,Cm7b5
160.4,F79b
160.4,A#-7
160.6,A#-7
160.6,A#-7
160.8,A#-7
160.8,F#b7
161.0,F7
161.2,F7
161.4,E7
161.6,E7
161.8,D#b7
162.0,D#b7
162.2,Gbj7
162.4,Gbj7
162.6,Gbj7
162.8,Gbj7
163.0,Gbj7
163.2,Gbj7
163.4,Gbj7
163.6,Gb7
163.8,G7
164.0,G7
164.2,F#b7
164.4,F#b7
164.6,F7
164.8,F7
165.0,A#7
165.2,A#7
165.4,A#7
165.6,A#7
165.8,A#7
166.0,A#7
166.2,A#-7
166.4,A#-7
166.6,A#-7
166.8,A#-7
167.0,D#b7
167.2,D#b7
167.4,D#b7
167.6,D#b7
167.8,Gbj7
168.0,Gbj7
168.0,Gbj7
168.2,Gbj7
168.2,Gbj7
168.4,Gbj7
168.4,Gbj7
168.6,Gbj7
168.6,Gbj7
168.8,Gbj7
168.8,Gbj7
169.0,Gbj7
