time,chord
88.140,C:maj7
89.680,C:maj7
91.190,C:min7
92.750,C:min7
94.280,D:7/b7
95.800,C#:maj/7
97.300,C:maj7
98.840,A:7
100.380,D:min7
101.920,G:7
103.420,C:maj7
104.900,C:maj7
106.350,F:min7
107.840,A#:7
109.320,D#:maj7
110.760,D:min7
111.500,G:7
112.230,C:maj7
113.760,C:maj7
115.230,C:min7
116.740,C:min7
118.220,D:7/b7
119.720,C#:maj/7
121.200,C:maj7
122.710,A:7
124.220,D:min7
124.990,D:min/b7
125.750,B:hdim7
126.500,E:7(b9)
127.250,A:min7
127.990,A:min/b7
128.730,F#:hdim7
129.470,B:7
130.210,E:min7
130.960,A:7
131.700,D:min7
132.410,G:7
133.120,E:min7
133.860,A:7
134.610,D:min7
135.330,G:7
136.050,E:min7
136.780,A:7
137.540,D:min7
138.300,G:7
139.070,C:maj7
140.630,N
142.180,C:maj7
143.740,C:maj7
145.290,C:min7
146.800,C:min7
148.300,D:7/b7
149.810,C#:maj/7
151.330,C:maj7
152.820,A:7
154.360,D:min7
155.890,G:7
157.400,C:maj7
158.930,C:maj7
160.430,F:min7
161.940,A#:7
163.470,D#:maj7
164.990,D:min7
165.740,G:7
166.510,C:maj7
168.050,C:maj7
169.590,C:min7
171.100,C:min7
172.610,D:7/b7
174.120,C#:maj/7
175.580,C:maj7
177.080,A:7
178.540,D:min7
179.320,D:min/b7
180.080,B:hdim7
180.840,E:7(b9)
181.620,A:min7
182.390,A:min/b7
183.140,F#:hdim7
183.920,B:7
184.680,E:min7
185.430,A:7
186.200,D:min7
186.980,G:7
187.750,C:maj7
189.250,D:min7
190.000,G:7
190.740,C:maj7
192.270,C:maj7
193.800,C:min7
195.320,C:min7
196.850,D:7/b7
198.370,C#:maj/7
199.840,C:maj7
201.310,A:7
202.790,D:min7
204.290,G:7
205.770,C:maj7
207.280,C:maj7
208.790,F:min7
210.310,A#:7
211.820,D#:maj7
213.320,D:min7
214.070,G:7
214.820,C:maj7
216.340,C:maj7
217.820,C:min7
219.320,C:min7
220.820,D:7/b7
222.320,C#:maj/7
223.830,C:maj7
225.370,A:7
226.900,D:min7
227.650,D:min/b7
228.410,B:hdim7
229.150,E:7(b9)
229.910,A:min7
230.680,A:min/b7
231.440,F#:hdim7
232.200,B:7
232.970,E:min7
233.730,A:7
234.480,D:min7
235.230,G:7
235.970,C:maj7
237.550,D:min7
238.330,G:7
239.090,C:maj7
240.630,C:maj7
242.130,C:min7
243.640,C:min7
245.120,D:7/b7
246.630,C#:maj/7
248.160,C:maj7
249.660,A:7
251.160,D:min7
252.680,G:7
254.180,C:maj7
255.690,C:maj7
257.190,F:min7
258.670,A#:7
260.150,D#:maj7
261.630,D:min7
262.390,G:7
263.150,C:maj7
264.660,C:maj7
266.180,C:min7
267.690,C:min7
269.160,D:7/b7
270.650,C#:maj/7
272.110,C:maj7
273.580,A:7
275.100,D:min7
275.880,D:min/b7
276.640,B:hdim7
277.400,E:7(b9)
278.170,A:min7
278.920,A:min/b7
279.680,F#:hdim7
280.440,B:7
281.190,E:min7
281.930,A:7
282.680,D:min7
283.420,G:7
284.190,C:maj7
285.720,D:min7
286.470,G:7
287.230,C:maj7
288.740,C:maj7
290.280,C:min7
291.820,C:min7
293.330,D:7/b7
294.860,C#:maj/7
296.390,C:maj7
297.920,A:7
299.440,D:min7
300.980,G:7
302.500,C:maj7
304.030,C:maj7
305.550,F:min7
307.080,A#:7
308.610,D#:maj7
310.150,D:min7
310.920,G:7
311.690,C:maj7
313.220,C:maj7
314.740,C:min7
316.260,C:min7
317.780,D:7/b7
319.310,C#:maj/7
320.790,C:maj7
322.270,A:7
323.790,D:min7
324.570,D:min/b7
325.330,B:hdim7
326.120,E:7(b9)
326.890,A:min7
327.650,A:min/b7
328.430,F#:hdim7
329.200,B:7
329.970,E:min7
330.760,A:7
331.530,D:min7
332.300,G:7
333.070,C:maj7
334.610,D:min7
335.370,G:7
336.130,C:maj7
337.670,C:maj7
339.200,C:min7
340.740,C:min7
342.290,D:7/b7
343.820,C#:maj/7
345.370,C:maj7
346.910,A:7
348.440,D:min7
350.000,G:7
351.530,C:maj7
353.080,C:maj7
354.610,F:min7
356.090,A#:7
357.590,D#:maj7
359.080,D:min7
359.820,G:7
360.590,C:maj7
362.130,C:maj7
363.670,C:min7
365.200,C:min7
366.720,D:7/b7
368.220,C#:maj/7
369.700,C:maj7
371.200,A:7
372.750,D:min7
373.520,D:min/b7
374.300,B:hdim7
375.090,E:7(b9)
375.860,A:min7
376.640,A:min/b7
377.400,F#:hdim7
378.180,B:7
378.960,E:min7
379.740,A:7
380.530,D:min7
381.300,G:7
382.090,C:maj7
383.650,D:min7
384.430,G:7
385.220,C:maj7
386.810,C:maj7
388.360,C:min7
389.910,C:min7
391.450,D:7/b7
392.960,C#:maj/7
394.490,C:maj7
396.050,A:7
397.600,D:min7
399.120,G:7
400.680,C:maj7
402.200,C:maj7
403.730,F:min7
405.210,A#:7
406.690,D#:maj7
408.220,D:min7
409.000,G:7
409.780,C:maj7
411.320,C:maj7
412.850,C:min7
414.410,C:min7
415.980,D:7/b7
417.520,C#:maj/7
419.090,C:maj7
420.660,A:7
422.240,D:min7
423.020,D:min/b7
423.800,B:hdim7
424.580,E:7(b9)
425.360,A:min7
426.130,A:min/b7
426.910,F#:hdim7
427.690,B:7
428.450,E:min7
429.250,A:7
430.030,D:min7
430.790,G:7
431.570,C:maj7
432.350,A:7
433.130,D:min7
433.900,G:7
434.680,C:maj7
436.240,C:maj7
437.810,C:min7
439.350,C:min7
440.910,D:7/b7
442.430,C#:maj/7
443.970,C:maj7
445.520,A:7
447.040,D:min7
448.600,G:7
450.150,C:maj7
451.690,C:maj7
453.230,F:min7
454.740,A#:7
456.230,D#:maj7
457.730,D:min7
458.520,G:7
459.300,C:maj7
460.830,C:maj7
462.380,C:min7
463.940,C:min7
465.450,D:7/b7
467.000,C#:maj/7
468.550,C:maj7
470.100,A:7
471.680,D:min7
472.480,D:min/b7
473.270,B:hdim7
474.030,E:7(b9)
474.830,A:min7
475.600,A:min/b7
476.380,F#:hdim7
477.140,B:7
477.920,E:min7
478.700,A:7
479.460,D:min7
480.250,G:7
481.010,E:min7
481.770,A:7
482.540,D:min7
483.290,G:7
484.040,E:min7
484.820,A:7
485.600,D:min7
486.370,G:7
