time,chord
40.400,Cj7
40.600,D-7
40.800,D-7
41.000,D##o
41.200,D##o
41.400,E-7
41.600,E-7
41.800,E-7
41.800,E-7
42.000,E-7
42.000,A7
42.200,A7
42.200,A7
42.400,A7
42.400,A7
42.600,A7
42.600,A7
42.800,A7
43.000,A7
43.200,D-7
43.400,D-7
43.600,D-7
43.600,D-7
43.800,D-7
44.000,D-7
44.200,G7
44.400,G7
44.400,G7
44.600,G7
44.800,G7
45.000,C
45.200,C
45.400,C
45.600,C
45.800,C
46.000,C
46.200,C
46.200,G7
46.400,G7
46.400,G7
46.600,G7
46.600,Cj7
46.800,D-7
46.800,D##o
47.000,E-7
47.000,E-7
47.200,E-7
47.200,E-7
47.400,E-7
47.400,A7
47.600,A7
47.600,A7
47.800,A7
47.800,A7
48.000,A7
48.000,A7
48.200,A7
48.400,A7
48.600,D-7
48.600,D-7
48.800,D-7
48.800,D-7
49.000,G7
49.000,G7
49.200,G7
49.200,G7
49.400,C
49.600,C
49.600,C
49.800,C
49.800,C7
50.000,C7
50.000,C7
50.200,C7
50.400,C7
50.600,F
50.800,F
50.800,F
51.000,F
51.200,F
51.400,F-
51.600,F-
51.800,F-
52.000,F-
52.200,F-
52.400,F-
52.600,F-
52.800,F-
53.000,E-7
53.200,E-7
53.400,E-7
53.600,E-7
53.800,C
54.000,C
54.200,C
54.400,C
54.600,C7
54.800,C7
55.000,C7
55.200,C7
55.400,C7
55.600,C7
55.800,F6
55.800,F6
56.000,F6
56.000,F6
56.200,F##m7b5
56.200,F##m7b5
56.400,B9b
56.600,B9b
56.800,B9b
57.000,E-7
57.000,E-7
57.200,D7
57.200,D7
57.400,D-7
57.400,D-7
57.600,D-7
57.600,D-7
57.800,Cj7
58.000,Cj7
58.200,D-7
58.400,D-7
58.600,D##o
58.800,D##o
59.000,E-7
59.200,E-7
59.400,E-7
59.600,E-7
59.800,E-7
59.800,E-7
60.000,A7
60.000,A7
60.200,A7
60.200,A7
60.400,A7
60.400,A7
60.600,A7
60.600,A7
60.800,D-
60.800,D-
61.000,D-
61.000,D-
61.200,G7
61.400,G7
61.400,G7
61.600,G7
61.800,G7
62.000,C
62.200,C
62.400,C
62.600,C
62.800,C
62.800,C
63.000,C
63.000,C
63.200,G7
63.200,G7
63.400,NC
63.400,NC
63.600,NC
63.600,NC
63.800,NC
63.800,NC
64.000,NC
64.200,NC
64.400,Cj7
64.400,D-7
64.600,D##o
64.800,D##o
65.000,E-7
65.200,E-7
65.400,E-7
65.600,E-7
65.800,E-7
66.000,E-7
66.200,E-7
66.400,E-7
66.600,E-7
66.800,E-7
67.000,A7
67.200,A7
67.400,A7
67.600,A7
67.800,A7
68.000,A7
68.200,A7
68.400,A7
68.600,A7
68.800,A7
69.000,A7
69.200,A7
69.400,A7
69.600,A7
69.800,A7
70.000,A7
70.200,D-7
70.400,D-7
70.600,D-7
70.800,D-7
71.000,D-7
71.000,D-7
71.200,G7
71.200,G7
71.400,G7
71.600,G7
71.800,G7
72.000,G7
72.200,C
72.400,C
72.600,C
72.600,C
72.800,C
73.000,C
73.200,G7
73.400,G7
73.600,G7
73.800,G7
74.000,G7
74.200,G7
74.400,G7
74.600,G7
74.800,Cj7
75.000,Cj7
75.200,D-7
75.400,D-7
75.600,D##o
75.800,D##o
76.000,E-7
76.200,E-7
76.400,E-7
76.600,E-7
76.800,E-7
77.000,E-7
77.200,E-7
77.400,E-7
77.600,E-7
77.800,E-7
78.000,A7
78.200,A7
78.400,A7
78.400,A7
78.600,A7
78.600,A7
78.800,A7
78.800,A7
79.000,D-7
79.200,D-7
79.200,D-7
79.400,D-7
79.400,G7
79.600,G7
79.600,G7
79.800,G7
80.000,G7
80.200,C
80.400,C
80.600,C
80.800,C
81.000,C
81.200,C
81.400,C
81.600,C7
81.600,C7
81.800,C7
81.800,C7
82.000,F
82.000,F
82.200,F
82.200,F
82.400,F-
82.400,F-
82.600,F-
82.800,F-
83.000,F-
83.200,F-
83.400,E-7
83.600,E-7
83.800,E-7
84.000,E-7
84.200,C
84.400,C
