time,chord
116.0,A#j7
116.0,A#j7
116.2,G7
116.2,G7
116.4,C-7
116.4,C-7
116.6,F7
116.6,F7
116.8,A#j7
116.8,A#j7
117.0,G7
117.0,G7
117.2,C-7
117.2,C-7
117.4,F7
117.4,F7
117.6,F-7
117.6,F-7
117.8,A#7
117.8,A#7
118.0,D#bj7
118.0,D#bj7
118.2,D#b-6
118.2,D#b-6
118.4,A#j7
118.4,A#j7
118.6,G7
118.6,G7
118.8,C-7
118.8,C-7
119.0,F7
119.0,F7
119.2,A#j7
119.2,A#j7
119.4,G7
119.4,G7
119.6,C-7
119.6,C-7
119.8,F7
119.8,F7
120.0,A#j7
120.0,A#j7
120.2,G7
120.2,G7
120.4,C-7
120.4,C-7
120.6,F7
120.6,F7
120.8,A#j7
120.8,A#j7
121.0,A#7
121.0,A#7
121.2,D#bj7
121.4,D#bj7
121.6,D#bj7
121.8,D#bj7
122.0,D#b-6
122.2,D#b-6
122.4,D#b-6
122.6,D#b-6
122.8,A#j7
123.0,A#j7
123.2,A#j7
123.4,A#j7
123.6,F7
123.8,F7
124.0,F7
124.2,F7
124.4,B7
124.6,B7
124.8,B7
125.0,B7
125.2,B7
125.4,B7
125.6,B7
125.8,B7
126.0,D7
126.2,D7
126.4,D7
126.6,D7
126.8,D7
127.0,D7
127.2,D7
127.4,D7
127.6,D7
127.8,D7
128.0,D7
128.2,D7
128.4,D7
128.6,D7
128.8,D7
129.0,D7
129.2,G7
129.4,G7
129.6,G7
129.8,G7
130.0,G7
130.2,G7
130.4,G7
130.6,G7
130.8,G7
131.0,G7
131.2,G7
131.4,G7
131.6,G7
131.8,G7
132.0,G7
132.2,G7
132.4,C7
132.6,C7
132.8,C7
133.0,C7
133.2,C7
133.4,C7
133.6,C7
133.8,C7
134.0,C7
134.0,C7
134.2,C7
134.2,C7
134.4,F7
134.6,F7
134.6,F7
134.8,F7
134.8,F7
135.0,F7
135.0,F7
135.2,F7
135.2,A#j7
135.4,A#j7
135.6,A#j7
135.8,G7
136.0,G7
136.2,G7
136.4,G7
136.6,C-7
136.8,C-7
137.0,C-7
137.2,C-7
137.4,F7
137.6,F7
137.8,F7
138.0,F7
138.2,A#j7
138.4,A#j7
138.6,A#j7
138.8,G7
138.8,G7
139.0,C-7
139.0,C-7
139.2,F7
139.2,F7
139.4,A#j7
139.4,A#j7
139.6,A#7
139.6,A#7
139.8,D#bj7
140.0,D#bj7
140.2,D#bj7
140.4,D#bj7
140.6,D#b-6
140.8,D#b-6
141.0,D#b-6
141.2,D#b-6
141.4,A#j7
141.6,A#j7
141.8,A#j7
142.0,A#j7
142.2,F7
142.4,F7
142.6,F7
142.8,F7
143.0,A#j7
143.2,A#j7
143.4,A#j7
143.6,A#j7
143.8,A#j7
144.0,A#j7
144.2,A#j7
144.4,A#j7
144.6,A#j7
144.8,A#j7
145.0,A#j7
145.2,A#j7
145.4,G7
145.6,G7
145.8,G7
146.0,G7
146.2,C-7
146.4,C-7
146.6,C-7
146.8,C-7
147.0,F7
147.2,F7
147.4,F7
147.6,F7
147.8,A#j7
148.0,A#j7
148.2,A#j7
148.4,A#j7
148.6,G7
148.8,G7
149.0,G7
149.2,G7
149.4,C-7
149.6,C-7
149.8,C-7
150.0,C-7
150.2,F7
150.4,F7
150.6,F7
150.8,F7
151.0,F-7
151.2,F-7
151.4,F-7
151.6,F-7
151.8,A#7
152.0,A#7
152.2,A#7
152.4,A#7
152.6,D#bj7
152.8,D#bj7
153.0,D#bj7
153.2,D#bj7
153.4,D#b-6
153.6,D#b-6
153.8,D#b-6
154.0,D#b-6
154.2,A#j7
154.4,A#j7
154.6,A#j7
154.8,A#j7
155.0,G7
155.2,G7
155.4,G7
155.6,G7
155.8,C-7
156.0,C-7
156.2,C-7
156.4,C-7
156.6,F7
156.8,F7
157.0,F7
157.2,F7
157.4,A#j7
157.6,A#j7
157.8,A#j7
157.8,G7
158.0,G7
158.0,C-7
158.2,C-7
158.2,F7
158.4,F7
158.4,A#j7
158.6,A#j7
158.6,G7
158.8,G7
158.8,C-7
159.0,C-7
159.0,F7
159.2,F7
159.2,A#j7
159.4,A#j7
159.4,A#7
159.6,A#7
159.6,D#bj7
159.8,D#bj7
160.0,D#bj7
160.2,D#b-6
160.4,D#b-6
160.6,D#b-6
160.8,A#j7
160.8,A#j7
161.0,F7
161.0,F7
161.2,B7
161.2,B7
161.4,B7
161.4,B7
161.6,D7
161.6,D7
161.8,D7
161.8,D7
162.0,D7
162.0,D7
162.2,D7
162.2,D7
162.4,G7
162.4,G7
162.6,G7
162.6,G7
162.8,G7
162.8,G7
163.0,G7
163.2,G7
163.4,G7
163.6,G7
163.8,C7
164.0,C7
164.2,C7
164.4,C7
164.6,C7
164.8,C7
165.0,C7
165.2,C7
165.4,C7
165.6,C7
165.8,C7
166.0,C7
166.2,C7
166.4,C7
166.6,C7
166.8,F7
166.8,F7
167.0,F7
167.0,F7
167.2,F7
167.2,F7
167.4,F7
167.6,F7
167.8,F7
168.0,F7
168.2,A#j7
168.4,A#j7
168.6,A#j7
168.8,A#j7
169.0,G7
169.2,G7
169.2,C-7
169.4,C-7
169.4,F7
169.6,F7
169.6,A#j7
169.8,A#j7
170.0,A#j7
170.2,G7
170.4,G7
170.6,G7
170.8,G7
171.0,C-7
171.2,C-7
171.4,C-7
171.6,C-7
171.8,F7
172.0,F7
172.2,F7
172.4,F7
172.6,A#j7
172.8,A#j7
173.0,A#j7
173.2,A#j7
173.4,A#7
173.6,A#7
173.8,A#7
174.0,A#7
174.2,D#bj7
174.4,D#bj7
174.6,D#bj7
174.8,D#bj7
175.0,D#b-6
175.2,D#b-6
175.4,D#b-6
175.6,D#b-6
175.8,A#j7
176.0,A#j7
176.2,A#j7
176.4,A#j7
176.6,F7
176.8,F7
177.0,F7
177.2,F7
177.4,A#j7
177.6,A#j7
177.8,A#j7
178.0,A#j7
178.2,A#j7
178.4,A#j7
178.6,A#j7
178.8,A#j7
179.0,A#j7
179.2,A#j7
179.4,A#j7
179.4,G7
179.6,G7
179.6,C-7
179.8,C-7
180.0,C-7
180.2,F7
180.4,F7
180.4,A#j7
180.6,A#j7
180.6,G7
180.8,G7
181.0,G7
181.2,C-7
181.4,C-7
181.6,C-7
181.8,C-7
182.0,F7
182.2,F7
182.2,F-7
182.4,F-7
182.4,A#7
182.6,A#7
182.6,D#bj7
182.8,D#bj7
182.8,D#b-6
183.0,D#b-6
183.0,A#j7
183.2,A#j7
183.2,G7
183.4,G7
183.4,C-7
183.6,C-7
183.8,C-7
184.0,F7
184.2,F7
184.4,F7
184.6,F7
184.8,A#j7
185.0,A#j7
185.2,A#j7
185.4,A#j7
185.6,G7
185.8,G7
186.0,G7
186.2,G7
186.4,C-7
186.6,C-7
186.8,C-7
187.0,C-7
187.2,F7
187.4,F7
187.4,A#j7
187.6,A#j7
187.6,G7
187.8,G7
188.0,G7
188.2,C-7
188.4,C-7
188.4,F7
188.6,F7
188.8,F7
189.0,A#j7
189.2,A#j7
189.4,A#j7
189.6,A#j7
189.8,A#7
190.0,A#7
190.2,A#7
190.4,A#7
190.6,D#bj7
190.8,D#bj7
191.0,D#bj7
191.2,D#b-6
191.4,D#b-6
191.4,A#j7
191.6,A#j7
191.6,F7
191.8,F7
191.8,B7
192.0,B7
192.0,B7
192.2,B7
192.4,B7
192.6,D7
192.8,D7
193.0,D7
193.2,D7
193.4,D7
193.6,D7
193.8,D7
194.0,D7
194.2,D7
194.4,D7
194.6,D7
194.8,D7
195.0,D7
195.2,D7
195.4,D7
195.6,D7
195.8,G7
196.0,G7
196.2,G7
196.4,G7
196.6,G7
196.8,G7
197.0,G7
197.2,G7
197.4,G7
197.6,G7
197.8,G7
198.0,G7
198.2,G7
198.4,G7
198.6,G7
198.8,G7
199.0,C7
199.2,C7
199.2,C7
199.4,C7
199.4,C7
199.6,C7
199.6,C7
199.8,C7
200.0,C7
200.2,F7
200.4,F7
200.6,F7
200.8,F7
201.0,F7
201.2,F7
201.4,F7
201.6,F7
201.8,F7
202.0,F7
202.2,F7
202.4,F7
202.6,F7
202.8,F7
203.0,A#j7
203.2,A#j7
203.4,A#j7
203.6,A#j7
203.8,G7
204.0,G7
204.2,G7
204.4,C-7
204.6,C-7
204.8,C-7
205.0,C-7
205.2,F7
205.4,F7
205.6,F7
205.8,F7
206.0,A#j7
206.0,A#j7
206.2,G7
206.2,G7
206.4,C-7
206.4,C-7
206.6,F7
206.6,F7
206.8,A#j7
206.8,A#j7
207.0,A#7
207.0,A#7
207.2,D#bj7
207.2,D#bj7
207.4,D#b-6
207.4,D#b-6
207.6,A#j7
207.6,A#j7
207.8,F7
207.8,F7
208.0,A#j7
208.0,A#j7
208.2,A#j7
208.2,A#j7
