time,chord
18.4,A#j7
18.4,A#j7
18.6,A#j7
18.6,A#j7
18.8,A#j7
18.8,A#j7
19.0,A#j7
19.0,A#j7
19.2,F-7
19.2,F-7
19.4,F-7
19.4,F-7
19.6,A#7
19.6,A#7
19.8,A#7
19.8,A#7
20.0,D#bj7
20.2,D#bj7
20.4,D#bj7
20.6,D#bj7
20.8,D#bj7
21.0,D#bj7
21.2,D#bj7
21.4,D#bj7
21.6,D#bj7
21.8,D#bj7
22.0,D#bj7
22.2,D#bj7
22.4,D#bj7
22.6,D#bj7
22.6,Gb7
22.8,Gb7
22.8,Gb7
23.0,Gb7
23.0,Gb7
23.2,Gb7
23.2,Gb7
23.4,Gb7
23.4,A#j7
23.6,A#j7
23.6,A#j7
23.8,A#j7
23.8,G-7
24.0,G-7
24.0,G-7
24.2,G-7
24.2,C7
24.4,C7
24.4,C7
24.6,C7
24.6,C7
24.8,C7
24.8,C7
25.0,C7
25.0,C-7
25.2,C-7
25.2,C-7
25.4,C-7
25.6,C-7
25.8,B
26.0,B
26.2,B
26.2,B
26.4,B
26.6,B
26.8,C-7
27.0,C-7
27.2,C-7
27.4,C-7
27.6,C-7
27.8,C-7
28.0,C-7
28.2,F+7
28.4,F+7
28.6,F+7
28.8,F+7
29.0,F+7
29.2,F+7
29.4,F+7
29.6,F+7
29.8,A#j7
30.0,A#j7
30.2,A#j7
30.4,A#j7
30.6,A#j7
30.8,A#j7
31.0,A#j7
31.2,A#j7
31.4,A#j7
31.6,A#j7
31.8,A#j7
32.0,A#j7
32.2,A#j7
32.4,A#j7
32.6,A#j7
32.8,A#j7
33.0,F-7
33.2,F-7
33.4,F-7
33.6,F-7
33.8,F-7
34.0,F-7
34.2,F-7
34.4,F-7
34.6,A#7
34.8,A#7
35.0,A#7
35.2,A#7
35.4,A#7
35.6,A#7
35.8,A#7
36.0,A#7
36.2,D#bj7
36.4,D#bj7
36.6,D#bj7
36.8,D#bj7
37.0,D#bj7
37.2,D#bj7
37.4,D#bj7
37.6,D#bj7
37.8,D#bj7
38.0,D#bj7
38.2,D#bj7
38.2,D#bj7
38.4,D#bj7
38.4,Gb7
38.6,Gb7
38.6,Gb7
38.8,Gb7
38.8,Gb7
39.0,Gb7
39.2,Gb7
39.4,Gb7
39.6,Gb7
39.8,Gb7
40.0,Gb7
40.2,A#j7
40.4,A#j7
40.6,A#j7
40.8,A#j7
41.0,A#j7
41.2,A#j7
41.4,A#j7
41.6,A#j7
41.8,G-7
42.0,G-7
42.2,G-7
42.4,G-7
42.6,G-7
42.8,G-7
43.0,G-7
43.0,C7
43.2,C7
43.4,C7
43.6,C7
43.8,C7
44.0,C7
44.2,C7
44.2,C7
44.4,C7
44.4,C7
44.6,C-7
44.8,C-7
45.0,C-7
45.2,C-7
45.4,C-7
45.6,C-7
45.8,C-7
46.0,C-7
46.2,F7
46.4,F7
46.6,F7
46.8,F7
47.0,F7
47.2,F7
47.4,F7
47.6,F7
47.8,A#6
48.0,A#6
48.2,A#6
48.4,A#6
48.6,A#6
48.8,A#6
49.0,A#6
49.2,A#6
49.4,A#6
49.6,A#6
49.8,A#6
50.0,A#6
50.2,A#6
50.4,A#6
50.6,A#6
50.8,A#6
51.0,C##-7
51.2,C##-7
51.4,C##-7
51.6,C##-7
51.8,C##-7
52.0,C##-7
52.2,C##-7
52.4,C##-7
52.6,F##7
52.8,F##7
53.0,F##7
53.2,F##7
53.4,F##7
53.6,F##7
53.8,F##7
54.0,F##7
54.2,B7
54.4,B7
54.6,B7
54.8,B7
55.0,B7
55.2,B7
55.4,B7
55.6,B7
55.8,B7
56.0,B7
56.2,B7
56.4,B7
56.6,B7
56.8,B7
57.0,B7
57.2,B7
57.4,B7
57.6,B7
57.8,B7
58.0,B7
58.2,B7
58.4,B7
58.6,B7
58.8,B7
59.0,E7
59.2,E7
59.4,E7
59.6,E7
59.8,E7
60.0,E7
60.2,Aj7
60.4,Aj7
60.6,Aj7
60.8,Aj7
61.0,Aj7
61.2,Aj7
61.4,Aj7
61.6,Aj7
61.8,Aj7
62.0,Aj7
62.0,Aj7
62.2,Aj7
62.4,Aj7
62.6,A-7
62.8,A-7
63.0,A-7
63.2,A-7
63.4,A-7
63.6,A-7
63.8,A-7
64.0,A-7
64.2,D7
64.4,D7
64.6,D7
64.8,D7
65.0,D7
65.2,D7
65.4,D7
65.6,D7
65.8,Gj7
66.0,Gj7
66.2,Gj7
66.4,Gj7
66.6,Gj7
66.8,Gj7
67.0,Gj7
67.2,Gj7
67.4,Gj7
67.6,Gj7
67.8,Gj7
67.8,Gj7
68.0,Gj7
68.2,Gj7
68.4,G-7
68.6,G-7
68.8,G-7
69.0,G-7
69.2,G-7
69.4,G-7
69.6,C7
69.8,C7
70.0,C7
70.2,C7
70.4,C7
70.6,C7
70.8,C7
71.0,C7
71.2,C-7
71.4,C-7
71.6,C-7
71.8,C-7
72.0,C-7
72.2,C-7
72.4,F+7
72.6,F+7
72.8,F+7
73.0,F+7
73.2,F+7
73.4,F+7
73.6,F+7
73.8,F+7
74.0,A#j7
74.2,A#j7
74.4,A#j7
74.6,A#j7
74.8,A#j7
74.8,A#j7
75.0,A#j7
75.0,A#j7
75.2,A#j7
75.4,A#j7
75.6,F-7
75.8,F-7
76.0,F-7
76.2,F-7
76.4,F-7
76.6,F-7
76.8,F-7
77.0,A#7
77.2,A#7
77.4,A#7
77.6,A#7
77.8,A#7
78.0,A#7
78.2,D#bj7
78.2,D#bj7
78.4,D#bj7
78.4,D#bj7
78.6,D#bj7
78.6,D#bj7
78.8,D#bj7
78.8,D#bj7
79.0,Gb7
79.0,Gb7
79.2,Gb7
79.2,Gb7
79.4,Gb7
79.4,Gb7
79.6,Gb7
79.6,Gb7
79.8,A#j7
79.8,A#j7
80.0,A#j7
80.0,A#j7
80.2,G-7
80.2,G-7
80.4,G-7
80.4,G-7
80.6,C7
80.6,C7
80.8,C7
80.8,C7
81.0,C7
81.0,C7
81.2,C7
81.2,C7
81.4,C-7
81.4,C-7
81.6,C-7
81.6,C-7
81.8,F7
82.0,F7
82.2,F7
82.4,F7
82.6,F7
82.8,F7
83.0,F7
83.2,A#6
83.4,A#6
83.4,A#6
83.6,A#6
83.6,A#6
83.8,A#6
83.8,A#6
84.0,A#6
84.0,A#j7
84.2,A#j7
84.2,A#j7
84.4,A#j7
84.4,A#j7
84.6,A#j7
84.6,A#j7
84.8,A#j7
84.8,F-7
85.0,F-7
85.0,F-7
85.2,F-7
85.2,A#7
85.4,A#7
85.4,A#7
85.6,A#7
85.6,D#bj7
85.8,D#bj7
85.8,D#bj7
86.0,D#bj7
86.0,D#bj7
86.2,D#bj7
86.2,D#bj7
86.4,D#bj7
86.4,Gb7
86.6,Gb7
86.6,Gb7
86.8,Gb7
86.8,Gb7
87.0,Gb7
87.0,Gb7
87.2,Gb7
87.2,A#j7
87.4,A#j7
87.4,A#j7
87.6,A#j7
87.6,G-7
87.8,G-7
87.8,G-7
88.0,G-7
88.2,G-7
88.4,C7
88.6,C7
88.8,C7
89.0,C7
89.2,C7
89.4,C7
89.6,C7
89.8,C7
90.0,C7
90.2,C7
90.4,C7
90.6,C7
90.8,C7
91.0,C7
91.2,C-7
91.4,C-7
91.6,C-7
91.8,C-7
92.0,C-7
92.2,C-7
92.4,C-7
92.6,C-7
92.8,B
93.0,B
93.0,B
93.2,B
93.2,C-7
93.4,C-7
93.4,C-7
93.6,C-7
93.8,C-7
94.0,F+7
94.2,F+7
94.4,F+7
94.4,F+7
94.6,A#j7
94.6,A#j7
94.8,A#j7
94.8,A#j7
95.0,A#j7
95.0,A#j7
95.2,A#j7
95.2,A#j7
95.4,F-7
95.4,F-7
95.6,F-7
95.6,F-7
95.8,A#7
95.8,A#7
96.0,A#7
96.0,A#7
96.2,D#bj7
96.2,D#bj7
96.4,D#bj7
96.4,D#bj7
96.6,D#bj7
96.8,D#bj7
97.0,D#bj7
97.2,D#bj7
97.4,D#bj7
97.6,D#bj7
97.8,D#bj7
98.0,D#bj7
98.2,Gb7
98.4,Gb7
98.4,Gb7
98.6,Gb7
98.6,Gb7
98.8,Gb7
98.8,Gb7
99.0,Gb7
99.0,A#j7
99.2,A#j7
99.2,A#j7
99.4,A#j7
99.4,G-7
99.6,G-7
99.6,G-7
99.8,G-7
100.0,G-7
100.2,C7
100.4,C7
100.6,C7
100.8,C7
101.0,C7
101.2,C7
101.4,C7
101.6,C7
101.8,C7
102.0,C7
102.2,C7
102.4,C7
102.6,C7
102.8,C7
103.0,C7
103.2,C7
103.4,C-7
103.4,C-7
103.6,C-7
103.6,C-7
103.8,F7
103.8,F7
104.0,F7
104.0,F7
104.2,A#6
104.2,A#6
104.4,A#6
104.4,A#6
104.6,A#6
104.8,A#6
105.0,A#6
105.2,A#6
105.4,A#6
105.6,A#6
105.8,A#6
106.0,A#6
106.2,C##-7
106.4,C##-7
106.6,C##-7
106.8,C##-7
107.0,C##-7
107.2,C##-7
107.4,C##-7
107.6,C##-7
107.8,F##7
108.0,F##7
108.2,F##7
108.4,F##7
108.6,F##7
108.8,F##7
109.0,F##7
109.2,F##7
109.4,B7
109.6,B7
109.8,B7
110.0,B7
110.2,B7
110.4,B7
110.6,B7
110.8,B7
111.0,B7
111.2,B7
111.4,B7
111.6,B7
111.8,B7
112.0,B7
112.2,B7
112.4,B7
112.6,B7
112.8,B7
113.0,B7
113.2,B7
113.4,B7
113.6,B7
113.8,B7
114.0,B7
114.2,E7
114.4,E7
114.6,E7
114.8,E7
115.0,E7
115.2,E7
115.4,E7
115.6,E7
115.8,Aj7
116.0,Aj7
116.2,Aj7
116.4,Aj7
116.6,Aj7
116.8,Aj7
117.0,Aj7
117.2,Aj7
117.4,Aj7
117.6,Aj7
117.8,Aj7
118.0,Aj7
118.2,Aj7
118.4,Aj7
118.6,Aj7
118.8,Aj7
119.0,A-7
119.2,A-7
119.4,A-7
119.6,A-7
119.8,A-7
120.0,A-7
120.2,A-7
120.4,A-7
120.6,D7
120.8,D7
121.0,D7
121.2,D7
121.4,D7
121.6,D7
121.8,D7
122.0,D7
122.2,Gj7
122.4,Gj7
122.6,Gj7
122.8,Gj7
123.0,Gj7
123.2,Gj7
123.4,Gj7
123.6,Gj7
123.8,Gj7
124.0,Gj7
124.2,Gj7
124.4,Gj7
124.6,Gj7
124.8,Gj7
124.8,G-7
125.0,G-7
125.2,G-7
125.4,G-7
125.6,G-7
125.8,G-7
126.0,G-7
126.2,C7
126.4,C7
126.6,C7
126.8,C7
127.0,C7
127.0,C-7
127.2,C-7
127.4,C-7
127.6,C-7
127.8,C-7
128.0,C-7
128.2,C-7
128.4,F+7
128.6,F+7
128.8,F+7
129.0,F+7
129.2,F+7
129.4,F+7
129.6,F+7
129.8,F+7
130.0,A#j7
130.2,A#j7
130.4,A#j7
130.6,A#j7
130.8,A#j7
131.0,A#j7
131.2,A#j7
131.4,A#j7
131.6,A#j7
131.8,A#j7
132.0,A#j7
132.2,A#j7
132.4,A#j7
132.6,A#j7
132.8,A#j7
133.0,A#j7
133.2,F-7
133.4,F-7
133.6,F-7
133.8,F-7
134.0,F-7
134.2,F-7
134.4,F-7
134.6,F-7
134.8,A#7
135.0,A#7
135.2,A#7
135.4,A#7
135.6,A#7
135.8,A#7
136.0,A#7
136.2,A#7
136.4,D#bj7
136.6,D#bj7
136.8,D#bj7
137.0,D#bj7
137.2,D#bj7
137.4,D#bj7
137.6,D#bj7
137.8,D#bj7
138.0,D#bj7
138.0,D#bj7
138.2,D#bj7
138.2,D#bj7
138.4,Gb7
138.4,Gb7
138.6,Gb7
138.6,Gb7
138.8,Gb7
138.8,Gb7
139.0,Gb7
139.0,Gb7
139.2,A#j7
139.2,A#j7
139.4,A#j7
139.4,A#j7
139.6,G-7
139.6,G-7
139.8,G-7
139.8,G-7
140.0,C7
140.0,C7
140.2,C7
140.2,C7
140.4,C7
140.4,C7
140.6,C7
140.6,C7
140.8,C-7
140.8,C-7
141.0,C-7
141.0,C-7
141.2,F7
141.4,F7
141.6,F7
141.8,F7
142.0,F7
142.2,F7
142.4,F7
142.6,F7
142.8,A#6
143.0,A#6
143.2,A#6
143.4,A#6
143.6,A#6
143.6,A#6
143.8,A#6
143.8,A#6
144.0,A#6
144.0,A#6
144.2,A#j7
144.2,A#j7
144.4,A#j7
144.4,A#j7
144.6,A#j7
144.6,A#j7
144.8,A#j7
144.8,A#j7
145.0,F-7
145.0,F-7
145.2,F-7
145.2,F-7
145.4,A#7
145.6,A#7
145.6,A#7
145.8,A#7
145.8,D#bj7
146.0,D#bj7
146.0,D#bj7
146.2,D#bj7
146.2,D#bj7
146.4,D#bj7
146.4,D#bj7
146.6,D#bj7
146.6,Gb7
146.8,Gb7
146.8,Gb7
147.0,Gb7
147.0,Gb7
147.2,Gb7
147.2,Gb7
147.4,Gb7
147.4,A#j7
147.6,A#j7
147.6,A#j7
147.8,A#j7
147.8,G-7
148.0,G-7
148.0,G-7
148.2,G-7
148.4,G-7
148.6,C7
148.8,C7
148.8,C7
149.0,C7
149.0,C7
149.2,C7
149.2,C7
149.4,C7
149.4,C-7
149.6,C-7
149.6,C-7
149.8,C-7
150.0,C-7
150.2,B
150.4,B
150.6,B
150.8,B
151.0,B
151.2,B
151.4,C-7
151.4,C-7
151.6,C-7
151.6,C-7
151.8,F+7
151.8,F+7
152.0,F+7
152.0,F+7
152.2,A#j7
152.2,A#j7
152.4,A#j7
152.4,A#j7
152.6,A#j7
152.6,A#j7
152.8,A#j7
152.8,A#j7
153.0,F-7
153.0,F-7
153.2,F-7
153.2,F-7
153.4,A#7
153.4,A#7
153.6,A#7
153.6,A#7
153.8,D#bj7
153.8,D#bj7
154.0,D#bj7
154.0,D#bj7
154.2,D#bj7
154.2,D#bj7
154.4,D#bj7
154.4,D#bj7
154.6,Gb7
154.6,Gb7
154.8,Gb7
154.8,Gb7
155.0,Gb7
155.0,Gb7
155.2,Gb7
155.2,Gb7
155.4,A#j7
155.4,A#j7
155.6,A#j7
155.6,A#j7
155.8,G-7
155.8,G-7
156.0,G-7
156.0,G-7
156.2,C7
156.2,C7
156.4,C7
156.4,C7
156.6,C7
156.6,C7
156.8,C7
156.8,C7
157.0,C-7
157.0,C-7
157.2,C-7
157.2,C-7
157.4,F7
157.6,F7
157.8,F7
158.0,F7
158.2,F7
158.4,F7
158.6,F7
158.8,F7
159.0,A#6
159.2,A#6
159.4,A#6
159.4,A#6
159.6,A#6
159.6,A#6
159.8,A#6
160.0,A#6
160.2,A#6
160.4,A#6
160.6,A#6
160.8,A#6
161.0,C##-7
161.2,C##-7
161.4,C##-7
161.6,C##-7
161.8,C##-7
162.0,C##-7
162.2,C##-7
162.4,F##7
162.6,F##7
162.6,F##7
162.8,F##7
162.8,B7
163.0,B7
163.0,B7
163.2,B7
163.2,B7
163.4,B7
163.4,B7
163.6,B7
163.8,B7
164.0,B7
164.2,B7
164.2,B7
164.4,B7
164.4,E7
164.6,E7
164.6,E7
164.8,E7
164.8,Aj7
165.0,Aj7
165.0,Aj7
165.2,Aj7
165.2,Aj7
165.4,Aj7
165.4,Aj7
165.6,Aj7
165.6,A-7
165.8,A-7
165.8,A-7
166.0,A-7
166.0,D7
166.2,D7
166.2,D7
166.4,D7
166.6,D7
166.8,Gj7
167.0,Gj7
167.2,Gj7
167.4,Gj7
167.4,Gj7
167.6,Gj7
167.6,Gj7
167.8,Gj7
167.8,Gj7
168.0,G-7
168.0,G-7
168.2,G-7
168.2,G-7
168.4,C7
168.6,C7
168.6,C7
168.8,C7
168.8,C-7
169.0,C-7
169.0,C-7
169.2,C-7
169.4,C-7
169.6,F+7
169.8,F+7
170.0,F+7
170.2,F+7
170.4,F+7
170.6,F+7
170.8,F+7
171.0,A#j7
171.2,A#j7
171.4,A#j7
171.6,A#j7
171.8,A#j7
172.0,A#j7
172.0,A#j7
172.2,A#j7
172.2,A#j7
172.4,A#j7
172.4,F-7
172.6,F-7
172.6,F-7
172.8,F-7
172.8,A#7
173.0,A#7
173.0,A#7
173.2,A#7
173.2,D#bj7
173.4,D#bj7
173.4,D#bj7
173.6,D#bj7
173.6,D#bj7
173.8,D#bj7
173.8,D#bj7
174.0,D#bj7
174.0,Gb7
174.2,Gb7
174.2,Gb7
174.4,Gb7
174.4,Gb7
174.6,Gb7
174.6,Gb7
174.8,Gb7
175.0,Gb7
175.2,A#j7
175.4,A#j7
175.6,A#j7
175.8,A#j7
176.0,A#j7
176.2,A#j7
176.4,A#j7
176.6,A#j7
176.8,G-7
177.0,G-7
177.2,G-7
177.4,G-7
177.6,G-7
177.8,G-7
178.0,C7
178.0,C7
178.2,C7
178.4,C7
178.6,C7
178.8,C7
179.0,C7
179.2,C7
179.4,C7
179.6,C7
179.8,C7
180.0,C7
180.2,C7
180.4,C7
180.6,C-7
180.8,C-7
181.0,C-7
181.2,C-7
181.4,C-7
181.6,C-7
181.8,C-7
182.0,C-7
182.2,F7
182.4,F7
182.6,F7
182.8,F7
183.0,F7
183.2,F7
183.4,F7
183.6,F7
183.8,A#6
184.0,A#6
184.2,A#6
184.4,A#6
184.6,A#6
184.6,A#6
184.8,A#6
184.8,A#6
185.0,A#6
185.0,A#6
