time,chord
2.4,C:min7
2.4,C:min7
2.6,C:min7
2.6,C:min7
2.8,C:min7
2.8,C:min7
3.0,C:min7
3.0,C:min7
3.2,C:min7
3.2,C:min7
3.4,C:min7
3.4,C:min7
3.6,C:min7
3.6,C:min7
3.8,C:min7
3.8,C:min7
4.0,C:min7
4.0,C:min7
4.2,C:min7
4.2,C:min7
4.4,C:min7
4.4,C:min7
4.6,C:min7
4.6,C:min7
4.8,F:min7
4.8,F:min7
5.0,F:min7
5.2,F:min7
5.4,F:min7
5.6,F:min7
5.8,F:min7
6.0,F:min7
6.2,F:min7
6.2,F:min7
6.4,F:min7
6.4,F:min7
6.6,F:min7
6.6,F:min7
6.8,F:min7
7.0,F:min7
7.2,C:min7
7.4,C:min7
7.4,C:min7
7.6,C:min7
7.6,C:min7
7.8,C:min7
7.8,C:min7
8.0,C:min7
8.0,C:min7
8.2,C:min7
8.2,C:min7
8.4,C:min7
8.6,C:min7
8.8,F#:hdim7
9.0,F#:hdim7
9.2,F#:hdim7
9.4,F#:hdim7
9.6,F#:hdim7
9.8,F#:hdim7
10.0,"F:7(9,13)"
10.2,"F:7(9,13)"
10.4,"F:7(9,13)"
10.6,"F:7(9,13)"
10.8,"F:7(9,13)"
11.0,"F:7(9,13)"
11.2,E:hdim7
11.4,E:hdim7
11.6,E:hdim7
11.8,E:hdim7
12.0,E:hdim7
12.2,A:7
12.4,A:7
12.6,A:7
12.8,A:7
13.0,A:7
13.2,A:7
13.4,C:min7
13.6,C:min7
13.8,C:min7
14.0,C:min7
14.2,C:min7
14.4,C:min7
14.6,C:min7
14.8,C:min7
14.8,C:min7
15.0,C:min7
15.0,C:min7
15.2,C:min7
15.2,C:min7
15.4,C:min7
15.4,C:min7
15.6,C:min7
15.8,C:min7
16.0,C:min7
16.2,C:min7
16.4,C:min7
16.6,C:min7
16.8,C:min7
17.0,C:min7
17.2,C:min7
17.4,C:min7
17.6,C:min7
17.8,C:min7
18.0,C:min7
18.2,C:min7
18.4,C:min7
18.6,C:min7
18.8,C:min7
19.0,C:min7
19.2,C:min7
19.4,C:min7
19.6,C:min7
19.8,C:min7
20.0,C:min7
20.0,C:min7
20.2,C:min7
20.2,C:min7
20.4,C:min7
20.4,C:min7
20.6,C:min7
20.6,C:min7
20.8,C:min7
20.8,C:min7
21.0,C:min7
21.2,C:min7
21.4,C:min7
21.6,C:min7
21.8,C:min7
22.0,C:min7
22.2,F:min7
22.4,F:min7
22.6,F:min7
22.6,F:min7
22.8,F:min7
22.8,F:min7
23.0,F:min7
23.0,F:min7
23.2,F:min7
23.2,F:min7
23.4,F:min7
23.4,F:min7
23.6,C:min7
23.8,C:min7
24.0,C:min7
24.2,C:min7
24.4,C:min7
24.6,C:min7
24.8,C:min7
25.0,C:min7
25.2,C:min7
25.4,C:min7
25.6,C:min7
25.8,C:min7
26.0,C:min7
26.2,C:min7
26.4,C:min7
26.6,C:min7
26.8,C:min7
27.0,C:min7
27.2,C:min7
27.4,C:min7
27.6,C:min7
27.8,C:min7
28.0,C:min7
28.2,C:min7
28.4,F#:hdim7
28.6,F#:hdim7
28.8,F#:hdim7
29.0,F#:hdim7
29.2,F#:hdim7
29.4,"F:7(9,13)"
29.6,"F:7(9,13)"
29.6,"F:7(9,13)"
29.8,E:hdim7
29.8,E:hdim7
30.0,E:hdim7
30.0,A:7
30.2,A:7
30.2,A:7
30.4,C:min7
30.6,C:min7
30.8,C:min7
30.8,C:min7
31.0,C:min7
31.0,C:min7
31.2,C:min7
31.2,C:min7
31.4,C:min7
31.4,C:min7
31.6,C:min7
31.6,C:min7
31.8,C:min7
31.8,C:min7
32.0,C:min7
32.0,C:min7
32.2,C:min7
32.2,C:min7
32.4,C:min7
32.4,C:min7
32.6,C:min7
32.6,C:min7
32.8,C:min7
32.8,C:min7
33.0,C:min7
33.0,C:min7
33.2,C:min7
33.2,C:min7
33.4,C:min7
33.4,C:min7
33.6,C:min7
33.6,C:min7
33.8,C:min7
33.8,C:min7
34.0,C:min7
34.0,C:min7
34.2,F:min7
34.4,F:min7
34.6,F:min7
34.8,F:min7
34.8,F:min7
35.0,F:min7
35.0,F:min7
35.2,F:min7
35.2,F:min7
35.4,F:min7
35.4,F:min7
35.6,F:min7
35.6,F:min7
35.8,C:min7
35.8,C:min7
36.0,C:min7
36.0,C:min7
36.2,C:min7
36.2,C:min7
36.4,C:min7
36.6,C:min7
36.8,C:min7
37.0,C:min7
37.2,C:min7
37.2,C:min7
37.4,C:min7
37.4,C:min7
37.6,F#:hdim7
37.8,F#:hdim7
38.0,F#:hdim7
38.2,F#:hdim7
38.4,F#:hdim7
38.6,F#:hdim7
38.8,"F:7(9,13)"
39.0,"F:7(9,13)"
39.2,"F:7(9,13)"
39.4,"F:7(9,13)"
39.6,"F:7(9,13)"
39.8,"F:7(9,13)"
40.0,E:hdim7
40.2,E:hdim7
40.4,E:hdim7
40.6,E:hdim7
40.6,A:7
40.8,A:7
40.8,A:7
41.0,C:min7
41.0,C:min7
41.2,C:min7
41.2,C:min7
41.4,C:min7
41.4,C:min7
41.6,C:min7
41.6,C:min7
41.8,C:min7
41.8,C:min7
42.0,C:min7
42.0,C:min7
