time,chord
331.2,Gj7
331.4,Gj7
331.6,Gj7
331.8,Gj7
332.0,G6
332.2,G6
332.4,G6
332.6,G6
332.8,Gj7
333.0,Gj7
333.2,Gj7
333.4,Gj7
333.6,G6
333.8,G6
334.0,G6
334.2,G6
334.4,G-7
334.6,G-7
334.8,G-7
335.0,G-7
335.6,G-7
335.8,G-7
336.2,G-6
336.4,G-6
336.6,G-6
336.8,G-6
337.0,G-7
337.2,G-7
337.4,G-7
337.6,G-7
337.8,G-6
338.0,G-6
338.2,G-6
338.4,G-6
338.6,Am7b5
338.8,Am7b5
339.0,Am7b5
339.2,Am7b5
339.4,D7
339.6,D7
339.8,D7
340.0,D7
340.2,B7b5
340.4,B7b5
340.6,B7b5
340.8,B7b5
341.0,E7
341.2,E7
341.6,E7
341.8,E7
342.0,E7
342.2,A-7
342.4,A-7
342.6,A-7
342.8,A-7
343.0,D7
343.2,D7
343.8,D7
344.0,D7
344.6,D7
344.8,D7
345.2,D7
345.4,Gj7
345.6,Gj7
345.8,Gj7
346.0,Gj7
346.2,Gj7
346.4,Gj7
346.6,Gj7
346.8,Gj7
347.0,C-7
347.2,C-7
347.4,C-7
347.6,C-7
347.8,F7
348.0,F7
348.6,F7
349.0,F7
349.2,F7
349.4,A#j7
349.6,A#j7
349.8,A#j7
350.0,A#j7
350.2,G-7
350.4,G-7
350.6,G-7
350.8,G-7
351.4,C-7
351.6,C-7
352.2,C-7
352.4,C-7
353.0,C-7
353.2,C-7
353.8,C-7
354.0,C-7
354.6,F7
354.8,F7
355.4,F7
355.8,F7
356.0,F7
356.2,A#j7
356.4,A#j7
356.6,A#j7
356.8,A#j7
357.0,A#6
357.2,A#6
357.4,A#6
357.6,A#6
357.8,A-7
358.0,A-7
358.2,A-7
358.4,A-7
358.6,D7
358.8,D7
359.0,D7
359.2,D7
359.4,Gj7
359.6,Gj7
359.8,Gj7
360.0,Gj7
360.2,G6
360.4,G6
360.6,G6
360.8,G6
361.0,F##-7
361.2,F##-7
361.4,F##-7
361.6,F##-7
361.8,B
362.0,B
362.2,B
362.4,B
362.6,Ej7
362.8,Ej7
363.0,Ej7
363.2,Ej7
363.4,Ej7
364.0,A-7
364.2,A-7
364.8,A-7
365.0,A-7
365.6,D7
365.8,D7
366.4,D7
366.6,D7
366.8,Gj7
367.0,Gj7
367.2,Gj7
367.4,Gj7
368.0,G6
368.2,G6
368.8,G6
369.0,G6
369.4,G6
369.6,G6
369.8,Gj7
370.0,Gj7
370.2,Gj7
370.4,Gj7
370.6,G6
370.8,G6
371.0,G6
371.2,G6
371.4,G-7
371.6,G-7
371.8,G-7
372.0,G-7
372.2,G-6
372.4,G-6
372.6,G-6
372.8,G-6
373.0,G-7
373.2,G-7
373.4,G-7
373.6,G-7
373.8,G-6
374.0,G-6
374.2,G-6
374.4,G-6
374.6,Am7b5
374.8,Am7b5
375.4,Am7b5
375.6,Am7b5
375.8,Am7b5
376.0,D7
376.2,D7
376.4,D7
376.6,D7
376.8,B7b5
377.0,B7b5
377.2,B7b5
377.4,B7b5
377.6,E7
377.8,E7
378.0,E7
378.2,E7
378.4,A-7
378.6,A-7
378.8,A-7
379.0,A-7
379.2,D7
379.4,D7
379.6,D7
379.8,D7
380.0,Gj7
380.2,Gj7
380.8,Gj7
381.0,Gj7
381.6,Gj7
381.8,Gj7
382.4,Gj7
382.6,Gj7
383.0,Gj7
383.2,Gj7
383.4,Gj7
383.6,Gj7
383.8,Gj7
384.0,Gj7
384.2,Gj7
384.4,Gj7
384.6,G6
384.8,G6
385.0,G6
385.2,G6
385.4,Gj7
385.6,Gj7
385.8,Gj7
386.0,Gj7
386.2,G6
386.4,G6
386.6,G6
386.8,G6
387.0,G-7
387.2,G-7
387.4,G-7
387.6,G-7
387.8,G-6
388.0,G-6
388.2,G-6
388.4,G-6
388.6,G-7
388.8,G-7
389.0,G-7
389.2,G-7
389.4,G-6
389.6,G-6
389.8,G-6
390.0,G-6
390.2,Am7b5
390.4,Am7b5
390.6,Am7b5
390.8,Am7b5
391.0,D7
391.2,D7
391.4,D7
391.6,D7
391.8,B7b5
392.0,B7b5
392.2,B7b5
392.4,B7b5
392.6,B7b5
393.2,E7
393.4,E7
394.0,E7
394.2,E7
394.8,E7
395.0,E7
395.6,E7
395.8,E7
396.4,A-7
396.6,A-7
396.8,A-7
397.0,A-7
397.6,D7
397.8,D7
398.4,D7
398.6,D7
398.8,D7
399.4,D7
399.6,D7
400.0,Gj7
400.2,Gj7
400.4,Gj7
400.6,Gj7
401.2,Gj7
401.4,Gj7
402.0,Gj7
402.2,Gj7
402.8,Gj7
403.0,Gj7
403.6,Gj7
403.8,Gj7
404.4,Gj7
404.6,Gj7
405.2,C-7
405.4,C-7
406.0,C-7
406.2,C-7
406.8,C-7
407.0,C-7
407.6,C-7
407.8,C-7
408.4,F7
408.6,F7
409.2,F7
409.8,F7
410.0,F7
410.6,F7
410.8,F7
411.4,A#j7
411.6,A#j7
412.2,A#j7
412.4,A#j7
413.0,A#j7
413.2,A#j7
413.8,A#j7
414.0,A#j7
414.6,G-7
414.8,G-7
415.4,G-7
415.6,G-7
416.2,G-7
416.4,G-7
417.0,G-7
417.2,G-7
417.8,C-7
418.0,C-7
418.6,C-7
418.8,C-7
419.4,C-7
419.6,C-7
420.2,C-7
420.4,C-7
420.6,F7
420.8,F7
421.4,F7
421.6,F7
422.2,F7
422.4,F7
423.0,A#j7
423.2,A#j7
423.8,A#j7
424.0,A#j7
424.6,A#j7
424.8,A#j7
425.4,A#j7
425.6,A#j7
425.8,A#6
426.0,A#6
426.2,A#6
426.4,A#6
427.0,A-7
427.2,A-7
427.8,A-7
428.0,A-7
428.2,A-7
428.4,A-7
429.0,D7
429.2,D7
429.8,D7
430.0,D7
430.6,D7
430.8,D7
431.4,Gj7
431.6,Gj7
432.2,Gj7
432.6,Gj7
432.8,Gj7
433.0,G6
433.2,G6
433.4,G6
434.0,G6
434.2,G6
434.8,G6
435.0,G6
435.6,F##-7
435.8,F##-7
436.4,F##-7
436.6,F##-7
437.2,F##-7
437.4,F##-7
438.0,F##-7
438.2,F##-7
438.8,B
439.0,B
439.6,B
439.8,B
440.4,B
440.6,B
441.2,B
441.4,B
442.0,Ej7
442.2,Ej7
442.8,Ej7
443.0,Ej7
443.6,Ej7
443.8,Ej7
444.4,Ej7
444.6,Ej7
445.2,A-7
445.4,A-7
446.0,A-7
446.2,A-7
446.8,D7
447.0,D7
447.6,D7
447.8,D7
448.4,Gj7
448.6,Gj7
449.2,Gj7
449.4,Gj7
450.0,Gj7
450.2,Gj7
450.8,Gj7
451.0,Gj7
451.6,G6
451.8,G6
452.0,G6
452.2,G6
452.4,G6
452.6,Gj7
452.8,Gj7
453.0,Gj7
453.2,Gj7
453.4,G6
453.6,G6
453.8,G6
454.0,G6
454.6,G-7
454.8,G-7
455.4,G-7
455.6,G-7
456.2,G-7
456.4,G-7
457.0,G-7
457.2,G-7
457.6,G-6
457.8,G-6
458.0,G-6
458.2,G-6
458.4,G-7
458.6,G-7
458.8,G-7
459.0,G-7
459.2,G-6
459.4,G-6
459.6,G-6
459.8,G-6
460.0,G-6
460.6,Am7b5
460.8,Am7b5
461.4,Am7b5
461.6,Am7b5
462.2,Am7b5
462.4,Am7b5
463.0,Am7b5
463.2,Am7b5
463.8,D7
464.0,D7
464.4,D7
464.6,D7
464.8,D7
465.0,B7b5
465.2,B7b5
465.4,B7b5
465.6,B7b5
465.8,E7
466.0,E7
466.2,E7
466.4,E7
466.6,A-7
466.8,A-7
467.4,A-7
467.6,A-7
468.0,A-7
468.2,A-7
468.4,D7
468.6,D7
469.2,D7
469.4,D7
470.0,D7
470.2,D7
470.6,Gj7
470.8,Gj7
471.0,Gj7
471.2,Gj7
471.4,Gj7
471.6,Gj7
471.8,Gj7
472.0,Gj7
472.2,Gj7
472.4,Gj7
472.6,Gj7
472.8,Gj7
473.0,G6
473.2,G6
473.4,G6
473.6,G6
473.8,Gj7
474.0,Gj7
474.2,Gj7
474.4,Gj7
474.6,G6
474.8,G6
475.0,G6
475.2,G6
475.4,G-7
475.6,G-7
476.2,G-7
476.4,G-7
476.8,G-7
