time,chord
49.600,F-
49.600,F-
49.800,F-
49.800,F-
50.000,F-j7
50.000,F-j7
50.200,F-j7
50.200,F-j7
50.400,F-7
50.400,F-7
50.600,F-7
50.600,F-7
50.800,F-6
50.800,F-6
51.000,F-6
51.000,F-6
51.200,C#bj7
51.200,C#bj7
51.400,C#bj7
51.400,C#bj7
51.600,A#-7
51.600,A#-7
51.800,A#-7
51.800,A#-7
52.000,Gm7b5
52.000,Gm7b5
52.200,Gm7b5
52.200,Gm7b5
52.400,C79b
52.400,C79b
52.600,C79b
52.600,C79b
52.800,F-
52.800,F-
53.000,F-
53.000,F-
53.200,F-j7
53.200,F-j7
53.400,F-j7
53.400,F-j7
53.600,F-7
53.600,F-7
53.800,F-7
53.800,F-7
54.000,F-6
54.200,F-6
54.400,F-6
54.600,F-6
54.800,F-6
55.000,F-6
55.200,F-6
55.400,F-6
55.600,C#bj7
55.800,C#bj7
56.000,C#bj7
56.200,C#bj7
56.400,C#bj7
56.600,C#bj7
56.800,C#bj7
57.000,C#bj7
57.200,A#-7
57.400,A#-7
57.600,A#-7
57.800,A#-7
58.000,A#-7
58.200,A#-7
58.400,A#-7
58.600,A#-7
58.800,A#-7
59.000,A#-7
59.000,A#-7
59.200,A#-7
59.200,D#b7
59.400,D#b7
59.400,D#b7
59.600,D#b7
59.600,Gbj7
59.800,Gbj7
60.000,Gbj7
60.200,A#-7
60.400,A#-7
60.600,A#-7
60.800,C-7
61.000,C-7
61.000,A#-7
61.200,A#-7
61.200,Gbj7
61.400,Gbj7
61.400,A#-7
61.600,A#-7
61.800,A#-7
62.000,C-7
62.200,C-7
62.200,A#-7
62.400,A#-7
62.400,Gbj7
62.600,Gbj7
62.600,C7
62.800,C7
63.000,C7
63.200,F-7
63.400,F-7
63.600,F-7
63.800,F-7
64.000,D#b-7
64.200,D7
64.200,C#bj7
64.400,C#bj7
64.400,C#bj7
64.600,C#bj7
64.800,C#bj7
65.000,Gm7b5
65.200,Gm7b5
65.400,Gm7b5
65.600,Gm7b5
65.800,C7
66.000,C7
66.200,C7
66.400,C7
66.600,F-
66.600,F-
66.800,F-
66.800,F-
67.000,F-j7
67.000,F-j7
67.200,F-j7
67.200,F-j7
67.400,F-7
67.400,F-7
67.600,F-7
67.600,F-7
67.800,F-6
67.800,F-6
68.000,F-6
68.000,F-6
68.200,C#bj7
68.200,C#bj7
68.400,C#bj7
68.600,C#bj7
68.800,C#bj7
69.000,C#bj7
69.200,Gm7b5
69.400,Gm7b5
69.600,Gm7b5
69.800,C79b
70.000,C79b
70.200,C79b
70.400,F-7
70.600,F-7
70.600,E7
70.800,E7
70.800,D#b-7
71.000,D#b-7
71.000,Gb7
71.200,Gb7
71.200,C#bj7
71.400,C#bj7
71.400,C#bj7
71.600,C#bj7
71.600,A#-79
71.800,A#-79
72.000,A#-79
72.200,D#b7
72.400,D#b7
72.600,D#b7
72.800,Gb6
73.000,Gb6
73.000,Gb6
73.200,Gb6
73.200,Gm7b5
73.400,Gm7b5
73.400,C7
73.600,C7
73.800,C7
74.000,F-
74.200,F-
74.400,F-
74.600,F-
74.600,F-
74.800,F-j7
74.800,F-j7
75.000,F-j7
75.000,F-j7
75.200,F-7
75.200,F-7
75.400,F-7
75.400,F-7
75.600,F-6
75.600,F-6
75.800,F-6
75.800,F-6
76.000,C#bj7
76.000,C#bj7
76.200,C#bj7
76.200,C#bj7
76.400,A#-7
76.400,A#-7
76.600,A#-7
76.600,A#-7
76.800,Gm7b5
76.800,Gm7b5
77.000,Gm7b5
77.000,Gm7b5
77.200,C79b
77.200,C79b
77.400,C79b
77.400,C79b
77.600,F-
77.600,F-
77.800,F-
77.800,F-
78.000,F-j7
78.000,F-j7
78.200,F-j7
78.200,F-j7
78.400,F-7
78.400,F-7
78.600,F-7
78.600,F-7
78.800,F-6
78.800,F-6
79.000,F-6
79.000,F-6
79.200,C#bj7
79.200,C#bj7
79.400,C#bj7
79.400,C#bj7
79.600,A#-7
79.600,A#-7
79.800,A#-7
79.800,A#-7
80.000,A#-7
80.200,A#-7
80.400,A#-7
80.600,A#-7
80.800,A#-7
81.000,A#-7
81.200,A#-7
81.400,A#-7
81.600,D#b7
81.800,D#b7
82.000,D#b7
82.200,D#b7
82.400,D#b7
82.600,D#b7
82.800,D#b7
83.000,D#b7
83.200,Gbj7
83.400,Gbj7
83.600,Gbj7
83.800,Gbj7
84.000,A#-7
84.200,A#-7
84.400,A#-7
84.600,A#-7
84.800,C-7
85.000,C-7
85.200,C-7
85.400,C-7
85.600,A#-7
85.800,A#-7
86.000,A#-7
86.200,A#-7
86.400,Gbj7
86.600,Gbj7
86.800,Gbj7
87.000,Gbj7
87.200,A#-7
87.400,A#-7
87.600,A#-7
87.800,A#-7
88.000,C-7
88.200,C-7
88.400,C-7
88.600,C-7
88.800,A#-7
89.000,A#-7
89.200,A#-7
89.400,A#-7
89.600,Gbj7
89.800,Gbj7
90.000,Gbj7
90.200,Gbj7
90.400,C7
90.600,C7
90.800,C7
91.000,C7
91.200,F-7
91.400,F-7
91.600,F-7
91.800,F-7
92.000,D#b-7
92.200,D#b-7
92.400,D7
92.600,D7
92.800,C#bj7
93.000,C#bj7
93.200,C#bj7
93.400,C#bj7
93.600,C#bj7
93.800,C#bj7
94.000,C#bj7
94.200,C#bj7
94.400,Gm7b5
94.600,Gm7b5
94.800,Gm7b5
95.000,Gm7b5
95.200,C7
95.400,C7
95.600,C7
95.800,C7
96.000,F-
96.200,F-
96.400,F-
96.600,F-
96.800,F-
97.000,F-
97.200,F-
97.400,F-
97.600,F-j7
97.800,F-j7
98.000,F-j7
98.200,F-j7
98.400,F-j7
98.600,F-j7
98.800,F-j7
98.800,F-7
99.000,F-7
99.000,F-7
99.200,F-7
99.200,F-6
99.400,F-6
99.400,F-6
99.600,F-6
99.600,C#bj7
99.800,C#bj7
99.800,C#bj7
100.000,C#bj7
100.200,C#bj7
100.400,Gm7b5
100.600,Gm7b5
100.800,Gm7b5
101.000,Gm7b5
101.200,C79b
101.400,C79b
101.600,C79b
101.800,C79b
102.000,F-7
102.200,F-7
102.400,F-7
102.600,F-7
102.800,E7
103.000,E7
103.200,E7
103.400,E7
103.600,D#b-7
103.800,D#b-7
104.000,D#b-7
104.200,D#b-7
104.400,Gb7
104.600,Gb7
104.800,Gb7
105.000,Gb7
105.200,C#bj7
105.400,C#bj7
105.600,C#bj7
105.600,C#bj7
105.800,C#bj7
105.800,A#-79
106.000,A#-79
106.000,D#b7
106.200,D#b7
106.400,D#b7
106.600,Gb6
106.800,Gb6
107.000,Gb6
107.200,Gb6
107.400,Gb6
107.400,Gb6
107.600,Gm7b5
107.600,Gm7b5
107.800,C7
107.800,C7
