time,chord
17.650,C:7(b9)
18.750,C:7(b9)
19.870,C:7(b9)
20.960,C:7(b9)
22.050,C:7(b9)
23.160,C:7(b9)
24.270,C:7(b9)
25.360,C:7(b9)
26.460,C:7(b9)
27.560,C:7(b9)
28.680,C:7(b9)
29.790,C:7(b9)
30.900,F:min
32.000,F:min
33.110,F:min
34.210,F:min
35.340,C:7(b9)
36.450,C:7(b9)
37.560,C:7(b9)
38.660,C:7(b9)
39.770,C:7(b9)
40.880,C:7(b9)
41.980,C:7(b9)
43.090,C:7(b9)
44.190,C:7(b9)
45.280,C:7(b9)
46.400,C:7(b9)
47.500,C:7(b9)
48.590,F:min
49.690,F:min
50.810,F:min
51.930,F:min
53.060,F:7
54.210,F:7
55.350,F:7
56.450,F:7
57.590,Bb:7
58.710,Bb:7
59.840,Bb:7
60.950,Bb:7
62.040,Eb:7
63.150,Eb:7
64.280,Eb:7
65.370,Eb:7
66.470,Ab:maj7
67.610,Ab:maj7
68.720,G:7
70.940,C:7(b9)
72.090,C:7(b9)
73.210,C:7(b9)
74.340,C:7(b9)
75.450,C:7(b9)
76.570,C:7(b9)
77.700,C:7(b9)
78.820,C:7(b9)
79.950,C:7(b9)
81.070,C:7(b9)
82.180,C:7(b9)
83.300,C:7(b9)
84.412,F:min
85.520,F:min
86.612,F:min
87.721,F:min
88.860,C:7(b9)
89.991,C:7(b9)
91.121,C:7(b9)
92.221,C:7(b9)
93.321,C:7(b9)
94.401,C:7(b9)
95.521,C:7(b9)
96.591,C:7(b9)
97.671,C:7(b9)
98.761,C:7(b9)
99.871,C:7(b9)
100.961,C:7(b9)
102.034,F:min
103.080,F:min
104.150,F:min
105.280,F:min
106.400,C:7(b9)
107.520,C:7(b9)
108.620,C:7(b9)
109.720,C:7(b9)
110.830,C:7(b9)
111.930,C:7(b9)
113.040,C:7(b9)
114.140,C:7(b9)
115.240,C:7(b9)
116.350,C:7(b9)
117.430,C:7(b9)
118.530,C:7(b9)
119.620,F:min
120.739,F:min
121.837,F:min
122.968,F:min
124.210,F:7
125.330,F:7
