time,chord
2.139,Fj7
3.739,G-7
4.559,C7
5.329,Fj7
6.899,Bb-7
7.669,Eb7
8.469,A-7
9.291,Ab7
10.091,G-7
10.859,C7
11.619,Fj7
13.200,Ab-7
13.960,Db7
14.729,Gbj7
16.279,Ab-7
17.059,Db7
17.851,Gbj7
19.411,B-7
20.211,E7
21.019,Bb-7
21.859,A7
22.611,Ab-7
23.440,Db7
24.200,Gbj7
25.739,A-7
26.510,D7
27.290,Gj7
28.870,G-7
29.690,C7
30.480,Fj7
32.030,F-7
32.820,Bb7
33.590,Ebj7
35.150,Ab-7
35.960,Db7
36.730,Gbj7
38.300,G-7
39.100,C7
39.880,Fj7
41.500,G-7
42.280,C7
43.090,Fj7
44.640,Bb-7
45.440,Eb7
46.260,A-7
47.030,Ab7
47.840,G-7
48.650,C7
49.430,F
51.050,G-7
51.870,C7
52.720,Fj7
54.370,G-7
55.180,C7
55.990,Fj7
57.620,Bb-7
58.450,Eb7
59.240,A-7
60.050,Ab7
60.860,G-7
61.640,C7
62.450,Fj7
64.090,Ab-7
64.890,Db7
65.710,Gbj7
67.350,Ab-7
68.190,Db7
69.000,Gbj7
70.600,B-7
71.390,E7
72.190,Bb-7
73.020,A7
73.830,Ab-7
74.630,Db7
75.410,Gbj7
77.050,A-7
77.870,D7
78.710,Gj7
80.310,G-7
81.110,C7
81.910,Fj7
83.500,F-7
84.280,Bb7
85.090,Ebj7
86.680,Ab-7
87.470,Db7
88.280,Gbj7
89.850,G-7
90.660,C7
91.500,Fj7
93.130,G-7
93.940,C7
94.750,Fj7
96.370,Bb-7
97.150,Eb7
97.960,A-7
98.770,Ab7
99.590,G-7
100.380,C7
101.190,F
102.810,G-7
103.610,C7
104.440,Fj7
106.020,G-7
106.840,C7
107.660,Fj7
109.270,Bb-7
110.060,Eb7
110.870,A-7
111.670,Ab7
112.460,G-7
113.250,C7
114.030,Fj7
115.600,Ab-7
116.390,Db7
117.190,Gbj7
118.780,Ab-7
119.580,Db7
120.380,Gbj7
121.960,B-7
122.740,E7
123.540,Bb-7
124.340,A7
125.130,Ab-7
125.930,Db7
126.750,Gbj7
128.350,A-7
129.140,D7
129.950,Gj7
131.580,G-7
132.360,C7
133.150,Fj7
134.710,F-7
135.510,Bb7
136.300,Ebj7
137.950,Ab-7
138.770,Db7
139.590,Gbj7
141.154,G-7
141.963,C7
142.772,Fj7
144.402,G-7
145.218,C7
146.034,Fj7
147.634,Bb-7
148.434,Eb7
149.234,A-7
150.038,Ab7
150.842,G-7
151.602,C7
152.362,F
153.960,G-7
154.760,C7
155.560,Fj7
157.170,G-7
157.980,C7
158.780,Fj7
160.370,Bb-7
161.180,Eb7
161.970,A-7
162.770,Ab7
163.570,G-7
164.360,C7
165.140,Fj7
166.740,Ab-7
167.530,Db7
168.340,Gbj7
169.910,Ab-7
170.700,Db7
171.500,Gbj7
173.090,B-7
173.890,E7
174.690,Bb-7
175.480,A7
176.300,Ab-7
177.070,Db7
177.860,Gbj7
179.460,A-7
180.240,D7
181.030,Gj7
182.600,G-7
183.390,C7
184.160,Fj7
185.770,F-7
186.570,Bb7
187.350,Ebj7
188.920,Ab-7
189.700,Db7
190.470,Gbj7
192.040,G-7
192.810,C7
193.620,Fj7
195.220,G-7
196.060,C7
196.850,Fj7
198.440,Bb-7
199.250,Eb7
200.060,A-7
200.840,Ab7
201.660,G-7
202.450,C7
203.240,F
204.850,G-7
205.650,C7
206.460,Fj7
208.110,G-7
208.930,C7
209.720,Fj7
211.300,Bb-7
212.090,Eb7
212.890,A-7
213.690,Ab7
214.500,G-7
215.270,C7
216.090,Fj7
217.700,Ab-7
218.500,Db7
219.290,Gbj7
220.920,Ab-7
221.760,Db7
222.580,Gbj7
224.180,B-7
224.980,E7
225.790,Bb-7
226.610,A7
227.420,Ab-7
228.210,Db7
229.020,Gbj7
230.610,A-7
231.390,D7
232.170,Gj7
233.730,G-7
234.520,C7
235.310,Fj7
236.880,F-7
237.650,Bb7
238.420,Ebj7
240.000,Ab-7
240.790,Db7
241.580,Gbj7
243.160,G-7
243.960,C7
244.770,Fj7
246.340,G-7
247.140,C7
247.930,Fj7
249.480,Bb-7
250.270,Eb7
251.060,A-7
251.840,Ab7
252.640,G-7
253.450,C7
254.230,F
255.800,G-7
256.590,C7
257.390,Fj7
258.960,G-7
259.780,C7
260.580,Fj7
262.140,Bb-7
262.940,Eb7
263.740,A-7
264.520,Ab7
265.330,G-7
266.110,C7
266.890,Fj7
268.480,Ab-7
269.280,Db7
270.100,Gbj7
271.710,Ab-7
272.530,Db7
273.320,Gbj7
274.940,B-7
275.750,E7
276.550,Bb-7
277.350,A7
278.170,Ab-7
278.960,Db7
279.720,Gbj7
281.340,A-7
282.140,D7
282.930,Gj7
284.470,G-7
285.260,C7
286.060,Fj7
287.630,F-7
288.400,Bb7
289.180,Ebj7
290.780,Ab-7
291.570,Db7
292.340,Gbj7
293.920,G-7
294.700,C7
295.480,Fj7
297.080,G-7
297.870,C7
298.640,Fj7
300.210,Bb-7
301.010,Eb7
301.800,A-7
302.610,Ab7
303.410,G-7
304.210,C7
305.000,F
306.600,G-7
307.400,C7
308.190,Fj7
309.780,G-7
310.580,C7
311.380,Fj7
312.970,Bb-7
313.760,Eb7
314.530,A-7
315.320,Ab7
316.120,G-7
316.910,C7
317.700,Fj7
319.300,Ab-7
320.110,Db7
320.930,Gbj7
322.520,Ab-7
323.330,Db7
324.100,Gbj7
325.660,B-7
326.460,E7
327.260,Bb-7
328.060,A7
328.870,Ab-7
329.650,Db7
330.430,Gbj7
332.030,A-7
332.840,D7
333.640,Gj7
335.230,G-7
336.040,C7
336.820,Fj7
338.380,F-7
339.160,Bb7
339.930,Ebj7
341.500,Ab-7
342.290,Db7
343.090,Gbj7
344.670,G-7
345.440,C7
346.220,Fj7
347.800,G-7
348.560,C7
349.350,Fj7
350.910,Bb-7
351.700,Eb7
352.510,A-7
353.290,Ab7
354.110,G-7
354.910,C7
355.660,F
357.140,G-7
357.930,C7
358.720,Fj7
360.330,G-7
361.120,C7
361.890,Fj7
363.550,Bb-7
364.400,Eb7
365.190,A-7
365.980,Ab7
366.800,G-7
367.550,C7
368.310,Fj7
369.900,Ab-7
370.720,Db7
371.540,Gbj7
373.160,Ab-7
373.970,Db7
374.760,Gbj7
376.390,B-7
377.190,E7
377.960,Bb-7
378.750,A7
379.540,Ab-7
380.330,Db7
381.140,Gbj7
382.770,A-7
383.570,D7
384.370,Gj7
385.970,G-7
386.740,C7
387.530,Fj7
389.090,F-7
389.900,Bb7
390.700,Ebj7
392.260,Ab-7
393.040,Db7
393.840,Gbj7
395.400,G-7
396.190,C7
397.010,Fj7
398.600,G-7
399.410,C7
400.190,Fj7
401.820,Bb-7
402.620,Eb7
403.410,A-7
404.210,Ab7
405.030,G-7
405.810,C7
406.630,F
408.210,G-7
408.990,C7
409.760,Fj7
411.310,G-7
412.110,C7
412.890,Fj7
414.450,Bb-7
415.230,Eb7
416.050,A-7
416.850,Ab7
417.630,G-7
418.410,C7
419.190,Fj7
