time,chord
158.600,F6
158.800,F6
158.800,F6
159.000,F6
159.000,Gbo
159.200,Gbo
159.200,Gbo
159.400,Gbo
159.400,G-7
159.600,G-7
159.600,G-7
159.800,G-7
160.000,G-7
160.200,C7
160.400,C7
160.600,C7
160.800,C7
161.000,C7
161.200,C7
161.400,C7
161.600,C7
161.800,G-7
162.000,G-7
162.200,G-7
162.400,G-/F
162.400,G-/F
162.600,Gm7b5
162.600,Gm7b5
162.800,C7
162.800,C7
163.000,F6
163.000,F6
163.200,F6
163.200,F6
163.400,E7
163.400,E7
163.600,A7
163.600,A7
163.800,D-7
164.000,D-7
164.000,D-7
164.200,D-7
164.200,B7b5
164.400,B7b5
164.600,B7b5
164.800,E7
165.000,E7
165.200,E7
165.400,E7
165.600,A-7
165.800,A-7
166.000,A-7
166.200,A-7
166.400,A-7
166.600,A-7
166.800,Fm7b5
167.000,Fm7b5
167.000,F-7
167.200,F-7
167.400,F-7
167.600,E-7
167.800,E-7
168.000,E-7
168.200,E-7
168.400,A7
168.600,A7
168.800,A7
168.800,D-7
169.000,D-7
169.000,G7
169.200,G7
169.400,G7
169.600,C7
169.800,C7
170.000,C7
170.200,C7
170.400,C7
170.600,C7
170.800,C7
170.800,G-7
171.000,G-7
171.000,C7
171.200,C7
171.400,C7
171.600,F6
171.600,F6
171.800,F6
172.000,F6
172.200,F6
172.400,F6
172.600,Gbo
172.800,Gbo
173.000,Gbo
173.200,Gbo
173.400,Gbo
173.600,Gbo
173.800,Gbo
174.000,G-7
174.200,G-7
174.400,G-7
174.600,G-7
174.800,G-7
175.000,G-7
175.200,G-7
175.400,G-7
175.600,C7
175.800,C7
176.000,C7
176.200,C7
176.400,C7
176.600,C7
176.800,C7
177.000,C7
177.200,G-7
177.400,G-7
177.600,G-7
177.800,G-7
178.000,G-7/F
178.200,G-7/F
178.400,G-7/F
178.400,Gm7b5
178.600,Gm7b5
178.600,C7
178.800,C7
179.000,C7
179.200,F6
179.400,F6
179.600,F6
179.600,D-7
179.800,D-7
180.000,D-7
180.200,C-7
180.400,C-7
180.600,C-7
180.800,C-7
181.000,F7
181.200,F7
181.400,F7
181.600,F7
181.800,A#j7
182.000,A#j7
182.200,A#j7
182.400,A#j7
182.600,A#j7
182.800,A#j7
183.000,A#j7
183.200,A#j7
183.400,Em7b5
183.600,Em7b5
183.800,Em7b5
184.000,Em7b5
184.200,A79b
184.400,A79b
184.600,A79b
184.800,A79b
185.000,D-7
185.200,D-7
185.400,D-7
185.600,D-7
185.800,D-7
186.000,D-7
186.200,D-7
186.400,D-7
186.600,B7b5
186.800,B7b5
187.000,B7b5
187.200,B7b5
187.400,A#-7
187.400,A#-7
187.600,A-7
187.600,A-7
187.800,D7
187.800,D7
188.000,G-79b
188.000,G-79b
188.200,C79b
188.200,C79b
188.400,A-7
188.400,A-7
188.600,D7
188.600,D7
