time,chord
16.640,Fj7
18.610,Fj7
20.580,Fj7
22.550,Fj7
24.530,Fj7
26.490,G#o
28.450,G-7
30.400,C7
32.360,G-7
34.310,C7
36.280,G-7
38.250,C7
40.200,G-7
42.170,C7
44.160,Fj7
46.140,Fj7
48.110,F7
50.100,F7
52.090,Am7b5
54.120,D7
56.140,G-7
58.210,G-7
60.170,A#-7
61.110,D#7
62.090,G-7
63.090,C7
64.110,Fj7
66.130,Fj7
68.110,Am7b5
70.100,D7
72.070,G-7
74.110,C7
75.990,Fj7
78.000,N.C.
79.920,Fj7
81.930,Fj7
83.920,Fj7
85.890,Fj7
87.870,Fj7
89.850,G#o
91.820,G-7
93.800,C7
95.770,G-7
97.770,C7
99.760,G-7
101.740,C7
103.710,G-7
105.670,C7
107.610,Fj7
109.590,Fj7
111.570,F7
113.500,F7
115.460,Am7b5
117.420,D7
119.380,G-7
121.320,G-7
123.260,A#-7
124.220,D#7
125.190,G-7
126.160,C7
127.120,Fj7
129.170,Fj7
131.070,Am7b5
132.980,D7
134.940,G-7
136.910,C7
138.890,Fj7
140.850,Fj7
142.810,Fj7
144.810,Fj7
146.770,Fj7
148.740,Fj7
150.690,Fj7
152.670,G#o
154.600,G-7
156.560,C7
158.510,G-7
160.480,C7
162.450,G-7
164.400,C7
166.340,G-7
168.290,C7
170.260,Fj7
172.210,Fj7
174.170,F7
176.140,F7
178.090,Am7b5
180.050,D7
182.010,G-7
183.990,G-7
185.940,A#-7
186.940,D#7
187.900,G-7
188.880,C7
189.860,Fj7
191.830,Fj7
193.750,Am7b5
195.710,D7
197.650,G-7
199.639,C7
201.609,Fj7
203.569,Fj7
205.420,Fj7
207.370,Fj7
209.350,Fj7
211.330,Fj7
213.280,Fj7
215.250,G#o
217.220,G-7
219.170,C7
221.130,G-7
223.110,C7
225.050,G-7
227.010,C7
228.930,G-7
230.910,C7
232.870,Fj7
234.830,Fj7
236.810,F7
238.790,F7
240.800,Am7b5
242.810,D7
244.820,G-7
246.820,G-7
248.790,A#-7
249.800,D#7
250.800,G-7
251.790,C7
252.790,Fj7
254.780,Fj7
256.770,Am7b5
258.740,D7
260.770,G-7
262.740,C7
264.700,Fj7
266.670,Fj7
268.640,Fj7
270.680,Fj7
272.700,Fj7
274.710,Fj7
276.690,Fj7
278.700,G#o
280.700,G-7
282.700,C7
284.710,G-7
286.710,C7
288.630,G-7
290.540,C7
292.470,G-7
294.420,C7
296.360,Fj7
298.300,Fj7
300.250,F7
302.210,F7
304.210,Am7b5
306.250,D7
308.250,G-7
310.270,G-7
312.260,A#-7
313.290,D#7
314.290,G-7
315.280,C7
316.270,Fj7
318.300,Fj7
320.290,Am7b5
322.310,D7
324.300,G-7
326.320,C7
328.300,Fj7
330.340,Fj7
332.350,Fj7
334.400,Fj7
336.450,Fj7
338.520,Fj7
340.530,Fj7
342.570,G#o
344.560,G-7
346.580,C7
348.580,G-7
350.600,C7
352.620,G-7
354.620,C7
356.610,G-7
358.600,C7
360.570,Fj7
362.560,Fj7
364.550,F7
366.540,F7
368.510,Am7b5
370.480,D7
372.460,G-7
374.440,G-7
376.430,A#-7
377.410,D#7
378.410,G-7
379.400,C7
380.390,Fj7
382.390,Fj7
384.390,Am7b5
386.360,D7
388.340,G-7
390.340,C7
392.320,Fj7
394.330,Fj7
396.300,Fj7
398.300,Fj7
400.310,Fj7
402.300,Fj7
404.320,Fj7
406.340,G#o
408.370,G-7
410.390,C7
412.420,G-7
414.450,C7
416.490,G-7
418.520,C7
420.540,G-7
422.550,C7
424.580,Fj7
426.590,Fj7
428.590,F7
430.590,F7
432.620,Am7b5
434.600,D7
436.550,G-7
438.530,G-7
440.500,A#-7
441.460,D#7
442.470,G-7
443.440,C7
444.450,Fj7
446.460,Fj7
450.540,D7
452.520,G-7
454.550,C7
456.560,Am7b5
458.610,D7
460.620,G-7
462.660,C7
