time,chord
8.900,Eb:maj7
9.970,Eb:maj7
11.000,D:hdim7
12.070,G:7(b9)
13.120,C:min7
14.140,C:min7
15.240,Bb:min7
16.300,Eb:7
17.370,Ab:maj7
18.460,Db:9
19.480,Eb:maj7
20.520,C:min7
21.590,F:7
22.640,F:7
23.680,F:min7
24.730,Bb:7
25.780,Eb:maj7
26.810,Eb:maj7
27.840,D:hdim7
28.900,G:7(b9)
29.940,C:min7
30.960,C:min7
31.980,Bb:min7
33.020,Eb:7
34.050,Ab:maj7
35.090,Db:9
36.110,Eb:maj7
37.170,A:hdim7
37.690,D:7
38.200,Eb:maj7
38.740,D:7
39.280,G:7
39.790,C:7
40.290,F:min7
40.800,Bb:7
41.340,Bb:7
42.350,Bb:7
43.360,Bb:7
44.390,Bb:7
45.400,Bb:7
46.450,Bb:7
47.480,N
48.550,N
49.560,Eb:maj7
50.610,Eb:maj7
51.640,D:hdim7
52.620,G:7(b9)
53.640,C:min7
54.670,C:min7
55.650,Bb:min7
56.680,Eb:7
57.670,Ab:maj7
58.700,Db:9
59.690,Eb:maj7
60.690,C:min7
61.670,F:7
62.660,F:7
63.670,F:min7
64.670,Bb:7
65.650,Eb:maj7
66.630,Eb:maj7
67.600,D:hdim7
68.610,G:7(b9)
69.590,C:min7
70.590,C:min7
71.580,Bb:min7
72.550,Eb:7
73.530,Ab:maj7
74.520,Db:9
75.500,Eb:maj7
76.470,A:hdim7
76.950,D:7
77.450,Eb:maj7
77.950,D:7
78.440,G:7
78.910,C:7
79.410,F:min7
79.900,Bb:7
80.410,Eb:maj6
80.890,Bb:7
81.360,Eb:maj7
82.380,Eb:maj7
83.360,D:hdim7
84.340,G:7(b9)
85.330,C:min7
86.310,C:min7
87.270,Bb:min7
88.260,Eb:7
89.230,Ab:maj7
90.200,Db:9
91.180,Eb:maj7
92.150,C:min7
93.140,F:7
94.110,F:7
95.100,F:min7
96.070,Bb:7
97.040,Eb:maj7
98.000,Eb:maj7
98.980,D:hdim7
99.960,G:7(b9)
100.930,C:min7
101.900,C:min7
102.880,Bb:min7
103.870,Eb:7
104.840,Ab:maj7
105.820,Db:9
106.790,Eb:maj7
107.770,A:hdim7
108.260,D:7
108.730,Eb:maj7
109.220,D:7
109.720,G:7
110.210,C:7
110.700,F:min7
111.190,Bb:7
111.670,Bb:7
112.660,Bb:7
113.650,Bb:7
114.640,Bb:7
115.630,Bb:7
116.650,Bb:7
117.620,Eb:maj7
118.610,N
119.560,Eb:maj7
120.560,Eb:maj7
121.520,D:hdim7
122.510,G:7(b9)
123.460,C:min7
