time,chord
118.6,G-
118.6,G-
118.8,D7
118.8,D7
119.0,G-
119.0,G-
119.2,D7
119.2,D7
119.4,G-
119.4,G-
119.6,D7
119.6,D7
119.8,G-
119.8,G-
120.0,G7
120.2,G7
120.4,G7
120.6,G7
120.8,C-
121.0,C-
121.2,C-
121.4,C-
121.6,C-
121.8,C-
122.0,C-
122.2,C-
122.4,C-
122.6,C-
122.8,C-
123.0,C-
123.2,C-
123.4,C-
123.6,C-
123.8,C-
124.0,Am7b5
124.2,Am7b5
124.4,Am7b5
124.6,Am7b5
124.8,Am7b5
125.0,Am7b5
125.2,Am7b5
125.4,Am7b5
125.6,D7
125.8,D7
126.0,D7
126.2,D7
126.4,D7
126.6,D7
126.8,D7
127.0,D7
127.2,G-
127.4,G-
127.6,G-
127.6,G-
127.8,G-
127.8,G-
128.0,G-
128.0,G-
128.2,G-
128.2,G-
128.4,G-
128.4,G-
128.6,G-
128.8,G-
129.0,C-7
129.2,C-7
129.4,C-7
129.6,C-7
129.8,F7
130.0,F7
130.2,F7
130.2,A#j7
130.4,A#j7
130.6,A#j7
130.8,D#b7
131.0,D#b7
131.2,D#b7
131.4,D#b7
131.6,Am7b5
131.8,Am7b5
132.0,Am7b5
132.2,Am7b5
132.4,D7
132.6,D7
132.8,D7
133.0,D7
133.2,G-
133.4,G-
133.6,G-
133.8,G-
134.0,G-
134.2,G-
134.4,G-
134.6,G-
134.8,Am7b5
135.0,Am7b5
135.2,Am7b5
135.4,Am7b5
135.6,D7
135.8,D7
136.0,D7
136.2,D7
136.4,G-
136.6,G-
136.8,G-
137.0,G-
137.2,D7
137.4,D7
137.6,D7
137.8,D7
138.0,G-
138.2,G-
138.4,G-
138.6,D7
138.8,D7
139.0,D7
139.2,G-
139.4,G-
139.6,G-
139.6,D7
139.8,D7
140.0,D7
140.2,G-
140.4,G-
140.6,G-
140.8,G-
141.0,G7
141.2,G7
141.4,G7
141.4,C-
141.6,C-
141.6,C-
141.8,C-
141.8,C-
142.0,C-
142.0,C-
142.2,C-
142.2,Am7b5
142.4,Am7b5
142.4,Am7b5
142.6,Am7b5
142.8,Am7b5
143.0,D7
143.2,D7
143.4,D7
143.6,D7
143.6,D7
143.8,G-
143.8,G-
144.0,G-
144.0,G-
144.2,G-
144.2,G-
144.4,G-
144.4,G-
144.6,G-
144.6,G-
144.8,G-
144.8,G-
145.0,C-7
145.0,C-7
145.2,F7
145.2,F7
145.4,A#j7
145.4,A#j7
145.6,D#b7
145.6,D#b7
145.8,Am7b5
145.8,Am7b5
146.0,D7
146.0,D7
146.2,G-
146.2,G-
146.4,G-
146.4,G-
146.6,Am7b5
146.6,Am7b5
146.8,D7
146.8,D7
147.0,G-
147.0,G-
147.2,D7
147.2,D7
147.4,G-
147.4,G-
147.6,D7
147.6,D7
147.8,G-
147.8,G-
148.0,D7
148.0,D7
148.2,G-
148.2,G-
148.4,G7
148.4,G7
148.6,C-
148.6,C-
148.8,C-
148.8,C-
149.0,C-
149.0,C-
149.2,C-
149.2,C-
149.4,Am7b5
149.4,Am7b5
149.6,Am7b5
149.6,Am7b5
149.8,D7
150.0,D7
150.2,D7
150.4,D7
150.6,D7
150.6,D7
150.8,G-
150.8,G-
151.0,G-
151.0,G-
151.2,G-
151.2,G-
151.4,G-
151.4,G-
151.6,G-
151.6,G-
151.8,G-
151.8,G-
152.0,C-7
152.0,C-7
152.2,F7
152.2,F7
152.4,A#j7
152.4,A#j7
152.6,D#b7
152.6,D#b7
152.8,Am7b5
152.8,Am7b5
153.0,D7
153.0,D7
153.2,G-
153.2,G-
153.4,G-
153.4,G-
153.6,Am7b5
153.6,Am7b5
153.8,D7
153.8,D7
