time,chord
6.870,A:min7
7.710,A:min7
8.550,A:min7
9.370,A:min7
10.190,A:min7
11.040,A:min7
11.840,A:min7
12.670,A:min7
13.500,A:min7
14.320,A:min7
15.140,A:min7
15.970,A:min7
16.780,A:min7
17.620,A:min7
18.430,A:min7
19.260,A:min7
20.040,Bb:min7
20.870,Bb:min7
21.700,Bb:min7
22.510,Bb:min7
23.370,Bb:min7
24.200,Bb:min7
25.020,Bb:min7
25.850,Bb:min7
26.660,A:min7
27.500,A:min7
28.320,A:min7
29.150,A:min7
30.000,A:min7
30.840,A:min7
31.670,A:min7
32.520,A:min7
33.340,A:min7
34.200,A:min7
35.020,A:min7
35.820,A:min7
36.650,A:min7
37.490,A:min7
38.300,A:min7
39.120,A:min7
39.920,A:min7
40.730,A:min7
41.550,A:min7
42.350,A:min7
43.170,A:min7
43.970,A:min7
44.790,A:min7
45.590,A:min7
46.400,Bb:min7
47.220,Bb:min7
48.050,Bb:min7
48.850,Bb:min7
49.670,Bb:min7
50.490,Bb:min7
51.300,Bb:min7
52.100,Bb:min7
52.920,A:min7
53.760,A:min7
54.560,A:min7
55.400,A:min7
56.200,A:min7
57.030,A:min7
57.840,A:min7
58.640,A:min7
59.450,A:min7
60.260,A:min7
61.052,A:min7
61.892,A:min7
62.680,A:min7
63.475,A:min7
64.280,A:min7
65.080,A:min7
65.895,A:min7
66.695,A:min7
67.505,A:min7
68.305,A:min7
69.115,A:min7
69.920,A:min7
70.715,A:min7
71.500,A:min7
72.275,Bb:min7
73.075,Bb:min7
73.875,Bb:min7
74.660,Bb:min7
75.465,Bb:min7
76.265,Bb:min7
77.070,Bb:min7
77.845,Bb:min7
78.630,A:min7
79.435,A:min7
80.230,A:min7
81.010,A:min7
81.795,A:min7
82.585,A:min7
83.380,A:min7
84.160,A:min7
84.940,A:min7
85.730,A:min7
86.525,A:min7
87.315,A:min7
88.105,A:min7
88.900,A:min7
89.680,A:min7
90.445,A:min7
91.225,A:min7
92.025,A:min7
92.795,A:min7
93.575,A:min7
94.370,A:min7
95.195,A:min7
96.025,A:min7
96.845,A:min7
97.665,Bb:min7
98.460,Bb:min7
99.260,Bb:min7
100.040,Bb:min7
100.820,Bb:min7
101.605,Bb:min7
102.400,Bb:min7
103.185,Bb:min7
103.380,A:min7
104.180,A:min7
104.970,A:min7
105.740,A:min7
106.540,A:min7
107.320,A:min7
108.090,A:min7
108.870,A:min7
109.650,A:min7
110.440,A:min7
111.230,A:min7
112.030,A:min7
112.810,A:min7
113.610,A:min7
114.400,A:min7
115.170,A:min7
115.970,A:min7
116.770,A:min7
117.570,A:min7
118.360,A:min7
119.160,A:min7
119.940,A:min7
120.710,A:min7
121.510,A:min7
122.270,Bb:min7
123.050,Bb:min7
123.870,Bb:min7
124.670,Bb:min7
125.430,Bb:min7
126.220,Bb:min7
127.020,Bb:min7
127.800,Bb:min7
128.590,A:min7
129.370,A:min7
130.170,A:min7
130.960,A:min7
131.760,A:min7
132.570,A:min7
133.360,A:min7
134.160,A:min7
134.950,A:min7
135.740,A:min7
136.540,A:min7
137.340,A:min7
138.150,A:min7
138.940,A:min7
139.730,A:min7
140.530,A:min7
141.320,A:min7
142.140,A:min7
142.940,A:min7
143.760,A:min7
144.560,A:min7
145.370,A:min7
