time,chord
14.450,C-
16.260,Dm7b5
17.120,G79b
18.010,C-
19.760,Dm7b5
20.630,G79b
21.540,C-
22.400,C-/B
23.300,C-/A#
25.060,Am7b5
26.820,D7
28.590,G+7
30.380,C7
32.160,F7
33.940,A#7
35.700,A#-7
36.590,D#7
37.490,G#j7
39.280,Dm7b5
41.070,G79b
42.860,C-
44.630,Dm7b5
45.520,G79b
46.420,C-
48.170,Dm7b5
49.060,G79b
49.940,C-
50.810,C-/B
51.680,C-/A#
53.440,Am7b5
55.180,D7
56.950,G+7
58.730,C7
60.480,F7
62.230,A#7
63.970,D#7
65.740,G#j7
67.510,G79b
70.980,C-
72.740,Dm7b5
73.620,G79b
74.490,C-
76.240,Dm7b5
77.110,G79b
78.000,C-
78.890,C-/B
79.760,C-/A#
81.520,Am7b5
83.280,D7
85.060,G+7
86.830,C7
88.600,F7
90.400,A#7
92.150,D#7
93.940,G#j7
95.700,G79b
99.230,C-
101.020,Dm7b5
101.890,G79b
102.780,C-
104.560,Dm7b5
105.430,G79b
106.310,C-
107.210,C-/B
108.100,C-/A#
109.870,Am7b5
111.630,D7
113.400,G+7
115.190,C7
116.970,F7
118.770,A#7
120.520,D#7
122.310,G#j7
124.070,G79b
127.620,C-
129.400,Dm7b5
130.300,G79b
131.190,C-
132.950,Dm7b5
133.830,G79b
134.710,C-
135.600,C-/B
136.480,C-/A#
138.260,Am7b5
140.030,D7
141.820,G+7
143.610,C7
145.410,F7
147.220,A#7
148.980,D#7
150.800,G#j7
152.590,G79b
156.190,C-
158.020,Dm7b5
158.910,G79b
159.800,C-
161.590,Dm7b5
162.480,G79b
163.380,C-
164.280,C-/B
165.170,C-/A#
166.940,Am7b5
168.720,D7
170.500,G+7
172.280,C7
174.060,F7
175.810,A#7
177.580,D#7
179.380,G#j7
181.150,G79b
184.690,C-
186.470,Dm7b5
187.360,G79b
188.220,C-
189.990,Dm7b5
190.880,G79b
191.760,C-
192.650,C-/B
193.530,C-/A#
195.260,Am7b5
197.030,D7
198.780,G+7
200.520,C7
202.260,F7
204.000,A#7
205.760,D#7
207.510,G#j7
