time,chord
8.870,C:min
9.920,C:min
10.970,F:min7
12.070,F:min7
13.120,D:hdim7
14.180,G:7
15.250,C:min
16.290,C:min
17.330,Eb:min7
18.350,Ab:7
19.400,Db:maj7
20.460,Db:maj7
21.470,D:hdim7
22.530,G:7
23.580,C:min
24.660,D:hdim7
25.160,G:7
25.700,C:min
26.760,C:min
27.810,F:min7
28.850,F:min7
29.920,D:hdim7
30.950,G:7
32.000,C:min
33.050,C:min
34.070,Eb:min7
35.100,Ab:7
36.170,Db:maj7
37.210,Db:maj7
38.240,D:hdim7
39.300,G:7
40.340,C:min
41.400,D:hdim7
41.930,G:7
42.440,C:min
43.510,C:min
44.550,F:min7
45.570,F:min7
46.590,D:hdim7
47.620,G:7
48.650,C:min
49.680,C:min
50.690,Eb:min7
51.710,Ab:7
52.740,Db:maj7
53.770,Db:maj7
54.800,D:hdim7
55.800,G:7
56.810,C:min
57.830,D:hdim7
58.330,G:7
58.840,C:min
59.850,C:min
60.900,F:min7
61.920,F:min7
62.950,D:hdim7
63.980,G:7
64.990,C:min
66.020,C:min
67.060,Eb:min7
68.100,Ab:7
69.110,Db:maj7
70.150,Db:maj7
71.190,D:hdim7
72.200,G:7
73.230,C:min
74.240,D:hdim7
74.750,G:7
75.270,C:min
76.300,C:min
77.290,F:min7
78.300,F:min7
79.320,D:hdim7
80.330,G:7
81.370,C:min
82.380,C:min
83.380,Eb:min7
84.390,Ab:7
85.410,Db:maj7
86.450,Db:maj7
87.460,D:hdim7
88.490,G:7
89.490,C:min
90.520,D:hdim7
91.010,G:7
91.510,C:min
92.520,C:min
93.530,F:min7
94.570,F:min7
95.570,D:hdim7
96.580,G:7
97.600,C:min
98.610,C:min
99.650,Eb:min7
100.680,Ab:7
101.700,Db:maj7
102.720,Db:maj7
103.730,D:hdim7
104.720,G:7
105.740,C:min
106.780,D:hdim7
107.260,G:7
107.780,C:min
108.820,C:min
109.860,F:min7
110.900,F:min7
111.920,D:hdim7
112.900,G:7
113.890,C:min
114.900,C:min
115.910,Eb:min7
116.870,Ab:7
117.850,Db:maj7
118.830,Db:maj7
119.820,D:hdim7
120.790,G:7
121.760,C:min
122.720,D:hdim7
123.200,G:7
123.680,C:min
124.680,C:min
125.620,F:min7
126.630,F:min7
127.590,D:hdim7
128.560,G:7
129.560,C:min
130.520,C:min
131.500,Eb:min7
132.460,Ab:7
133.450,Db:maj7
134.410,Db:maj7
135.420,D:hdim7
136.410,G:7
137.370,C:min
138.350,D:hdim7
138.840,G:7
139.330,C:min
140.290,C:min
141.300,F:min7
142.260,F:min7
143.240,D:hdim7
144.210,G:7
145.200,C:min
146.140,C:min
147.130,Eb:min7
148.150,Ab:7
149.120,Db:maj7
150.070,Db:maj7
151.060,D:hdim7
152.040,G:7
153.000,C:min
153.990,D:hdim7
154.450,G:7
154.940,C:min
155.930,C:min
156.910,F:min7
157.880,F:min7
158.860,D:hdim7
159.830,G:7
160.830,C:min
161.810,C:min
162.820,Eb:min7
163.800,Ab:7
164.800,Db:maj7
165.760,Db:maj7
166.770,D:hdim7
167.750,G:7
168.720,C:min
169.730,D:hdim7
170.250,G:7
170.780,C:min
171.780,C:min
172.770,F:min7
173.780,F:min7
174.790,D:hdim7
175.790,G:7
176.790,C:min
177.790,C:min
178.800,Eb:min7
179.800,Ab:7
180.820,Db:maj7
181.810,Db:maj7
182.800,D:hdim7
183.810,G:7
184.810,C:min
185.810,D:hdim7
186.326,G:7
186.839,C:min
187.884,C:min
188.865,F:min7
189.856,F:min7
190.840,D:hdim7
191.910,G:7
192.873,C:min
193.852,C:min
194.845,Eb:min7
195.876,Ab:7
196.882,Db:maj7
197.915,Db:maj7
198.891,D:hdim7
199.883,G:7
200.855,C:min
201.851,D:hdim7
202.356,G:7
202.852,C:min
203.895,C:min
204.893,F:min7
205.893,F:min7
206.906,D:hdim7
207.895,G:7
208.895,C:min
209.895,C:min
210.900,Eb:min7
211.890,Ab:7
212.890,Db:maj7
213.900,Db:maj7
214.900,D:hdim7
215.900,G:7
216.890,C:min
217.870,D:hdim7
218.360,G:7
218.880,C:min
219.910,C:min
220.920,F:min7
221.930,F:min7
222.900,D:hdim7
223.900,G:7
224.850,C:min
225.840,C:min
226.820,Eb:min7
227.790,Ab:7
228.780,Db:maj7
229.760,Db:maj7
230.740,D:hdim7
231.730,G:7
232.700,C:min
233.700,D:hdim7
234.190,G:7
234.680,C:min
235.720,C:min
236.710,F:min7
237.700,F:min7
238.710,D:hdim7
239.710,G:7
240.710,C:min
241.710,C:min
242.680,Eb:min7
243.690,Ab:7
244.710,Db:maj7
245.690,Db:maj7
246.670,D:hdim7
247.680,G:7
248.690,C:min
249.690,D:hdim7
250.200,G:7
250.720,C:min
251.750,C:min
252.760,F:min7
253.770,F:min7
254.760,D:hdim7
255.750,G:7
256.730,C:min
257.740,C:min
258.720,Eb:min7
259.710,Ab:7
260.720,Db:maj7
261.710,Db:maj7
262.700,D:hdim7
263.710,G:7
264.700,C:min
265.710,D:hdim7
266.240,G:7
266.750,C:min
267.740,C:min
268.760,F:min7
269.800,F:min7
270.830,D:hdim7
271.890,G:7
272.900,C:min
273.970,C:min
275.010,Eb:min7
276.030,Ab:7
277.010,Db:maj7
278.030,Db:maj7
279.020,D:hdim7
280.040,G:7
281.060,C:min
282.080,A:7
283.100,D:hdim7
284.130,G:7
285.130,C:min
286.170,A:7
287.160,D:hdim7
288.200,G:7
289.330,C:min
290.400,C:min
