time,chord
0.150,F:7
1.390,Bb:7
2.610,F:7
3.810,F:7
5.030,Bb:7
6.240,Bb:7
7.460,F:7
8.710,A:min7
9.350,D:7
9.990,G:min
11.250,C:7
12.480,F:7
13.750,C:7
14.980,F:7
16.230,Bb:7
17.480,F:7
18.760,F:7
20.020,Bb:7
21.290,Bb:7
22.570,F:7
23.840,A:min7
24.490,D:7
25.140,G:min
26.450,C:7
27.730,F:7
29.000,C:7
30.280,F:7
31.590,Bb:7
32.870,F:7
34.160,F:7
35.440,Bb:7
36.720,Bb:7
37.990,F:7
39.240,A:min7
39.860,D:7
40.490,G:min
41.760,C:7
43.040,F:7
44.310,C:7
45.590,F:7
46.830,Bb:7
48.120,F:7
49.390,F:7
50.670,Bb:7
51.930,Bb:7
53.210,F:7
54.520,A:min7
55.170,D:7
55.790,G:min
57.070,C:7
58.340,F:7
59.620,C:7
60.900,F:7
62.190,Bb:7
63.490,F:7
64.770,F:7
66.030,Bb:7
67.290,Bb:7
68.570,F:7
69.850,A:min7
70.490,D:7
71.130,G:min
72.420,C:7
73.710,F:7
74.990,C:7
76.260,F:7
77.530,Bb:7
78.800,F:7
80.070,F:7
81.350,Bb:7
82.620,Bb:7
83.900,F:7
85.170,A:min7
85.810,D:7
86.450,G:min
87.730,C:7
89.000,F:7
90.280,C:7
91.570,F:7
92.840,Bb:7
94.130,F:7
95.430,F:7
96.730,Bb:7
98.010,Bb:7
99.280,F:7
100.570,A:min7
101.200,D:7
101.840,G:min
103.130,C:7
104.400,F:7
105.690,C:7
106.970,F:7
108.270,Bb:7
109.550,F:7
110.810,F:7
112.090,Bb:7
113.370,Bb:7
114.670,F:7
115.990,A:min7
116.630,D:7
117.290,G:min
118.610,C:7
119.940,F:7
121.290,C:7
122.640,F:7
123.970,Bb:7
125.290,F:7
126.590,F:7
127.920,Bb:7
129.230,Bb:7
130.560,F:7
131.880,A:min7
132.530,D:7
133.180,G:min
134.480,C:7
135.790,F:7
137.090,C:7
138.420,F:7
139.720,Bb:7
141.020,F:7
142.350,F:7
143.670,Bb:7
144.990,Bb:7
146.330,F:7
147.660,A:min7
148.330,D:7
149.010,G:min
150.360,C:7
151.690,F:7
153.040,C:7
154.390,F:7
155.740,Bb:7
157.100,F:7
158.420,F:7
159.750,Bb:7
161.070,Bb:7
162.390,F:7
163.720,A:min7
164.390,D:7
165.060,G:min
166.400,C:7
167.780,F:7
169.120,C:7
170.440,F:7
171.790,Bb:7
173.160,F:7
174.520,F:7
175.830,Bb:7
177.160,Bb:7
178.500,F:7
179.830,A:min7
180.510,D:7
181.170,G:min
182.520,C:7
183.870,F:7
185.230,C:7
186.590,F:7
187.940,Bb:7
189.300,F:7
190.670,F:7
192.030,Bb:7
193.380,Bb:7
194.750,F:7
196.100,A:min7
196.780,D:7
197.450,G:min
198.810,C:7
200.140,F:7
201.480,C:7
202.840,F:7
204.200,Bb:7
205.550,F:7
206.910,F:7
208.270,Bb:7
209.610,Bb:7
210.960,F:7
212.300,A:min7
212.980,D:7
213.660,G:min
215.010,C:7
216.340,F:7
217.680,C:7
219.070,F:7
220.420,Bb:7
221.770,F:7
223.110,F:7
224.480,Bb:7
225.830,Bb:7
227.190,F:7
228.530,A:min7
229.220,D:7
229.900,G:min
231.250,C:7
232.590,F:7
233.910,C:7
235.240,F:7
236.560,Bb:7
237.910,F:7
239.290,F:7
240.640,Bb:7
241.990,Bb:7
243.350,F:7
244.720,A:min7
245.410,D:7
246.090,G:min
247.440,C:7
248.810,F:7
250.160,C:7
251.510,F:7
252.910,Bb:7
254.240,F:7
255.610,F:7
256.960,Bb:7
258.330,Bb:7
259.680,F:7
261.020,A:min7
261.710,D:7
262.370,G:min
263.710,C:7
265.040,F:7
266.360,C:7
267.710,F:7
269.050,Bb:7
270.370,F:7
271.700,F:7
273.030,Bb:7
274.370,Bb:7
275.720,F:7
277.040,A:min7
277.700,D:7
278.370,G:min
279.720,C:7
281.040,F:7
282.370,C:7
283.700,F:7
285.070,Bb:7
286.430,F:7
287.750,F:7
289.080,Bb:7
290.420,Bb:7
291.760,F:7
293.110,A:min7
293.780,D:7
294.460,G:min
295.800,C:7
297.130,F:7
298.460,C:7
299.760,F:7
301.080,Bb:7
302.420,F:7
303.760,F:7
305.090,Bb:7
306.420,Bb:7
307.770,F:7
309.100,A:min7
309.760,D:7
310.420,G:min
311.710,C:7
313.050,F:7
314.370,C:7
315.710,F:7
317.030,Bb:7
318.370,F:7
319.710,F:7
321.050,Bb:7
322.380,Bb:7
323.730,F:7
325.070,A:min7
325.740,D:7
326.400,G:min
327.740,C:7
329.080,F:7
330.400,C:7
331.720,F:7
333.050,Bb:7
334.380,F:7
335.720,F:7
337.050,Bb:7
338.360,Bb:7
339.690,F:7
341.010,A:min7
341.660,D:7
342.310,G:min
343.640,C:7
344.940,F:7
346.260,C:7
347.570,F:7
348.900,Bb:7
350.230,F:7
351.540,F:7
352.840,Bb:7
354.160,Bb:7
355.490,F:7
356.810,A:min7
357.460,D:7
358.110,G:min
359.430,C:7
360.740,F:7
362.060,C:7
363.370,F:7
364.700,Bb:7
366.030,F:7
367.350,F:7
368.640,Bb:7
369.970,Bb:7
371.270,F:7
372.580,A:min7
373.220,D:7
373.860,G:min
375.190,C:7
376.490,F:7
377.800,C:7
379.100,F:7
380.430,Bb:7
381.730,F:7
383.040,F:7
384.350,Bb:7
385.660,Bb:7
386.980,F:7
388.310,A:min7
388.970,D:7
389.630,G:min
390.940,C:7
392.270,F:7
393.590,C:7
394.930,F:7
396.310,Bb:7
397.650,F:7
398.960,F:7
400.250,Bb:7
401.580,Bb:7
402.910,F:7
404.200,A:min7
404.860,D:7
405.510,G:min
406.840,C:7
408.140,F:7
409.450,C:7
410.770,F:7
412.070,Bb:7
413.380,F:7
414.690,F:7
416.020,Bb:7
417.350,Bb:7
418.690,F:7
420.040,A:min7
420.710,D:7
421.360,G:min
422.700,C:7
424.030,F:7
425.360,C:7
426.680,F:7
428.030,Bb:7
429.350,F:7
430.700,F:7
432.020,Bb:7
433.360,Bb:7
434.710,F:7
436.040,A:min7
436.700,D:7
437.370,G:min
438.700,C:7
440.030,F:7
441.360,C:7
442.740,F:7
444.100,Bb:7
445.430,F:7
446.780,F:7
448.130,Bb:7
449.490,Bb:7
450.830,F:7
452.110,A:min7
452.780,D:7
453.470,G:min
454.810,C:7
456.130,F:7
457.460,C:7
458.800,F:7
460.180,Bb:7
461.530,F:7
462.880,F:7
464.260,Bb:7
465.570,Bb:7
466.900,F:7
468.210,A:min7
468.880,D:7
469.550,G:min
470.900,C:7
472.270,F:7
473.590,C:7
474.940,F:7
476.270,Bb:7
477.610,F:7
478.960,F:7
480.320,Bb:7
481.680,Bb:7
483.030,F:7
484.360,A:min7
485.020,D:7
485.690,G:min
487.010,C:7
488.350,F:7
489.660,C:7
491.010,F:7
492.370,Bb:7
493.690,F:7
495.030,F:7
496.330,Bb:7
497.670,Bb:7
498.990,F:7
500.300,A:min7
500.930,D:7
501.610,G:min
502.930,C:7
504.240,F:7
505.480,C:7
506.770,F:7
508.090,Bb:7
509.390,F:7
510.710,F:7
512.030,Bb:7
513.360,Bb:7
514.680,F:7
515.990,A:min7
516.630,D:7
517.270,G:min
518.560,C:7
521.130,C:7
522.430,F:7
523.780,Bb:7
525.110,F:7
526.440,F:7
527.790,Bb:7
529.130,Bb:7
530.480,F:7
531.820,A:min7
532.510,D:7
533.190,G:min
534.550,C:7
535.920,F:7
537.240,C:7
538.580,F:7
539.940,Bb:7
541.290,F:7
542.670,F:7
544.020,Bb:7
545.380,Bb:7
546.740,F:7
548.090,A:min7
548.760,D:7
549.450,G:min
550.860,C:7
552.250,F:7
