time,chord
82.000,Fj7
82.000,Fj7
82.200,Fj7
82.200,Fj7
82.400,Fj7
82.400,Fj7
82.600,Fj7
82.600,Fj7
82.800,G7alt
82.800,G7alt
83.000,G7alt
83.000,G7alt
83.200,G7alt
83.200,G7alt
83.400,G7alt
83.400,G7alt
83.600,G-7
83.600,G-7
83.800,G-7
83.800,G-7
84.000,C7
84.200,C7
84.400,C7
84.600,C7
84.800,C7
85.000,C7
85.200,C7
85.400,C7
85.600,Am7b5
85.800,Am7b5
86.000,Am7b5
86.200,Am7b5
86.400,Am7b5
86.600,Am7b5
86.800,Am7b5
87.000,Am7b5
87.200,D79b
87.400,D79b
87.600,D79b
87.800,D79b
88.000,D79b
88.200,D79b
88.400,D79b
88.400,G-7
88.600,G-7
88.600,G-7
88.800,G-7
89.000,G-7
89.200,A79b
89.400,A79b
89.600,A79b
89.800,A79b
90.000,A79b
90.200,A79b
90.400,A79b
90.600,D7
90.600,D7
90.800,D7
90.800,D7
91.000,D79b
91.000,D79b
91.200,D79b
91.400,D79b
91.600,D79b
91.800,D79b
92.000,G79b
92.200,G79b
92.400,G79b
92.600,G79b
92.800,G79b
93.000,G79b
93.200,G79b
93.400,G79b
93.600,G79b
93.800,G79b
94.000,G79b
94.200,G79b
94.400,G79b
94.600,G79b
94.800,G79b
95.000,G79b
95.200,F#bj7
95.400,F#bj7
95.600,F#bj7
95.800,F#bj7
96.000,F#bj7
96.200,F#bj7
96.400,F#bj7
96.600,F#bj7
96.800,F#bj7
97.000,F#bj7
97.200,F#bj7
97.400,F#bj7
97.600,F#bj7
97.800,F#bj7
98.000,F#bj7
98.200,Fj7
98.400,Fj7
98.600,Fj7
98.800,Fj7
99.000,Fj7
99.200,Fj7
99.200,Fj7
99.400,Fj7
99.400,Fj7
99.600,Fj7
99.600,G7alt
99.800,G7alt
99.800,G7alt
100.000,G7alt
100.000,G7alt
100.200,G7alt
100.200,G7alt
100.400,G7alt
100.400,G-7
100.600,G-7
100.600,G-7
100.800,G-7
100.800,C7
101.000,C7
101.000,C7
101.200,C7
101.400,C7
101.600,Am7b5
101.800,Am7b5
102.000,Am7b5
102.200,Am7b5
102.400,Am7b5
102.600,Am7b5
102.800,Am7b5
102.800,D79b
103.000,D79b
103.000,D79b
103.200,D79b
103.400,D79b
103.600,G-7
103.800,G-7
104.000,G-7
104.200,G-7
104.400,G-7
104.600,G-7
104.800,G-7
105.000,G-7
105.200,A#-
105.400,A#-
105.600,A#-
105.800,A#-
106.000,A#-
106.200,A#-
106.400,A#-
106.600,A#-
106.800,A-7
107.000,A-7
107.200,A-7
107.400,A-7
107.600,A-7
107.800,A-7
108.000,A-7
108.000,B7b5
108.200,B7b5
108.200,E79#
108.400,E79#
108.400,Aj7
108.600,Aj7
108.600,Aj7
108.800,Aj7
108.800,A#o7
109.000,A#o7
109.000,A#o7
109.200,A#o7
109.400,A#o7
109.600,B7
109.800,B7
110.000,B7
110.200,B7
110.400,B7
110.600,B7
110.800,B7
111.000,B7
111.200,E7
111.400,E7
111.600,E7
111.800,E7
112.000,E7
112.200,E7
112.400,E7
112.600,E7
112.800,Aj7
113.000,Aj7
113.200,Aj7
113.400,Aj7
113.600,Aj7
113.800,Aj7
114.000,Aj7
114.200,Aj7
114.400,F##-7
114.600,F##-7
114.800,F##-7
115.000,F##-7
115.200,F##-7
115.400,F##-7
115.600,F##-7
115.800,F##-7
116.000,B7
116.200,B7
116.400,B7
116.600,B7
116.800,B7
117.000,B7
117.200,B7
117.400,E7
117.600,E7
117.600,E7
117.800,E7
118.000,E7
118.200,Cj7
118.400,Cj7
118.600,Cj7
118.800,Cj7
119.000,Cj7
119.200,Cj7
119.400,Cj7
119.600,Cj7
119.800,C##o7
120.000,C##o7
120.200,C##o7
120.400,C##o7
120.600,C##o7
120.800,C##o7
121.000,C##o7
121.200,C##o7
121.400,D-7
121.400,D-7
121.600,D-7
121.600,D-7
121.800,G7
121.800,G7
122.000,G7
122.000,G7
122.200,G-7
122.200,G-7
122.400,G-7
122.400,G-7
122.600,Am7b5
122.800,Am7b5
123.000,Am7b5
123.200,Am7b5
123.400,D79b
123.600,D79b
123.800,D79b
124.000,D79b
124.200,G-7
124.400,G-7
124.600,G-7
124.600,G-7
124.800,G-7
125.000,G-7
125.200,C7alt
125.400,C7alt
125.600,C7alt
125.800,C7alt
126.000,C7alt
126.200,C7alt
126.400,C7alt
126.600,C7alt
126.800,Fj7
127.000,Fj7
127.200,Fj7
127.400,Fj7
127.600,Fj7
127.800,Fj7
128.000,Fj7
128.200,Fj7
128.400,Fj7
128.600,Fj7
128.800,Fj7
129.000,Fj7
129.200,Fj7
129.400,Fj7
129.600,Fj7
129.800,Fj7
130.000,G7alt
130.200,G7alt
130.400,G7alt
130.600,G7alt
130.800,G7alt
131.000,G7alt
131.200,G7alt
131.400,G7alt
131.600,G7alt
131.800,G7alt
132.000,G7alt
132.200,G7alt
132.400,G7alt
132.600,G7alt
132.800,G7alt
133.000,G7alt
133.200,G-7
133.400,G-7
133.600,G-7
133.800,G-7
134.000,G-7
134.200,G-7
134.400,G-7
134.600,C7
134.600,C7
134.800,C7
