time,chord
7.4,F6
7.6,F6
7.8,F6
8.0,F6
8.2,F6
8.4,F6
8.6,F6
8.8,F6
9.4,C#b7
9.6,C#b7
10.2,C#b7
10.4,C#b7
11.0,C#b7
11.2,C#b7
11.8,C#b7
12.0,C#b7
12.6,D7
12.8,D7
13.0,D7
13.2,D7
13.4,G-7
13.6,G-7
13.8,G-7
14.0,G-7
14.2,C7
14.4,C7
14.6,C7
14.8,C7
15.4,F6
15.6,F6
16.2,F6
16.4,F6
16.6,F6
16.8,G-7
17.0,G-7
17.6,C7
17.8,C7
18.4,C7
18.8,F6
19.0,F6
19.2,F6
19.4,F6
19.6,F6
19.8,F6
20.0,F6
20.6,F6
20.8,F6
21.4,F6
21.6,F6
22.2,C#b7
22.6,C#b7
22.8,C#b7
23.0,C#b7
23.2,D7
23.4,D7
23.6,D7
23.8,D7
24.0,G-7
24.2,G-7
24.6,G-7
24.8,G-7
25.0,G-7
25.6,C7
25.8,C7
26.4,C7
26.6,C7
27.2,C7
27.4,C7
28.0,C7
28.2,C7
28.4,F6
28.6,F6
28.8,F6
29.0,F6
29.2,F6
29.4,F6
29.6,F6
29.8,F6
30.0,D#b7
30.6,D#b7
30.8,D#b7
31.4,D#b7
31.6,D#b7
32.2,D#b7
32.4,D#b7
33.0,D#b7
33.2,D#b7
33.8,D#b7
34.0,D#b7
34.6,D#b7
34.8,D#b7
35.4,D#b7
35.6,D#b7
36.0,F6
36.2,F6
36.4,F6
36.6,F6
36.8,F6
37.0,F6
37.2,F6
37.4,F6
37.6,F6
38.2,C#b7
38.4,C#b7
38.6,C#b7
38.8,C#b7
39.0,C#b7
39.2,C#b7
39.4,C#b7
39.6,C#b7
40.2,F#b7
40.4,F#b7
40.6,F#b7
40.8,F#b7
41.0,G-7
41.2,G-7
41.4,C7
41.6,C7
41.8,F6
42.0,F6
42.2,F6
42.4,F6
42.6,F6
43.2,F6
43.4,F6
44.0,F6
44.2,F6
44.8,F6
45.0,F6
45.6,C#b7
45.8,C#b7
46.4,C#b7
46.6,C#b7
47.2,C#b7
47.4,C#b7
48.0,C#b7
48.6,D7
48.8,D7
49.4,D7
49.6,D7
50.2,D7
50.4,D7
51.0,D7
51.2,D7
51.8,G-7
52.0,G-7
52.6,G-7
52.8,G-7
53.4,G-7
53.6,G-7
54.0,G-7
54.6,C7
54.8,C7
55.4,C7
55.6,C7
56.2,C7
56.4,C7
57.0,C7
57.2,C7
57.8,F6
58.0,F6
58.6,F6
58.8,F6
59.4,F6
59.6,F6
60.0,F6
60.2,F6
60.4,F6
60.6,F6
60.8,F6
61.0,F6
61.2,F6
61.4,F6
61.6,F6
61.8,F6
62.0,F6
62.2,F6
62.4,F6
62.6,C#b7
62.8,C#b7
63.2,C#b7
63.4,C#b7
63.6,C#b7
64.2,D7
64.4,D7
65.0,D7
65.2,D7
65.6,D7
65.8,D7
66.4,G-7
66.6,G-7
66.8,G-7
67.0,G-7
67.6,C7
67.8,C7
68.4,C7
68.6,C7
68.8,C7
69.0,C7
69.6,F6
69.8,F6
70.0,F6
70.6,F6
70.8,F6
71.4,F6
71.6,F6
72.2,G-7
72.4,G-7
73.0,G-7
73.2,G-7
73.8,C7
74.0,C7
74.6,C7
74.8,C7
75.2,F6
75.4,F6
75.6,F6
75.8,F6
76.0,F6
76.2,F6
