time,chord
310.0,G-6/C
310.0,G-6/C
310.2,G-6/C
310.2,G-6/C
310.4,G-6/C
310.4,G-6/C
310.6,G-6/C
310.6,G-6/C
310.8,G-6/C
311.0,G-6/C
311.2,G-6/C
311.4,G-6/C
311.6,G-6/C
311.8,G-6/C
312.0,G-6/C
312.2,G-6/C
312.4,G-6/C
312.6,G-6/C
312.8,G-6/C
313.0,G-6/C
313.2,G-6/C
313.4,G-6/C
313.6,G-6/C
313.8,G-6/C
314.0,G-6/C
314.2,G-6/C
314.4,G-6/C
314.6,G-6/C
314.8,G-6/C
315.0,G-6/C
315.2,G-6/C
315.4,G-6/C
315.6,G-6/C
315.8,G-6/C
316.0,G-6/C
316.0,G-6/C
316.2,G-6/C
316.4,G-6/C
316.6,C#b7911#
316.8,C#b7911#
317.0,C#b7911#
317.2,C#b7911#
317.4,C#b7911#
317.6,C#b7911#
317.8,C#b7911#
318.0,C#b7911#
318.2,C#b7911#
318.4,C#b7911#
318.6,C#b7911#
318.8,C#b7911#
319.0,C#b7911#
319.2,C#b7911#
319.4,G-6/C
319.6,G-6/C
319.8,G-6/C
320.0,G-6/C
320.2,G-6/C
320.4,G-6/C
320.6,G-6/C
320.8,G-6/C
321.0,G-6/C
321.2,G-6/C
321.4,G-6/C
321.6,G-6/C
321.8,G-6/C
322.0,G-6/C
322.2,G-6/C
322.4,G-6/C
322.6,G-6/C
322.8,G-6/C
323.0,G-6/C
323.2,G-6/C
323.4,G-6/C
323.6,G-6/C
323.8,G-6/C
324.0,G-6/C
324.2,G-6/C
324.4,G-6/C
324.6,G-6/C
324.8,G-6/C
325.0,G-6/C
325.2,G-6/C
325.4,G-6/C
325.6,G-6/C
325.8,G-6/C
325.8,G-6/C
326.0,G-6/C
326.0,G-6/C
326.2,G-6/C
326.2,G-6/C
326.4,G-6/C
326.6,G-6/C
326.8,C+7
327.0,C+7
327.2,C+7
327.4,C+7
327.6,C+7
327.8,C+7
328.0,C+7
328.0,C+7
328.2,C+7
328.4,C+7
328.6,C+7
328.8,C+7
329.0,A-7
329.0,A-7
329.2,A-7
329.2,A-7
329.4,A-7
329.4,A-7
329.6,A-7
329.6,A-7
329.8,A-7
329.8,A-7
330.0,A-7
330.0,A-7
330.2,A-7
330.2,A-7
330.4,A-7
330.4,A-7
330.6,A-7
330.6,A-7
330.8,A-7
330.8,A-7
331.0,A-7
331.0,A-7
331.2,A-7
331.2,A-7
331.4,C+7
331.4,C+7
331.6,C+7
331.6,C+7
331.8,C+7
331.8,C+7
332.0,C+7
332.0,C+7
332.2,C+7
332.2,C+7
332.4,C+7
332.4,C+7
332.6,C+7
332.6,C+7
332.8,C+7
332.8,C+7
333.0,C+7
333.0,C+7
333.2,C+7
333.2,C+7
333.4,C+7
333.4,C+7
333.6,C+7
333.6,C+7
333.8,C+7
333.8,C+7
334.0,C+7
334.0,C+7
334.2,C+7
334.2,C+7
334.4,C+7
334.4,C+7
334.6,A-7
334.6,A-7
334.8,A-7
334.8,A-7
335.0,A-7
335.0,A-7
335.2,A-7
335.2,A-7
335.4,G-6/C
335.4,G-6/C
335.6,G-6/C
335.6,G-6/C
335.8,G-6/C
335.8,G-6/C
336.0,G-6/C
336.0,G-6/C
336.2,G-6/C
336.2,G-6/C
336.4,G-6/C
336.4,G-6/C
336.6,G-6/C
336.6,G-6/C
336.8,G-6/C
336.8,G-6/C
337.0,G-6/C
337.0,G-6/C
337.2,G-6/C
337.4,G-6/C
337.6,G-6/C
337.8,G-6/C
338.0,G-6/C
338.2,G-6/C
338.4,G-6/C
338.6,G-6/C
338.8,G-6/C
339.0,G-6/C
339.2,G-6/C
339.4,G-6/C
339.6,F+7911#
339.8,F+7911#
340.0,F+7911#
340.2,F+7911#
340.4,F+7911#
340.6,F+7911#
340.8,F+7911#
341.0,F+7911#
341.2,F+7911#
341.4,F+7911#
341.4,F+7911#
341.6,F+7911#
341.8,F+7911#
342.0,G-6/C
342.2,G-6/C
342.4,G-6/C
342.6,G-6/C
342.6,G-6/C
342.8,G-6/C
342.8,G-6/C
343.0,G-6/C
343.0,G-6/C
343.2,G-6/C
343.2,G-6/C
343.4,G-6/C
343.4,G-6/C
343.6,G-6/C
343.6,G-6/C
343.8,G-6/C
343.8,G-6/C
344.0,G-6/C
344.0,G-6/C
344.2,G-6/C
344.2,G-6/C
344.4,G-6/C
344.4,G-6/C
344.6,G-6/C
344.6,G-6/C
344.8,C#b7911#
344.8,C#b7911#
345.0,C#b7911#
345.0,C#b7911#
345.2,C#b7911#
345.2,C#b7911#
345.4,C#b7911#
345.4,C#b7911#
345.6,G-6/C
345.6,G-6/C
345.8,G-6/C
345.8,G-6/C
346.0,G-6/C
346.2,G-6/C
346.4,G-6/C
346.6,G-6/C
346.8,G-6/C
347.0,G-6/C
347.2,G-6/C
347.4,G-6/C
347.6,G-6/C
347.8,G-6/C
348.0,G-6/C
348.0,G-6/C
348.2,G-6/C
348.2,G-6/C
348.4,G-6/C
348.4,G-6/C
348.6,G-6/C
348.6,G-6/C
348.8,G-6/C
348.8,G-6/C
349.0,G-6/C
349.0,G-6/C
349.2,G-6/C
349.4,G-6/C
349.6,G-6/C
349.8,G-6/C
350.0,G-6/C
350.2,G-6/C
350.4,C+7
350.6,C+7
350.8,C+7
351.0,C+7
351.2,C+7
351.4,C+7
351.4,C+7
351.6,C+7
351.6,C+7
351.8,C+7
351.8,A-7
352.0,A-7
352.0,A-7
352.2,A-7
352.2,A-7
352.4,A-7
352.4,A-7
352.6,A-7
352.6,A-7
352.8,A-7
352.8,A-7
353.0,A-7
353.0,A-7
353.2,A-7
353.4,A-7
353.6,A-7
353.8,A-7
354.0,A-7
354.2,A-7
354.4,A-7
354.6,A-7
354.8,A-7
354.8,A-7
355.0,A-7
355.0,A-7
355.2,A-7
355.2,A-7
355.4,A-7
355.4,C+7
355.6,C+7
355.6,C+7
355.8,C+7
355.8,C+7
356.0,C+7
356.0,C+7
356.2,C+7
356.2,C+7
356.4,C+7
356.4,C+7
356.6,C+7
356.6,C+7
356.8,C+7
356.8,C+7
357.0,C+7
357.0,C+7
357.2,C+7
357.2,C+7
357.4,C+7
357.4,C+7
357.6,C+7
357.6,C+7
357.8,C+7
357.8,C+7
358.0,C+7
358.0,C+7
358.2,C+7
358.2,C+7
358.4,C+7
358.4,C+7
358.6,C+7
358.6,A-7
358.8,A-7
358.8,A-7
359.0,A-7
359.0,A-7
359.2,A-7
359.2,A-7
359.4,A-7
359.4,G-6/C
359.6,G-6/C
359.6,G-6/C
