time,chord
88.8,Cj7
89.0,Cj7
89.0,Cj7
89.2,Cj7
89.2,Cj7
89.4,Cj7
89.4,Cj7
89.6,Cj7
89.6,C-7
89.8,C-7
89.8,C-7
90.0,C-7
90.2,C-7
90.4,F7
90.6,F7
90.8,F7
91.0,F7
91.2,F7
91.4,F7
91.4,F7
91.6,F7
91.6,F7
91.8,F7
91.8,F7
92.0,F7
92.0,F7
92.2,F7
92.4,F7
92.6,A#-7
92.8,A#-7
93.0,A#-7
93.2,A#-7
93.4,A#-7
93.6,A#-7
93.8,A#-7
94.0,A#-7
94.2,D#b7
94.4,D#b7
94.6,D#b7
94.8,D#b7
95.0,D#b7
95.2,D#b7
95.4,D#b7
95.6,D#b7
95.8,A-7
96.0,A-7
96.2,A-7
96.4,A-7
96.6,A-7
96.8,A-7
97.0,A-7
97.2,A-7
97.4,D7
97.6,D7
97.8,D7
98.0,D7
98.2,D7
98.4,D7
98.6,D7
98.8,D7
99.0,B7
99.2,B7
99.4,B7
99.6,B7
99.8,B7
100.0,B7
100.2,B7
100.4,B7
100.6,E-7
100.8,E-7
101.0,E-7
101.2,E-7
101.4,E-7
101.6,E-7
101.8,E-7
102.0,E-7
102.2,A7
102.4,A7
102.6,A7
102.8,A7
103.0,A7
103.2,A7
103.4,A7
103.6,A7
103.8,A7
104.0,A7
104.2,A7
104.4,A7
104.6,A7
104.8,A7
105.0,A7
105.2,A7
105.4,A-7
105.6,A-7
105.8,A-7
106.0,A-7
106.2,A-7
106.4,A-7
106.4,D7
106.6,D7
106.6,C#b7
106.8,C#b7
106.8,Cj7
107.0,Cj7
107.0,Cj7
107.2,Cj7
107.2,Cj7
107.4,Cj7
107.4,Cj7
107.6,Cj7
107.6,C-7
107.8,C-7
107.8,C-7
108.0,C-7
108.2,C-7
108.4,F7
108.6,F7
108.8,F7
109.0,F7
109.2,F7
109.4,F7
109.6,F7
109.8,Gj7
110.0,Gj7
110.2,Gj7
110.4,Gj7
110.6,Gj7
110.8,Gj7
111.0,Gj7
111.2,Gj7
111.4,Gj7
111.6,Gj7
111.8,Gj7
112.0,Gj7
112.2,Gj7
112.4,Gj7
112.6,Gj7
112.8,Gj7
113.0,A#-7
113.2,A#-7
113.4,A#-7
113.6,A#-7
113.8,A#-7
114.0,A#-7
114.2,A#-7
114.4,A#-7
114.6,D#b7
114.8,D#b7
115.0,D#b7
115.2,D#b7
115.4,D#b7
115.6,D#b7
115.8,A-7
116.0,A-7
116.2,A-7
116.4,A-7
116.6,A-7
116.8,A-7
117.0,A-7
117.2,A-7
117.4,D7
117.6,D7
117.8,D7
118.0,D7
118.2,D7
118.4,D7
118.6,D7
118.8,D7
119.0,B7
119.2,B7
119.4,B7
119.6,B7
119.8,B7
120.0,B7
120.2,E-7
120.4,E-7
120.6,E-7
120.8,E-7
121.0,E-7
121.2,E-7
121.4,E-7
121.6,E-7
121.8,A7
122.0,A7
122.2,A7
122.4,A7
122.6,A7
122.8,A7
123.0,A7
123.2,A7
123.4,A-7
123.6,A-7
123.8,A-7
124.0,A-7
124.2,D7
124.4,D7
124.6,D7
124.8,D7
125.0,G6
125.2,G6
125.4,G6
125.6,G6
125.8,G6
126.0,G6
126.2,G6
126.4,D-7
126.6,D-7
126.8,D-7
127.0,D-7
127.2,G7
127.4,G7
127.6,G7
127.8,G7
128.0,Cj7
128.2,Cj7
128.4,Cj7
128.6,Cj7
128.8,Cj7
129.0,Cj7
129.2,Cj7
129.4,Cj7
129.6,Cj7
129.8,Cj7
130.0,Cj7
130.2,Cj7
130.4,Cj7
130.6,Cj7
130.8,Cj7
131.0,Cj7
131.2,C-7
131.4,C-7
131.6,C-7
131.8,C-7
132.0,C-7
132.2,C-7
132.4,C-7
132.6,C-7
132.8,F7
133.0,F7
133.2,F7
133.4,F7
133.6,F7
133.6,F7
133.8,F7
133.8,F7
134.0,F7
134.0,F7
134.2,F7
134.2,F7
134.4,F7
134.6,F7
134.8,A#-7
135.0,A#-7
135.2,A#-7
135.4,A#-7
135.6,A#-7
135.8,A#-7
136.0,A#-7
136.2,A#-7
136.4,D#b7
136.6,D#b7
136.8,D#b7
137.0,D#b7
137.2,D#b7
137.4,D#b7
137.6,D#b7
137.8,D#b7
138.0,A-7
138.2,A-7
138.4,A-7
138.6,A-7
138.8,A-7
139.0,A-7
139.2,A-7
139.4,A-7
139.6,D7
139.6,D7
139.8,D7
139.8,D7
140.0,B7
140.0,B7
140.2,B7
140.2,B7
140.4,E-7
140.4,E-7
140.6,E-7
140.6,E-7
140.8,A7
140.8,A7
141.0,A7
141.0,A7
141.2,A7
141.2,A7
141.4,A7
141.4,A7
141.6,A-7
141.6,A-7
141.8,A-7
141.8,A-7
142.0,D7
142.0,D7
142.2,C#b7
142.2,C#b7
142.4,Cj7
142.4,Cj7
142.6,Cj7
142.6,Cj7
142.8,Cj7
142.8,Cj7
143.0,Cj7
143.2,Cj7
143.4,Cj7
143.6,C-7
143.8,C-7
143.8,C-7
144.0,C-7
144.0,F7
144.2,F7
144.2,F7
144.4,F7
144.6,F7
144.8,Gj7
145.0,Gj7
145.2,Gj7
