time,chord
13.380,C-
14.890,C-
16.380,F-7
17.870,Bb7
19.370,Dm7b5
20.870,G7
22.360,C-
23.830,C-
25.350,Eb-7
26.840,Ab7
28.340,Dbj7
29.850,Dbj7
31.340,Dm7b5
32.880,G7
34.390,C-
35.890,Dm7b5
36.640,G7
37.410,C-
38.920,C-
40.430,F-7
41.920,Bb7
43.430,Dm7b5
44.950,G7
46.450,C-
47.940,C-
49.420,Eb-7
50.950,Ab7
52.450,Dbj7
53.930,Dbj7
55.420,Dm7b5
56.940,G7
58.430,C-
61.380,C-
62.870,C-
64.350,F-7
65.850,Bb7
67.360,Dm7b5
68.830,G7
70.300,C-
71.790,C-
73.280,Eb-7
74.740,Ab7
76.210,Dbj7
77.690,Dbj7
79.160,Dm7b5
80.640,G7
82.120,C-
83.590,Dm7b5
84.340,G7
85.070,C-
86.570,C-
88.020,F-7
89.500,Bb7
90.980,Dm7b5
92.470,G7
93.950,C-
95.440,C-
96.900,Eb-7
98.360,Ab7
99.850,Dbj7
101.330,Dbj7
102.810,Dm7b5
104.270,G7
105.750,C-
107.220,Dm7b5
107.940,G7
108.650,C-
110.100,C-
111.600,F-7
113.060,Bb7
114.520,Dm7b5
115.980,G7
117.450,C-
118.900,C-
120.360,Eb-7
121.830,Ab7
123.310,Dbj7
124.800,Dbj7
126.230,Dm7b5
127.730,G7
129.210,C-
130.660,Dm7b5
131.390,G7
132.120,C-
133.580,C-
135.060,F-7
136.560,Bb7
137.990,Dm7b5
139.510,G7
140.970,C-
142.460,C-
143.940,Eb-7
145.430,Ab7
146.910,Dbj7
148.380,Dbj7
149.860,Dm7b5
151.320,G7
152.810,C-
155.690,C-
157.180,C-
158.650,F-7
160.100,Bb7
161.560,Dm7b5
163.000,G7
164.470,C-
165.950,C-
167.440,Eb-7
168.880,Ab7
170.360,Dbj7
171.790,Dbj7
173.240,Dm7b5
174.680,G7
176.140,C-
177.570,Dm7b5
178.310,G7
179.060,C-
180.530,C-
181.990,F-7
183.440,Bb7
184.890,Dm7b5
186.320,G7
187.780,C-
189.240,C-
190.700,Eb-7
192.140,Ab7
193.590,Dbj7
195.060,Dbj7
196.520,Dm7b5
197.980,G7
199.420,C-
200.880,Dm7b5
201.610,G7
202.320,C-
203.800,C-
205.270,F-7
206.750,Bb7
208.240,Dm7b5
209.710,G7
211.150,C-
212.580,C-
214.040,Eb-7
215.500,Ab7
216.990,Dbj7
218.450,Dbj7
219.900,Dm7b5
221.390,G7
222.890,C-
225.840,C-
227.280,C-
228.770,F-7
230.240,Bb7
231.710,Dm7b5
233.170,G7
234.630,C-
236.090,C-
237.560,Eb-7
239.040,Ab7
240.530,Dbj7
241.990,Dbj7
243.470,Dm7b5
244.920,G7
246.380,C-
247.850,Dm7b5
248.590,G7
249.310,C-
250.780,C-
252.260,F-7
253.720,Bb7
255.180,Dm7b5
256.610,G7
258.060,C-
259.540,C-
261.030,Eb-7
262.500,Ab7
263.980,Dbj7
265.450,Dbj7
266.920,Dm7b5
268.390,G7
269.850,C-
271.310,Dm7b5
272.030,G7
272.790,C-
274.260,C-
275.710,F-7
277.150,Bb7
278.620,Dm7b5
280.080,G7
281.550,C-
283.020,C-
284.490,Eb-7
285.950,Ab7
287.430,Dbj7
288.880,Dbj7
290.330,Dm7b5
291.800,G7
293.250,C-
294.710,Dm7b5
295.440,G7
296.170,C-
297.630,C-
299.110,F-7
300.590,Bb7
302.050,Dm7b5
303.550,G7
305.030,C-
306.520,C-
308.000,Eb-7
309.490,Ab7
310.960,Dbj7
312.430,Dbj7
313.910,Dm7b5
315.380,G7
316.850,C-
318.310,Dm7b5
319.060,G7
319.780,C-
321.260,C-
322.710,F-7
324.200,Bb7
325.630,Dm7b5
327.090,G7
328.540,C-
329.990,C-
331.430,Eb-7
332.870,Ab7
334.310,Dbj7
335.760,Dbj7
337.220,Dm7b5
338.680,G7
340.130,C-
341.590,Dm7b5
342.320,G7
343.060,C-
344.530,C-
345.990,F-7
347.450,Bb7
348.940,Dm7b5
350.420,G7
351.890,C-
353.340,C-
354.800,Eb-7
356.240,Ab7
357.700,Dbj7
359.170,Dbj7
360.600,Dm7b5
362.050,G7
363.490,C-
366.380,C-
367.860,C-
369.290,F-7
372.200,Dm7b5
373.660,G7
375.110,C-
376.580,C-
378.030,Eb-7
379.480,Ab7
380.920,Dbj7
382.340,Dbj7
383.770,Dm7b5
385.180,G7
386.630,C-
388.750,G7
389.460,C-
390.920,C-
392.360,F-7
393.800,Bb7
395.250,Dm7b5
396.670,G7
398.090,C-
399.510,C-
400.900,Eb-7
402.300,Ab7
403.710,Dbj7
405.120,Dbj7
406.520,Dm7b5
407.950,G7
409.350,C-
410.720,Dm7b5
411.420,G7
412.150,C-
413.580,C-
414.990,F-7
417.830,Dm7b5
419.260,G7
420.700,C-
422.110,C-
423.530,Eb-7
424.980,Ab7
426.410,Dbj7
427.860,Dbj7
429.300,Dm7b5
430.740,G7
432.160,C-
435.010,C-
436.480,C-
437.920,F-7
439.350,Bb7
440.790,Dm7b5
442.220,G7
443.640,C-
445.090,C-
446.540,Eb-7
447.970,Ab7
449.400,Dbj7
450.830,Dbj7
452.250,Dm7b5
453.690,G7
455.160,C-
