time,chord
103.2,Fj7
103.4,Fj7
103.4,Fj7
103.6,Fj7
103.6,G-7
103.8,G-7
103.8,C7
104.0,C7
104.0,Fj7
104.2,Fj7
104.2,Fj7
104.4,Fj7
104.4,A#-7
104.6,A#-7
104.6,D#b7
104.8,D#b7
104.8,D#b7
105.0,D#b7
105.2,D#b7
105.4,D7
105.6,D7
105.8,D7
106.0,G-7
106.2,G-7
106.2,C7
106.4,C7
106.4,F
106.6,F
106.6,F
106.8,F
107.0,F
107.2,Gb-7
107.4,Gb-7
107.6,Gb-7
107.8,Gb-7
108.0,C#b7
108.2,C#b7
108.4,C#b7
108.6,C#b7
108.8,F#bj7
109.0,F#bj7
109.2,F#bj7
109.4,F#bj7
109.6,F#bj7
109.8,F#bj7
110.0,F#bj7
110.2,F#bj7
110.4,Gb-7
110.6,Gb-7
110.8,Gb-7
111.0,Gb-7
111.2,C#b7
111.2,C#b7
111.4,F#bj7
111.4,F#bj7
111.6,F#bj7
111.6,F#bj7
111.8,B7
112.0,B7
112.0,E7
112.2,E7
112.4,E7
112.6,A#-7
112.8,A#-7
113.0,A#-7
113.2,A#-7
113.4,A7
113.6,A7
113.8,A7
114.0,A7
114.2,Gb-7
114.4,Gb-7
114.6,Gb-7
114.8,C#b7
115.0,C#b7
115.0,F#b
115.2,F#b
115.2,F#b
115.4,F#b
115.4,A-7
115.6,A-7
115.8,A-7
116.0,D7
116.2,D7
116.4,D7
116.6,D7
116.8,Gj7
117.0,Gj7
117.2,Gj7
117.4,Gj7
117.6,Gj7
117.8,Gj7
118.0,Gj7
118.2,Gj7
118.4,G-7
118.6,G-7
118.8,G-7
119.0,G-7
119.2,C7
119.4,C7
119.6,C7
119.8,C7
120.0,Fj7
120.2,Fj7
120.4,Fj7
120.6,Fj7
120.8,Fj7
121.0,Fj7
121.0,F-7
121.2,F-7
121.4,F-7
121.6,A#7
121.8,A#7
122.0,A#7
122.2,A#7
122.4,D#bj7
122.4,D#bj7
122.6,D#bj7
122.6,D#bj7
122.8,Gb-7
122.8,Gb-7
123.0,C#b7
123.0,C#b7
123.2,F#bj7
123.2,F#bj7
123.4,F#bj7
123.4,F#bj7
123.6,G-7
123.6,G-7
123.8,C7
123.8,C7
124.0,Fj7
124.0,Fj7
124.2,Fj7
124.2,Fj7
124.4,G-7
124.4,G-7
124.6,C7
124.6,C7
124.8,Fj7
124.8,Fj7
125.0,Fj7
125.0,Fj7
125.2,A#-7
125.2,A#-7
125.4,D#b7
125.4,D#b7
125.6,A-7
125.6,A-7
125.8,D7
126.0,D7
126.2,G-7
126.2,G-7
126.4,C7
126.4,C7
126.6,F
126.6,F
126.8,F
126.8,F
127.0,G-7
127.0,G-7
127.2,C7
127.2,C7
127.4,Fj7
127.6,Fj7
127.8,Fj7
128.0,Fj7
128.2,Fj7
128.4,Fj7
128.6,Fj7
128.8,G-7
129.0,G-7
129.2,G-7
129.4,C7
129.6,C7
129.6,Fj7
129.8,Fj7
129.8,Fj7
130.0,Fj7
130.0,A#-7
130.2,A#-7
130.2,D#b7
130.4,D#b7
130.4,D#b7
130.6,D#b7
130.6,D7
130.8,D7
130.8,G-7
131.0,G-7
131.0,C7
131.2,C7
131.2,F
131.4,F
131.4,F
131.6,F
131.6,Gb-7
131.8,Gb-7
131.8,C#b7
132.0,C#b7
132.0,F#bj7
132.2,F#bj7
132.2,F#bj7
132.4,F#bj7
132.6,F#bj7
132.8,Gb-7
133.0,Gb-7
133.2,Gb-7
133.4,Gb-7
133.6,C#b7
133.8,C#b7
134.0,C#b7
134.2,C#b7
134.4,F#bj7
134.6,F#bj7
134.8,F#bj7
135.0,F#bj7
135.2,F#bj7
135.4,F#bj7
135.6,F#bj7
135.8,F#bj7
136.0,B7
136.2,B7
136.4,B7
136.6,B7
136.8,E7
137.0,E7
137.2,E7
137.4,E7
137.6,A#-7
137.8,A#-7
138.0,A#-7
138.2,A#-7
138.4,A7
138.6,A7
138.8,A7
139.0,A7
139.2,Gb-7
139.4,Gb-7
139.6,Gb-7
139.8,Gb-7
140.0,C#b7
140.2,C#b7
140.4,C#b7
140.6,C#b7
140.8,F#b
141.0,F#b
141.2,F#b
141.4,F#b
141.6,F#b
141.8,F#b
142.0,F#b
142.2,F#b
142.4,A-7
142.6,A-7
142.8,A-7
143.0,A-7
143.2,D7
143.4,D7
143.6,D7
143.8,D7
144.0,Gj7
144.2,Gj7
144.4,Gj7
144.6,Gj7
144.8,Gj7
145.0,Gj7
145.2,Gj7
145.4,Gj7
145.6,G-7
145.8,G-7
146.0,G-7
146.2,G-7
146.4,C7
146.6,C7
146.8,C7
147.0,C7
147.2,Fj7
147.4,Fj7
147.6,Fj7
147.6,Fj7
147.8,Fj7
147.8,F-7
148.0,F-7
148.2,F-7
148.4,A#7
148.6,A#7
148.8,A#7
149.0,A#7
149.2,D#bj7
149.4,D#bj7
149.6,D#bj7
149.8,D#bj7
149.8,D#bj7
150.0,Gb-7
150.0,Gb-7
150.2,C#b7
150.2,C#b7
150.4,F#bj7
150.4,F#bj7
150.6,F#bj7
150.6,F#bj7
150.8,G-7
151.0,G-7
151.2,G-7
151.4,G-7
151.6,C7
151.8,C7
152.0,C7
152.2,C7
152.4,Fj7
152.4,Fj7
152.6,Fj7
152.6,Fj7
152.8,G-7
152.8,G-7
153.0,C7
153.0,C7
153.2,Fj7
153.2,Fj7
153.4,Fj7
153.4,Fj7
153.6,A#-7
153.6,A#-7
153.8,D#b7
153.8,D#b7
154.0,A-7
154.0,A-7
154.2,D7
154.2,D7
154.4,G-7
154.6,G-7
154.8,G-7
155.0,C7
155.2,C7
155.2,F
155.4,F
155.4,F
155.6,F
155.6,G-7
155.8,G-7
155.8,C7
156.0,C7
156.0,Fj7
156.2,Fj7
156.2,Fj7
156.4,Fj7
156.4,G-7
156.6,G-7
156.6,C7
156.8,C7
156.8,Fj7
157.0,Fj7
157.0,Fj7
157.2,Fj7
157.2,A#-7
157.4,A#-7
157.6,A#-7
157.8,D#b7
158.0,D#b7
158.2,D#b7
158.4,D#b7
158.6,D#b7
158.8,D#b7
159.0,D#b7
159.2,D#b7
159.4,D7
159.4,D7
159.6,G-7
159.6,G-7
159.8,C7
159.8,C7
160.0,F
160.2,F
160.2,F
160.4,F
160.6,F
160.8,Gb-7
161.0,Gb-7
161.2,Gb-7
161.4,Gb-7
161.6,C#b7
161.8,C#b7
162.0,C#b7
162.2,C#b7
162.4,F#bj7
162.6,F#bj7
162.8,F#bj7
163.0,F#bj7
163.2,F#bj7
163.2,Gb-7
163.4,Gb-7
163.4,C#b7
163.6,C#b7
163.8,C#b7
164.0,F#bj7
164.2,F#bj7
164.4,F#bj7
164.6,F#bj7
164.8,F#bj7
165.0,F#bj7
165.2,F#bj7
165.4,F#bj7
165.6,B7
165.8,B7
166.0,B7
166.2,B7
166.4,E7
166.6,E7
166.8,E7
167.0,A#-7
167.2,A#-7
167.4,A#-7
167.6,A#-7
167.8,A7
168.0,A7
168.2,A7
168.4,A7
168.6,Gb-7
168.8,Gb-7
169.0,Gb-7
169.2,Gb-7
169.4,C#b7
169.6,C#b7
169.8,C#b7
170.0,C#b7
170.2,F#b
170.4,F#b
170.6,F#b
170.8,F#b
171.0,F#b
