time,chord
4.0,D-
4.0,D-
4.2,D-
4.2,D-
4.4,Em7b5
4.6,Em7b5
4.6,A79b
4.8,A79b
5.0,A79b
5.2,D-
5.4,D-
5.4,D-
5.6,D-
5.8,D-
6.0,Em7b5
6.2,Em7b5
6.4,Em7b5
6.6,Em7b5
6.8,A79b
7.0,A79b
7.2,A79b
7.4,A79b
7.6,D-
7.8,D-
8.0,D-
8.2,D-
8.4,D-/C#
8.6,D-/C#
8.8,D-/C
8.8,D-/C
9.0,D-/C
9.0,D-/C
9.2,B7b5
9.2,B7b5
9.4,B7b5
9.4,B7b5
9.6,E7
9.6,E7
9.8,E7
9.8,E7
10.0,A+7
10.0,A+7
10.2,A+7
10.2,A+7
10.4,D7
10.4,D7
10.6,D7
10.6,D7
10.8,G7
10.8,G7
11.0,G7
11.2,G7
11.4,G7
11.6,G7
11.8,C7
12.0,C7
12.2,C7
12.4,C7
12.6,C7
12.8,C7
13.0,C7
13.2,C-7
13.4,C-7
13.6,C-7
13.8,C-7
14.0,F7
14.2,F7
14.4,F7
14.6,F7
14.8,A#j7
15.0,A#j7
15.2,A#j7
15.4,A#j7
15.6,A#j7
15.8,A#j7
16.0,A#j7
16.2,A#j7
16.4,Em7b5
16.6,Em7b5
16.8,Em7b5
17.0,Em7b5
17.2,Em7b5
17.4,Em7b5
17.6,Em7b5
17.8,A79b
18.0,A79b
18.2,A79b
18.2,A79b
18.4,A79b
18.6,A79b
18.8,D-
19.0,D-
19.2,D-
19.2,D-
19.4,D-
19.4,Em7b5
19.6,Em7b5
19.6,A79b
19.8,A79b
19.8,D-
20.0,D-
20.0,D-
20.2,D-
20.2,Em7b5
20.4,Em7b5
20.4,A79b
20.6,A79b
20.6,D-
20.8,D-
20.8,D-/C#
21.0,D-/C#
21.0,D-/C
21.2,D-/C
21.2,D-/C
21.4,D-/C
21.4,B7b5
21.6,B7b5
21.6,B7b5
21.8,B7b5
21.8,E7
22.0,E7
22.2,E7
22.4,E7
22.6,E7
22.8,E7
23.0,E7
23.2,A+7
23.4,A+7
23.6,A+7
23.8,A+7
24.0,A+7
24.2,A+7
24.4,D7
24.6,D7
24.8,D7
25.0,D7
25.2,D7
25.4,D7
25.6,D7
25.8,D7
26.0,G7
26.2,G7
26.4,G7
26.6,G7
26.8,G7
26.8,G7
27.0,C7
27.0,C7
27.2,C7
27.2,C7
27.4,C-7
27.4,C-7
27.6,F7
27.6,F7
27.8,A#j7
27.8,A#j7
28.0,A#j7
28.0,A#j7
28.2,Em7b5
28.2,Em7b5
28.4,Em7b5
28.4,Em7b5
28.6,A79b
28.6,A79b
28.8,A79b
28.8,A79b
29.0,D-
29.0,D-
29.2,D-
29.2,D-
29.4,Em7b5
29.4,Em7b5
29.6,A79b
29.6,A79b
29.8,D-
30.0,D-
30.2,D-
30.4,D-
30.6,D-
30.8,D-
31.0,D-
31.2,Em7b5
31.2,Em7b5
31.4,A79b
31.4,A79b
31.6,D-
31.6,D-
31.8,D-/C#
31.8,D-/C#
32.0,D-/C
32.0,D-/C
32.2,D-/C
32.2,D-/C
32.4,B7b5
32.6,B7b5
32.8,B7b5
33.0,B7b5
33.2,B7b5
33.4,B7b5
33.6,B7b5
33.8,B7b5
34.0,E7
34.2,E7
34.4,E7
34.6,E7
34.8,E7
35.0,E7
35.2,E7
35.4,E7
35.6,A+7
35.8,A+7
36.0,A+7
36.2,A+7
36.4,A+7
36.6,A+7
36.8,A+7
37.0,A+7
37.2,D7
37.4,D7
37.6,D7
37.6,D7
37.8,G7
37.8,G7
38.0,G7
38.0,G7
38.2,C7
38.2,C7
38.4,C7
38.6,C7
38.8,C7
39.0,C7
39.2,C-7
39.4,C-7
39.6,C-7
39.8,C-7
40.0,F7
40.2,F7
40.4,F7
40.6,F7
40.8,A#j7
41.0,A#j7
41.2,A#j7
41.4,A#j7
41.6,A#j7
41.8,A#j7
42.0,A#j7
42.2,A#j7
42.4,Em7b5
42.6,Em7b5
42.8,Em7b5
43.0,Em7b5
43.2,Em7b5
43.4,Em7b5
43.6,Em7b5
43.8,Em7b5
44.0,A79b
44.2,A79b
44.4,A79b
44.6,A79b
44.6,A79b
