time,chord
0.259,N.C.
15.195,D7
16.145,D7
17.080,G7
18.020,G7
18.960,C7
19.885,C7
20.815,F7
21.725,F7
22.650,N.C.
30.015,Bbj7
30.490,G7
30.965,C-7
31.445,F7
31.925,Bbj7
32.395,G7
32.865,C-7
33.338,F7
33.810,Bbj7
34.278,Bb7
34.745,Ebj7
35.210,Eb-6
35.675,D-7
36.137,G7
36.600,C-7
37.067,F7
37.535,Bbj7
38.002,G7
38.470,C-7
38.930,F7
39.390,Bbj7
39.847,G7
40.305,C-7
40.767,F7
41.230,F-7
41.690,Bb7
42.150,Ebj7
42.608,Eb-6
43.065,D-7
43.515,G7
43.965,F7
44.418,Bj7
44.870,D7
45.765,D7
46.660,G7
47.565,G7
48.465,C7
49.365,C7
50.260,F7
51.160,F7
52.050,Bbj7
52.498,G7
52.945,C-7
53.390,F7
53.835,Bbj7
54.282,G7
54.730,C-7
55.172,F7
55.615,F-7
56.065,Bb7
56.515,Ebj7
56.965,Eb-6
57.415,D-7
57.862,G7
58.310,C-7
58.760,F7
59.210,Bbj7
59.672,G7
60.135,C-7
60.593,F7
61.050,Bbj7
61.508,G7
61.965,C-7
62.415,F7
62.865,Bbj7
63.317,Bb7
63.770,Ebj7
64.218,Eb-6
64.665,D-7
65.110,G7
65.555,C-7
65.998,F7
66.440,Bbj7
66.888,G7
67.335,C-7
67.785,F7
68.235,Bbj7
68.678,G7
69.120,C-7
69.565,F7
70.010,F-7
70.455,Bb7
70.900,Ebj7
71.338,Eb-6
71.775,D-7
72.213,G7
72.650,F7
73.093,Bj7
73.535,D7
74.430,D7
75.335,G7
76.225,G7
77.110,C7
77.995,C7
78.880,F7
79.760,F7
80.625,Bbj7
81.070,G7
81.515,C-7
81.965,F7
82.415,Bbj7
82.860,G7
83.305,C-7
83.745,F7
84.185,F-7
84.627,Bb7
85.070,Ebj7
85.515,Eb-6
85.960,D-7
86.403,G7
86.845,F7
87.290,Bbj7
87.735,Bbj7
88.183,G7
88.630,C-7
89.085,F7
89.540,Bbj7
89.992,G7
90.445,C-7
90.895,F7
91.345,Bbj7
91.792,Bb7
92.240,Ebj7
92.685,Eb-6
93.130,D-7
93.575,G7
94.020,C-7
94.460,F7
94.900,Bbj7
95.343,G7
95.785,C-7
96.230,F7
96.675,Bbj7
97.118,G7
97.560,C-7
98.002,F7
98.445,F-7
98.887,Bb7
99.330,Ebj7
99.770,Eb-6
100.210,D-7
100.643,G7
101.075,F7
101.505,Bj7
101.935,D7
102.825,D7
103.720,G7
104.600,G7
105.465,C7
106.345,C7
107.220,F7
108.090,F7
108.980,Bbj7
109.420,G7
109.860,C-7
110.303,F7
110.745,Bbj7
111.188,G7
111.630,C-7
112.070,F7
112.510,F-7
112.947,Bb7
113.385,Ebj7
113.822,Eb-6
114.260,D-7
114.697,G7
115.135,F7
115.577,Bbj7
