time,chord
0.600,D:min7
1.560,D:min7
2.480,D:min7
3.430,D:min7
4.370,D:min7
5.260,D:min7
6.150,D:min7
7.070,D:min7
7.960,D:min7
8.890,D:min7
9.810,D:min7
10.710,D:min7
11.640,D:min7
12.540,D:min7
13.440,D:min7
14.340,D:min7
15.200,Eb:min7
16.120,Eb:min7
17.030,Eb:min7
17.940,Eb:min7
18.840,Eb:min7
19.750,Eb:min7
20.660,Eb:min7
21.570,Eb:min7
22.450,D:min7
23.370,D:min7
24.290,D:min7
25.190,D:min7
26.100,D:min7
26.980,D:min7
27.920,D:min7
28.820,D:min7
29.720,D:min7
30.600,D:min7
31.520,D:min7
32.410,D:min7
33.300,D:min7
34.210,D:min7
35.090,D:min7
35.980,D:min7
36.870,D:min7
37.760,D:min7
38.640,D:min7
39.530,D:min7
40.380,D:min7
41.260,D:min7
42.150,D:min7
43.030,D:min7
43.910,Eb:min7
44.790,Eb:min7
45.700,Eb:min7
46.570,Eb:min7
47.460,Eb:min7
48.330,Eb:min7
49.210,Eb:min7
50.080,Eb:min7
50.940,D:min7
51.810,D:min7
52.700,D:min7
53.570,D:min7
54.430,D:min7
55.310,D:min7
56.170,D:min7
57.030,D:min7
57.890,D:min7
58.790,D:min7
59.670,D:min7
60.540,D:min7
61.430,D:min7
62.310,D:min7
63.170,D:min7
64.010,D:min7
64.900,D:min7
65.790,D:min7
66.670,D:min7
67.550,D:min7
68.420,D:min7
69.270,D:min7
70.140,D:min7
71.010,D:min7
71.870,Eb:min7
72.770,Eb:min7
73.650,Eb:min7
74.550,Eb:min7
75.410,Eb:min7
76.300,Eb:min7
77.170,Eb:min7
78.040,Eb:min7
78.910,D:min7
79.760,D:min7
80.620,D:min7
81.470,D:min7
82.310,D:min7
83.160,D:min7
83.990,D:min7
84.800,D:min7
85.660,D:min7
86.550,D:min7
87.420,D:min7
88.300,D:min7
89.180,D:min7
90.060,D:min7
90.950,D:min7
91.820,D:min7
92.670,D:min7
93.560,D:min7
94.410,D:min7
95.280,D:min7
96.140,D:min7
97.010,D:min7
97.890,D:min7
98.730,D:min7
99.600,Eb:min7
100.500,Eb:min7
101.350,Eb:min7
102.200,Eb:min7
103.080,Eb:min7
103.940,Eb:min7
104.790,Eb:min7
105.620,Eb:min7
106.470,D:min7
107.330,D:min7
108.210,D:min7
109.060,D:min7
109.920,D:min7
110.780,D:min7
111.620,D:min7
112.480,D:min7
113.350,D:min7
114.250,D:min7
115.130,D:min7
116.020,D:min7
116.900,D:min7
117.750,D:min7
118.620,D:min7
119.490,D:min7
120.360,D:min7
121.230,D:min7
122.100,D:min7
122.960,D:min7
123.830,D:min7
124.690,D:min7
125.560,D:min7
126.450,D:min7
127.350,Eb:min7
128.230,Eb:min7
129.110,Eb:min7
130.020,Eb:min7
130.900,Eb:min7
131.790,Eb:min7
132.640,Eb:min7
133.500,Eb:min7
134.350,D:min7
135.249,D:min7
136.105,D:min7
136.975,D:min7
137.840,D:min7
138.700,D:min7
139.565,D:min7
140.395,D:min7
141.250,D:min7
142.115,D:min7
142.975,D:min7
143.835,D:min7
144.670,D:min7
145.540,D:min7
146.385,D:min7
147.235,D:min7
148.085,D:min7
148.925,D:min7
149.775,D:min7
150.605,D:min7
151.450,D:min7
152.290,D:min7
153.130,D:min7
153.985,D:min7
154.835,Eb:min7
155.695,Eb:min7
156.550,Eb:min7
157.420,Eb:min7
158.300,Eb:min7
159.175,Eb:min7
160.055,Eb:min7
160.925,Eb:min7
161.790,D:min7
162.645,D:min7
163.505,D:min7
164.345,D:min7
165.170,D:min7
166.025,D:min7
166.865,D:min7
167.725,D:min7
168.595,D:min7
169.500,D:min7
170.370,D:min7
171.255,D:min7
172.150,D:min7
173.035,D:min7
173.905,D:min7
174.795,D:min7
175.670,D:min7
176.555,D:min7
177.450,D:min7
178.325,D:min7
179.200,D:min7
180.080,D:min7
180.950,D:min7
181.820,D:min7
182.700,Eb:min7
183.580,Eb:min7
184.465,Eb:min7
185.345,Eb:min7
186.225,Eb:min7
187.095,Eb:min7
187.975,Eb:min7
188.840,Eb:min7
189.710,D:min7
190.590,D:min7
191.465,D:min7
192.320,D:min7
193.180,D:min7
194.045,D:min7
194.895,D:min7
195.750,D:min7
196.575,D:min7
197.460,D:min7
198.325,D:min7
199.200,D:min7
200.070,D:min7
200.950,D:min7
201.815,D:min7
202.680,D:min7
203.540,D:min7
204.415,D:min7
205.290,D:min7
206.140,D:min7
207.005,D:min7
207.880,D:min7
208.735,D:min7
209.580,D:min7
210.425,Eb:min7
211.325,Eb:min7
212.215,Eb:min7
213.085,Eb:min7
213.960,Eb:min7
214.845,Eb:min7
215.715,Eb:min7
216.585,Eb:min7
217.450,D:min7
218.330,D:min7
219.195,D:min7
220.075,D:min7
220.940,D:min7
221.805,D:min7
222.665,D:min7
223.535,D:min7
224.405,D:min7
225.285,D:min7
226.165,D:min7
227.045,D:min7
227.915,D:min7
228.780,D:min7
229.635,D:min7
230.495,D:min7
231.350,D:min7
232.200,D:min7
233.050,D:min7
233.900,D:min7
234.760,D:min7
235.625,D:min7
236.485,D:min7
237.355,D:min7
238.200,Eb:min7
239.090,Eb:min7
239.960,Eb:min7
240.830,Eb:min7
241.705,Eb:min7
242.565,Eb:min7
243.430,Eb:min7
244.280,Eb:min7
245.145,D:min7
246.000,D:min7
246.875,D:min7
247.730,D:min7
248.595,D:min7
249.450,D:min7
250.310,D:min7
251.175,D:min7
252.035,D:min7
252.915,D:min7
253.795,D:min7
254.670,D:min7
255.545,D:min7
256.410,D:min7
257.265,D:min7
258.120,D:min7
258.985,D:min7
259.840,D:min7
260.700,D:min7
261.555,D:min7
262.410,D:min7
263.270,D:min7
264.115,D:min7
264.965,D:min7
265.830,Eb:min7
266.715,Eb:min7
267.605,Eb:min7
268.475,Eb:min7
269.360,Eb:min7
270.225,Eb:min7
271.075,Eb:min7
271.945,Eb:min7
272.805,D:min7
273.680,D:min7
274.535,D:min7
275.410,D:min7
276.285,D:min7
277.145,D:min7
278.000,D:min7
278.840,D:min7
279.710,D:min7
280.600,D:min7
281.475,D:min7
282.350,D:min7
283.230,D:min7
284.120,D:min7
284.995,D:min7
285.875,D:min7
286.755,D:min7
287.635,D:min7
288.490,D:min7
289.370,D:min7
290.230,D:min7
291.105,D:min7
291.970,D:min7
292.835,D:min7
293.700,Eb:min7
294.590,Eb:min7
295.465,Eb:min7
296.340,Eb:min7
297.210,Eb:min7
298.075,Eb:min7
298.955,Eb:min7
299.825,Eb:min7
300.690,D:min7
301.565,D:min7
302.440,D:min7
303.310,D:min7
304.190,D:min7
305.065,D:min7
305.930,D:min7
306.800,D:min7
307.680,D:min7
308.580,D:min7
309.465,D:min7
310.345,D:min7
311.215,D:min7
312.075,D:min7
312.935,D:min7
313.790,D:min7
314.660,D:min7
315.545,D:min7
316.405,D:min7
317.275,D:min7
318.150,D:min7
319.025,D:min7
319.885,D:min7
320.745,D:min7
321.610,Eb:min7
322.500,Eb:min7
323.385,Eb:min7
324.255,Eb:min7
325.130,Eb:min7
326.000,Eb:min7
326.865,Eb:min7
327.715,Eb:min7
328.565,D:min7
329.440,D:min7
330.310,D:min7
331.180,D:min7
332.065,D:min7
332.935,D:min7
333.805,D:min7
334.675,D:min7
335.555,D:min7
336.450,D:min7
337.320,D:min7
338.200,D:min7
339.070,D:min7
339.940,D:min7
340.810,D:min7
341.680,D:min7
342.550,D:min7
343.435,D:min7
344.320,D:min7
345.205,D:min7
346.085,D:min7
346.970,D:min7
347.845,D:min7
348.725,D:min7
349.610,Eb:min7
350.490,Eb:min7
351.375,Eb:min7
352.275,Eb:min7
353.155,Eb:min7
354.030,Eb:min7
354.920,Eb:min7
355.800,Eb:min7
356.670,D:min7
357.550,D:min7
358.410,D:min7
359.285,D:min7
360.155,D:min7
361.050,D:min7
361.930,D:min7
362.800,D:min7
363.695,D:min7
364.575,D:min7
365.470,D:min7
366.340,D:min7
367.220,D:min7
368.100,D:min7
368.970,D:min7
369.835,D:min7
370.705,D:min7
371.600,D:min7
372.442,D:min7
373.280,D:min7
374.170,D:min7
375.020,D:min7
375.880,D:min7
376.720,D:min7
377.590,Eb:min7
378.480,Eb:min7
379.380,Eb:min7
380.250,Eb:min7
381.140,Eb:min7
382.010,Eb:min7
382.880,Eb:min7
383.730,Eb:min7
384.600,D:min7
385.470,D:min7
386.340,D:min7
387.210,D:min7
388.090,D:min7
388.950,D:min7
389.810,D:min7
390.700,D:min7
391.560,D:min7
392.460,D:min7
393.330,D:min7
394.200,D:min7
395.080,D:min7
395.980,D:min7
396.860,D:min7
397.720,D:min7
398.580,D:min7
399.450,D:min7
400.310,D:min7
401.180,D:min7
