time,chord
3.0,A#j7
3.0,A#j7
3.2,G7
3.2,G7
3.4,C-7
3.4,C-7
3.6,F7
3.6,F7
3.8,A#j7
4.0,A#j7
4.0,G7
4.2,G7
4.4,G7
4.6,C-7
4.8,C-7
5.0,C-7
5.2,C-7
5.4,F7
5.6,F7
5.8,F7
6.0,F7
6.2,F-7
6.4,F-7
6.6,F-7
6.8,F-7
7.0,A#7
7.2,A#7
7.4,A#7
7.6,D#bj7
7.8,D#bj7
7.8,D#b-6
8.0,D#b-6
8.2,D#b-6
8.4,A#j7
8.6,A#j7
8.8,A#j7
9.0,A#j7
9.2,G7
9.4,G7
9.6,G7
9.8,G7
10.0,C-7
10.2,C-7
10.4,C-7
10.6,C-7
10.8,F7
11.0,F7
11.2,F7
11.4,F7
11.6,A#j7
11.8,A#j7
12.0,A#j7
12.2,A#j7
12.4,G7
12.6,G7
12.8,G7
13.0,G7
13.2,C-7
13.4,C-7
13.6,C-7
13.8,C-7
14.0,F7
14.2,F7
14.4,F7
14.6,F7
14.8,A#j7
15.0,A#j7
15.2,A#j7
15.4,A#j7
15.6,G7
15.8,G7
16.0,G7
16.2,G7
16.4,C-7
16.6,C-7
16.6,F7
16.8,F7
16.8,A#j7
17.0,A#j7
17.0,A#7
17.2,A#7
17.2,D#bj7
17.4,D#bj7
17.4,D#b-6
17.6,D#b-6
17.6,A#j7
17.8,A#j7
18.0,A#j7
18.2,F7
18.4,F7
18.6,F7
18.8,F7
19.0,B7
19.2,B7
19.4,B7
19.6,B7
19.8,B7
20.0,B7
20.2,B7
20.4,B7
20.6,D7
20.8,D7
21.0,D7
21.2,D7
21.4,D7
21.6,D7
21.8,D7
22.0,D7
22.2,D7
22.4,D7
22.6,D7
22.8,D7
23.0,D7
23.2,D7
23.4,D7
23.6,G7
23.8,G7
24.0,G7
24.2,G7
24.4,G7
24.6,G7
24.8,G7
25.0,G7
25.2,G7
25.4,G7
25.6,G7
25.8,G7
26.0,G7
26.2,G7
26.4,G7
26.6,G7
26.8,C7
27.0,C7
27.2,C7
27.4,C7
27.6,C7
27.8,C7
28.0,C7
28.2,C7
28.4,C7
28.6,C7
28.8,C7
29.0,C7
29.2,C7
29.4,C7
29.6,C7
29.8,C7
30.0,F7
30.2,F7
30.4,F7
30.6,F7
30.8,F7
31.0,F7
31.2,F7
31.4,F7
31.6,F7
31.8,F7
32.0,F7
32.2,F7
32.2,F7
32.4,A#j7
32.4,A#j7
32.6,G7
32.6,G7
32.8,C-7
32.8,C-7
33.0,F7
33.0,F7
33.2,A#j7
33.2,A#j7
33.4,G7
33.4,G7
33.6,C-7
33.6,C-7
33.8,F7
33.8,F7
34.0,A#j7
34.0,A#j7
34.2,A#7
34.2,A#7
34.4,D#bj7
34.4,D#bj7
34.6,D#b-6
34.6,D#b-6
34.8,A#j7
34.8,A#j7
35.0,F7
35.0,F7
35.2,A#j7
35.2,A#j7
35.4,A#j7
35.4,A#j7
35.6,A#j7
35.6,A#j7
35.8,G7
35.8,G7
36.0,C-7
36.0,C-7
36.2,F7
36.2,F7
36.4,A#j7
36.4,A#j7
36.6,G7
36.6,G7
36.8,C-7
36.8,C-7
37.0,F7
37.0,F7
37.2,F-7
37.2,F-7
37.4,A#7
37.4,A#7
37.6,D#bj7
37.6,D#bj7
37.8,D#b-6
37.8,D#b-6
38.0,A#j7
38.0,A#j7
38.2,G7
38.2,G7
38.4,C-7
38.4,C-7
38.6,F7
38.6,F7
38.8,A#j7
38.8,A#j7
39.0,G7
39.0,G7
39.2,C-7
39.2,C-7
39.4,F7
39.4,F7
39.6,A#j7
39.6,A#j7
39.8,G7
40.0,G7
40.2,G7
40.4,G7
40.6,C-7
40.8,C-7
41.0,C-7
41.2,C-7
41.4,F7
41.6,F7
41.8,F7
42.0,F7
42.2,A#j7
42.4,A#j7
42.6,A#j7
42.8,A#j7
43.0,A#7
43.2,A#7
43.4,A#7
43.6,A#7
43.8,D#bj7
44.0,D#bj7
44.2,D#bj7
44.4,D#bj7
44.6,D#b-6
44.8,D#b-6
45.0,D#b-6
45.2,D#b-6
45.4,A#j7
45.6,A#j7
45.8,A#j7
46.0,A#j7
46.2,F7
46.4,F7
46.6,F7
46.8,F7
47.0,B7
47.2,B7
47.4,B7
47.6,B7
47.8,B7
48.0,B7
48.2,B7
48.4,B7
48.6,D7
48.8,D7
49.0,D7
49.2,D7
49.4,D7
49.6,D7
49.8,D7
50.0,D7
50.2,D7
50.4,D7
50.6,D7
50.8,D7
51.0,D7
51.2,D7
51.4,D7
51.6,D7
51.8,G7
52.0,G7
52.2,G7
52.4,G7
52.6,G7
52.8,G7
53.0,G7
53.2,G7
53.4,G7
53.6,G7
53.8,G7
54.0,G7
54.2,G7
54.4,G7
54.6,G7
54.8,G7
55.0,C7
55.2,C7
55.4,C7
55.4,C7
55.6,C7
55.6,C7
55.8,C7
55.8,C7
56.0,C7
56.0,F7
