time,chord
0.460,C:min7
1.730,F:7
3.020,Bb:maj6
4.310,D:min7
4.950,G:7
5.610,C:min7
6.890,F:7
8.180,Bb:maj6
9.500,D:min7
10.160,G:7
10.830,C:min7
12.120,F:7
13.400,Bb:maj6
14.690,D:min7
15.330,G:7
16.000,C:min7
17.270,F:7
18.550,Bb:maj6
19.860,Bb:maj6
21.140,D:7
22.450,D:7
23.740,G:7(9)
25.050,G:aug(b7)
26.360,C:7
27.670,C:7
28.980,F:7
30.290,F:7
31.620,C:min7
32.900,F:7
34.190,Bb:maj6
35.470,D:min7
36.110,G:7
36.780,C:min7
38.070,F:7
39.360,Bb:maj6
40.700,D:min7
41.350,G:7
41.980,C:min7
43.280,F:7
44.620,Bb:maj6
45.920,D:min7
46.570,G:7
47.230,C:min7
48.540,F:7
49.840,Bb:maj6
51.120,D:min7
51.760,G:7
52.400,C:min7
53.680,F:7
54.960,Bb:maj6
56.230,D:min7
56.860,G:7
57.500,C:min7
58.770,F:7
60.050,Bb:maj6
61.320,Bb:maj6
62.550,D:7
63.840,D:7
65.120,G:7(9)
66.390,G:aug(b7)
67.680,C:7
68.950,C:7
70.240,F:7
71.540,F:7
72.810,C:min7
74.100,F:7
75.340,Bb:maj6
76.580,D:min7
77.200,G:7
77.820,C:min7
79.090,F:7
80.370,Bb:maj6
81.660,D:min7
82.290,G:7
82.940,C:min7
84.250,F:7
85.550,Bb:maj6
86.860,D:min7
87.520,G:7
88.170,C:min7
89.510,F:7
90.820,Bb:maj6
92.140,D:min7
92.790,G:7
93.450,C:min7
94.780,F:7
96.080,Bb:maj6
97.390,D:min7
98.060,G:7
98.710,C:min7
100.010,F:7
101.310,Bb:maj6
102.610,Bb:maj6
103.890,D:7
105.170,D:7
106.470,G:7(9)
107.780,G:aug(b7)
109.050,C:7
110.330,C:7
111.620,F:7
112.910,F:7
114.180,C:min7
115.470,F:7
116.740,Bb:maj6
118.010,D:min7
118.650,G:7
119.290,C:min7
120.570,F:7
121.850,Bb:maj6
123.130,D:min7
123.760,G:7
124.400,C:min7
125.680,F:7
126.990,Bb:maj6
128.290,D:min7
128.930,G:7
129.560,C:min7
130.840,F:7
