time,chord
68.8,G-6/C
69.0,G-6/C
69.0,G-6/C
69.2,G-6/C
69.2,G-6/C
69.4,G-6/C
69.4,G-6/C
69.6,G-6/C
69.6,G-6/C
69.8,G-6/C
69.8,G-6/C
70.0,G-6/C
70.0,G-6/C
70.2,G-6/C
70.2,G-6/C
70.4,G-6/C
70.4,G-6/C
70.6,G-6/C
70.6,G-6/C
70.8,G-6/C
70.8,G-6/C
71.0,G-6/C
71.0,G-6/C
71.2,G-6/C
71.2,C#b7911#
71.4,C#b7911#
71.4,C#b7911#
71.6,C#b7911#
71.6,C#b7911#
71.8,C#b7911#
71.8,C#b7911#
72.0,C#b7911#
72.0,G-6/C
72.2,G-6/C
72.2,G-6/C
72.4,G-6/C
72.4,G-6/C
72.6,G-6/C
72.6,G-6/C
72.8,G-6/C
72.8,G-6/C
73.0,G-6/C
73.0,G-6/C
73.2,G-6/C
73.2,G-6/C
73.4,G-6/C
73.4,G-6/C
73.6,G-6/C
73.6,G-6/C
73.8,G-6/C
73.8,G-6/C
74.0,G-6/C
74.0,G-6/C
74.2,G-6/C
74.2,G-6/C
74.4,G-6/C
74.6,G-6/C
74.8,C+7
75.0,C+7
75.2,C+7
75.4,C+7
75.6,C+7
75.8,C+7
75.8,C+7
76.0,C+7
76.0,C+7
76.2,C+7
76.2,A-7
76.4,A-7
76.4,A-7
76.6,A-7
76.6,A-7
76.8,A-7
76.8,A-7
77.0,A-7
77.0,A-7
77.2,A-7
77.2,A-7
77.4,A-7
77.4,A-7
77.6,A-7
77.6,A-7
77.8,A-7
77.8,A-7
78.0,A-7
78.0,A-7
78.2,A-7
78.2,A-7
78.4,A-7
78.4,A-7
78.6,A-7
78.6,C+7
78.8,C+7
78.8,C+7
79.0,C+7
79.0,C+7
79.2,C+7
79.2,C+7
79.4,C+7
79.4,C+7
79.6,C+7
79.6,C+7
79.8,C+7
80.0,C+7
80.2,C+7
80.4,C+7
80.6,C+7
80.8,C+7
81.0,C+7
81.0,C+7
81.2,C+7
81.2,C+7
81.4,C+7
81.4,C+7
81.6,C+7
81.6,C+7
81.8,C+7
81.8,C+7
82.0,C+7
82.0,C+7
82.2,C+7
82.2,C+7
82.4,C+7
82.4,C+7
82.6,C+7
82.6,C+7
82.8,A-7
82.8,A-7
83.0,A-7
83.0,A-7
83.2,A-7
83.2,A-7
83.4,A-7
83.4,A-7
83.6,G-6/C
83.6,G-6/C
83.8,G-6/C
83.8,G-6/C
84.0,G-6/C
84.0,G-6/C
84.2,G-6/C
84.2,G-6/C
84.4,G-6/C
84.4,G-6/C
84.6,G-6/C
84.6,G-6/C
84.8,G-6/C
84.8,G-6/C
85.0,G-6/C
85.0,G-6/C
85.2,G-6/C
85.2,G-6/C
85.4,G-6/C
85.4,G-6/C
85.6,G-6/C
85.6,G-6/C
85.8,G-6/C
85.8,G-6/C
86.0,F+7911#
86.0,F+7911#
86.2,F+7911#
86.2,F+7911#
86.4,F+7911#
86.4,F+7911#
86.6,F+7911#
86.6,F+7911#
86.8,G-6/C
86.8,G-6/C
87.0,G-6/C
87.0,G-6/C
87.2,G-6/C
87.2,G-6/C
87.4,G-6/C
87.4,G-6/C
87.6,G-6/C
87.6,G-6/C
87.8,G-6/C
