time,chord
7.625,C:7(b9)
8.510,C:7(b9)
9.370,C:7(b9)
10.225,C:7(b9)
11.090,C:7(b9)
11.955,C:7(b9)
12.815,C:7(b9)
13.660,C:7(b9)
14.510,C:7(b9)
15.380,C:7(b9)
16.240,C:7(b9)
17.080,C:7(b9)
17.910,F:min
18.750,F:min
19.595,F:min
20.435,F:min
21.280,C:7(b9)
22.135,C:7(b9)
22.980,C:7(b9)
23.815,C:7(b9)
24.675,C:7(b9)
25.545,C:7(b9)
26.405,C:7(b9)
27.255,C:7(b9)
28.120,C:7(b9)
28.975,C:7(b9)
29.845,C:7(b9)
30.700,C:7(b9)
31.535,F:min
32.400,F:min
33.260,F:min
34.105,F:min
34.955,F:7
35.795,F:7
36.655,F:7
37.525,F:7
38.375,Bb:7
39.230,Bb:7
40.085,Bb:7
40.935,Bb:7
41.775,Eb:7
42.630,Eb:7
43.480,Eb:7
44.330,Eb:7
45.185,Ab:maj7
46.045,Ab:maj7
46.900,G:7
47.760,Db:7
48.595,C:7(b9)
49.455,C:7(b9)
50.300,C:7(b9)
51.145,C:7(b9)
51.995,C:7(b9)
52.845,C:7(b9)
53.700,C:7(b9)
54.540,C:7(b9)
55.395,C:7(b9)
56.245,C:7(b9)
57.105,C:7(b9)
57.955,C:7(b9)
58.800,F:min
59.665,F:min
60.520,F:min
61.380,F:min
62.240,C:7(b9)
63.070,C:7(b9)
63.915,C:7(b9)
64.760,C:7(b9)
65.590,C:7(b9)
66.420,C:7(b9)
67.250,C:7(b9)
68.080,C:7(b9)
68.900,C:7(b9)
69.740,C:7(b9)
70.565,C:7(b9)
71.380,C:7(b9)
72.205,F:min
73.030,F:min
73.850,F:min
74.670,F:min
75.490,C:7(b9)
76.310,C:7(b9)
77.145,C:7(b9)
77.955,C:7(b9)
78.785,C:7(b9)
79.605,C:7(b9)
80.425,C:7(b9)
81.240,C:7(b9)
82.055,C:7(b9)
82.885,C:7(b9)
83.690,C:7(b9)
84.505,C:7(b9)
85.325,F:min
86.155,F:min
86.970,F:min
87.790,F:min
88.600,F:7
89.435,F:7
90.260,F:7
91.075,F:7
91.895,Bb:7
92.715,Bb:7
93.535,Bb:7
94.340,Bb:7
95.160,Eb:7
95.975,Eb:7
96.785,Eb:7
97.595,Eb:7
98.415,Ab:maj7
99.235,Ab:maj7
100.040,G:7
100.845,Db:7
101.660,C:7(b9)
102.475,C:7(b9)
103.300,C:7(b9)
104.110,C:7(b9)
104.920,C:7(b9)
105.745,C:7(b9)
106.565,C:7(b9)
107.385,C:7(b9)
108.200,C:7(b9)
109.020,C:7(b9)
109.845,C:7(b9)
110.645,C:7(b9)
111.455,F:min
112.280,F:min
113.105,F:min
113.920,F:min
114.745,F:7
115.570,F:7
116.400,F:7
117.240,F:7
118.090,Bb:7
118.910,Bb:7
119.765,Bb:7
120.580,Bb:7
121.415,Eb:7
122.240,Eb:7
123.065,Eb:7
123.890,Eb:7
124.725,Ab:maj7
125.570,Ab:maj7
126.395,G:7
127.225,Db:7
128.055,C:7(b9)
128.900,C:7(b9)
129.725,C:7(b9)
130.560,C:7(b9)
131.385,C:7(b9)
132.225,C:7(b9)
133.055,C:7(b9)
133.885,C:7(b9)
134.720,C:7(b9)
135.560,C:7(b9)
136.400,C:7(b9)
137.235,C:7(b9)
138.060,F:min
138.910,F:min
139.750,F:min
140.605,F:min
141.465,F:7
142.375,F:7
143.385,F:7
144.435,F:7
