time,chord
0.220,G-7
0.750,C7
1.290,G-7
1.820,C7
2.350,G-7
2.890,C7
3.430,G-7
3.970,C7
4.520,F6
8.860,G-7
9.390,C7
9.950,G-7
10.490,C7
11.040,G-7
11.590,C7
12.160,G-7
12.700,C7
13.260,F6
16.580,F6
17.670,F7
18.770,F7
19.880,Bb6
20.970,Bb6
22.070,G7
23.170,G7
24.280,C7
25.370,C7
26.470,G-7
27.020,C7
27.570,G-7
28.120,C7
28.670,G-7
29.220,C7
29.780,G-7
30.320,C7
30.870,F6
31.990,Bb-
33.090,C7
34.210,F6
35.300,G-7
35.860,C7
36.410,G-7
36.940,C7
37.500,G-7
38.050,C7
38.590,G-7
39.140,C7
39.680,F6
44.120,G-7
44.680,C7
45.240,G-7
45.790,C7
46.320,G-7
46.880,C7
47.420,G-7
47.970,C7
48.510,F6
51.830,F6
52.930,F7
54.040,F7
55.154,Bb6
56.260,Bb6
57.365,G7
58.465,G7
59.545,C7
60.660,C7
61.755,G-7
62.305,C7
62.855,G-7
63.405,C7
63.965,G-7
64.525,C7
65.070,G-7
65.615,C7
66.165,F6
67.260,Bb
68.370,C7
69.480,N.C.
70.595,D#-7
71.155,G#7
71.715,D#-7
72.260,G#7
72.805,D#-7
73.360,G#7
73.920,D#-7
74.480,G#7
75.035,C#6
79.445,D#-7
79.995,G#7
80.540,D#-7
81.090,G#7
81.635,D#-7
82.185,G#7
82.735,D#-7
83.295,G#7
83.845,C#6
87.145,C#6
88.235,C#7
89.345,C#7
90.445,F#6
91.540,F#6
92.630,D#7
93.705,D#7
94.795,G#7
95.880,G#7
96.985,D#-7
97.540,G#7
98.075,D#-7
98.605,G#7
99.150,D#-7
99.695,G#7
100.235,D#-7
100.775,G#7
101.315,C#6
105.690,D#-7
106.245,G#7
106.790,D#-7
107.330,G#7
107.885,D#-7
108.435,G#7
108.980,D#-7
109.520,G#7
110.075,C#6
114.455,D#-7
115.005,G#7
115.555,D#-7
116.100,G#7
116.650,D#-7
117.210,G#7
117.760,D#-7
118.300,G#7
118.850,C#6
122.160,C#6
123.245,C#7
124.355,C#7
125.460,F#6
126.550,F#6
127.650,D#7
128.755,D#7
129.860,G#7
130.970,G#7
132.070,D#-7
132.630,G#7
133.185,D#-7
133.735,G#7
134.290,D#-7
134.850,G#7
135.410,D#-7
135.965,G#7
136.520,C#6
138.735,C#6
140.965,D#-7
141.535,G#7
142.095,D#-7
142.645,G#7
143.205,D#-7
143.775,G#7
144.330,D#-7
144.880,G#7
145.445,C#6
149.930,D#-7
150.490,G#7
151.045,D#-7
151.600,G#7
152.170,D#-7
152.735,G#7
153.285,D#-7
153.840,G#7
154.400,C#6
157.750,C#6
158.865,C#7
159.990,C#7
161.110,F#6
162.220,F#6
163.345,D#7
164.455,D#7
165.535,G#7
166.635,G#7
167.750,D#-7
168.315,G#7
168.880,D#-7
169.445,G#7
170.010,D#-7
170.570,G#7
171.125,D#-7
171.675,G#7
172.235,C#6
174.490,C#6
