time,chord
3.290,A#:maj7
5.360,G:min7
7.480,C:min7
9.520,F:7
11.590,D:7
13.660,G:hdim7
15.650,C:min7
17.620,F:sus4(b7)
19.680,A#:maj7
21.730,G:min7
23.820,C:min7
25.860,F:7
27.940,D:7
29.950,G:7
32.010,C:min7
34.080,F:sus4(b7)
36.160,A#:maj7
38.270,G:min7
40.410,C:min7
42.440,F:7
44.600,D:7
46.760,G:hdim7
48.770,C:7
50.840,F:sus4(b7)
52.930,A#:maj7
55.030,G:min7
57.160,C:min7
59.210,F:7
61.320,A#:maj6
63.370,G#:7
65.430,A#:maj7
69.550,D:min7
71.610,G:7
73.620,D:min7
75.640,G:7
77.660,C:maj7
79.700,F:maj7
81.710,C:maj7
85.710,C:min7
87.740,F:7
89.790,C:min7
91.810,F:7
93.830,D:min7
95.860,G:7
97.930,C:7
99.940,F:sus4(b7)
101.970,A#:maj7
104.150,G:min7
106.200,C:min7
108.290,F:7
110.420,D:7
112.420,G:7
114.540,C:7
116.570,F:sus4(b7)
118.660,A#:maj7
120.770,G:7(b9)
122.790,C:min7
124.920,F:7
126.940,A#:maj6
131.000,C:min7
132.980,F:7
135.100,A#:maj7
137.210,G:min7
139.300,C:min7
141.410,F:7
143.480,D:7
145.530,G:hdim7
147.630,C:min7
149.720,F:sus4(b7)
151.800,A#:maj7
153.870,G:min7
155.980,C:min7
158.020,F:7
160.050,D:7
162.220,G:7
164.340,C:min7
166.430,F:sus4(b7)
168.560,A#:maj7
170.620,G:min7
172.750,C:min7
174.820,F:7
176.940,D:7
179.050,G:hdim7
181.110,C:7
183.150,F:sus4(b7)
185.240,A#:maj7
187.290,G:min7
189.380,C:min7
191.450,F:7
193.530,A#:maj6
195.490,G#:7
197.550,A#:maj7
201.710,D:min7
203.730,G:7
205.790,D:min7
207.900,G:7
209.980,C:maj7
212.080,F:maj7
214.130,C:maj7
218.250,C:min7
220.270,F:7
222.310,C:min7
224.360,F:7
226.420,D:min7
228.490,G:7
230.520,C:7
232.610,F:sus4(b7)
234.680,A#:maj7
236.780,G:min7
238.860,C:min7
240.880,F:7
243.040,D:7
245.050,G:7
247.120,C:7
249.170,F:sus4(b7)
251.230,A#:maj7
253.280,G:7(b9)
255.350,C:min7
257.360,F:7
259.460,A#:maj6
263.610,F:7
267.570,A#:maj7
269.650,G:min7
271.720,C:min7
273.780,F:7
275.770,D:7
277.860,G:hdim7
279.860,C:min7
281.900,F:sus4(b7)
283.920,A#:maj7
285.960,G:min7
288.030,C:min7
290.110,F:7
292.170,D:7
294.230,G:7
296.280,C:min7
298.380,F:sus4(b7)
300.370,A#:maj7
302.430,G:min7
304.490,C:min7
306.550,F:7
308.590,D:7
310.630,G:hdim7
312.660,C:7
314.760,F:sus4(b7)
316.750,A#:maj7
318.810,G:min7
320.840,C:min7
322.880,F:7
324.960,A#:maj6
326.990,G#:7
329.080,A#:maj7
333.110,D:min7
335.250,G:7
337.360,D:min7
339.410,G:7
341.480,C:maj7
343.550,F:maj7
345.570,C:maj7
349.710,C:min7
351.790,F:7
353.870,C:min7
355.880,F:7
357.960,D:min7
359.960,G:7
362.200,C:7
364.280,F:sus4(b7)
366.370,A#:maj7
368.470,G:min7
370.560,C:min7
372.660,F:7
374.820,D:7
376.840,G:7
378.880,C:7
380.940,F:sus4(b7)
383.040,A#:maj7
385.170,G:7(b9)
387.250,C:min7
