time,chord
170.8,D-6
171.0,D-6
171.0,D-6
171.2,D-6
171.4,D-6
171.6,Em7b5
171.8,Em7b5
172.0,Em7b5
172.2,Em7b5
172.4,A79b
172.6,A79b
172.8,A79b
173.0,D-6
173.2,D-6
173.2,D-6
173.4,D-6
173.6,D-6
173.8,Em7b5
174.0,Em7b5
174.2,Em7b5
174.4,A79b
174.6,A79b
174.8,A79b
175.0,D-6
175.0,D-6
175.2,D-6
175.2,D-6
175.4,Am7b5
175.4,Am7b5
175.6,D79b
175.6,D79b
175.8,G-7
175.8,G-7
176.0,G-7
176.0,G-7
176.2,G-7
176.2,G-7
176.4,G-7
176.6,G-7
176.8,G-7
177.0,G-7
177.2,B7
177.4,B7
177.6,B7
177.8,B7
178.0,E7
178.2,E7
178.4,E7
178.6,G-7
178.8,G-7
179.0,G-7
179.2,C7
179.4,C7
179.4,Fj7
179.6,Fj7
179.6,Fj7
179.8,Fj7
179.8,Em7b5
180.0,Em7b5
180.0,A7
180.2,A7
180.2,Dj7
180.4,Dj7
180.4,Dj7
180.6,Dj7
180.6,Em7b5
180.8,Em7b5
180.8,A7
181.0,A7
181.0,D-6
181.2,D-6
181.2,D-6
181.4,D-6
181.6,D-6
181.8,Em7b5
182.0,Em7b5
182.2,Em7b5
182.4,Em7b5
182.6,A79b
182.8,A79b
183.0,A79b
183.2,A79b
183.4,D-6
183.6,D-6
183.8,D-6
184.0,D-6
184.2,D-6
184.4,D-6
184.6,D-6
184.8,D-6
185.0,Em7b5
185.2,Em7b5
185.4,Em7b5
185.6,Em7b5
185.8,A79b
185.8,A79b
186.0,D-6
186.0,D-6
186.2,D-6
186.2,D-6
186.4,Am7b5
186.4,Am7b5
186.6,D79b
186.6,D79b
186.8,G-7
186.8,G-7
187.0,G-7
187.0,G-7
187.2,G-7
187.2,G-7
187.4,G-7
187.4,G-7
187.6,B7
187.8,B7
188.0,B7
188.2,B7
188.4,E7
188.6,E7
188.8,E7
189.0,E7
189.2,G-7
189.4,G-7
189.6,G-7
189.8,C7
189.8,C7
190.0,Fj7
190.0,Fj7
190.2,Fj7
190.2,Fj7
190.4,Em7b5
190.4,Em7b5
190.6,A7
190.6,A7
190.8,Dj7
190.8,Dj7
191.0,Dj7
191.0,Dj7
191.2,Dj7
191.2,Dj7
191.4,Dj7
191.4,Dj7
