time,chord
12.690,Bb-7
15.680,Gb7
16.460,F7
17.220,E7
17.950,Eb7
18.740,Abj7
21.650,Ab7
22.400,G7
23.170,Gb7
23.910,F7
24.650,Bb7
27.690,Bb-7
29.190,Eb7
30.730,Abj7
33.810,Ao7
36.940,Bb-7
40.100,Gb7
40.890,F7
41.670,E7
42.450,Eb7
43.230,Abj7
46.330,Ab7
47.100,G7
47.890,Gb7
48.660,F7
49.500,Bb7
52.630,Bb-7
54.190,Eb7
55.760,Abj7
58.900,A-7
60.390,D7
61.930,Gj7
63.460,E-7
64.960,A-7
66.510,D7
68.070,Bm7b5
69.610,E79b
71.180,A-7
72.720,D7
74.260,Gj7
75.750,E-7
77.280,A-7
78.770,D7
80.270,G7
81.860,C-7
83.400,Eb7
84.970,Cm7b5
85.720,F79b
86.540,Bb-7
89.470,Gb7
90.190,F7
90.900,E7
91.600,Eb7
92.340,Abj7
95.310,Ab7
95.980,G7
96.720,Gb7
97.410,F7
98.140,Bb7
101.050,Bb-7
102.560,Eb7
104.010,Abj7
106.960,Cm7b5
108.490,F79b
110.000,Bb-7
113.090,Gb7
113.880,F7
114.630,E7
115.390,Eb7
116.140,Abj7
119.280,Ab7
120.080,G7
120.860,Gb7
121.660,F7
122.490,Bb7
125.560,Bb-7
127.070,Eb7
128.630,Abj7
131.740,Ao7
134.880,Bb-7
137.950,Gb7
138.740,F7
139.540,E7
140.310,Eb7
141.090,Abj7
144.180,Ab7
144.940,G7
145.730,Gb7
146.500,F7
147.270,Bb7
150.420,Bb-7
151.930,Eb7
153.510,Abj7
158.170,D7
159.800,Gj7
161.280,E-7
162.740,A-7
164.200,D7
165.670,Bm7b5
167.230,E79b
168.760,A-7
170.320,D7
171.830,Gj7
173.340,E-7
174.800,A-7
176.270,D7
177.740,G7
179.320,C-7
180.900,Eb7
182.460,Cm7b5
183.280,F79b
184.050,Bb-7
187.140,Gb7
187.950,F7
188.720,E7
189.510,Eb7
190.310,Abj7
193.400,Ab7
194.200,G7
194.990,Gb7
195.800,F7
196.590,Bb7
199.710,Bb-7
201.250,Eb7
202.800,Abj7
208.310,Bb-7
211.390,Gb7
212.220,F7
213.010,E7
213.770,Eb7
214.550,Abj7
217.660,Ab7
218.450,G7
219.220,Gb7
220.000,F7
220.770,Bb7
223.990,Bb-7
225.630,Eb7
227.200,Abj7
230.380,Ao7
233.600,Bb-7
236.790,Gb7
237.610,F7
238.380,E7
239.150,Eb7
239.930,Abj7
243.070,Ab7
243.870,G7
244.670,Gb7
245.470,F7
246.310,Bb7
249.450,Bb-7
251.040,Eb7
252.640,Abj7
255.870,A-7
257.530,D7
259.140,Gj7
260.780,E-7
262.360,A-7
263.930,D7
265.500,Bm7b5
267.100,E79b
268.710,A-7
270.330,D7
271.900,Gj7
273.520,E-7
275.110,A-7
276.670,D7
278.300,G7
279.930,C-7
281.500,Eb7
283.160,Cm7b5
283.950,F79b
284.750,Bb-7
288.070,Gb7
288.890,F7
289.680,E7
290.460,Eb7
291.270,Abj7
294.500,Ab7
295.330,G7
296.160,Gb7
297.000,F7
297.840,Bb7
424.840,Bb-7
427.580,Gb7
428.260,F7
428.960,E7
429.680,Eb7
430.430,Abj7
433.390,Ab7
434.150,G7
434.890,Gb7
435.620,F7
436.360,Bb7
439.390,Bb-7
440.910,Eb7
442.450,Abj7
445.560,Ao7
448.610,Bb-7
451.690,Gb7
452.450,F7
453.230,E7
454.000,Eb7
454.780,Abj7
457.890,Ab7
458.650,G7
459.430,Gb7
460.210,F7
460.970,Bb7
464.110,Bb-7
465.650,Eb7
467.150,Abj7
470.240,A-7
471.770,D7
473.340,Gj7
474.970,E-7
476.560,A-7
478.160,D7
479.750,Bm7b5
481.310,E79b
482.890,A-7
484.530,D7
486.100,Gj7
487.720,E-7
489.350,A-7
491.040,D7
492.680,G7
494.260,C-7
495.850,Eb7
497.440,Cm7b5
498.250,F79b
499.070,Bb-7
502.350,Gb7
503.160,F7
504.000,E7
504.780,Eb7
505.630,Abj7
508.880,Ab7
509.690,G7
510.480,Gb7
511.300,F7
512.120,Bb7
515.360,Bb-7
517.030,Eb7
518.670,Abj7
521.880,Cm7b5
523.460,F79b
525.120,Bb-7
528.400,Gb7
529.230,F7
530.040,E7
530.850,Eb7
531.670,Abj7
534.860,Ab7
535.740,G7
536.550,Gb7
537.340,F7
538.170,Bb7
541.410,Bb-7
542.940,Eb7
544.450,Abj7
547.380,Bb-7
550.430,Gb7
551.200,F7
551.960,E7
552.740,Eb7
553.530,Abj7
556.630,Ab7
557.410,G7
558.180,Gb7
558.950,F7
559.710,Bb7
562.850,Bb-7
564.380,Eb7
565.970,Abj7
569.100,Ao7
572.240,Bb-7
575.290,Gb7
576.100,F7
576.900,E7
577.660,Eb7
578.460,Abj7
581.640,Ab7
582.450,G7
583.220,Gb7
584.010,F7
584.820,Bb7
588.020,Bb-7
589.570,Eb7
591.190,Abj7
594.340,A-7
595.950,D7
597.540,Gj7
599.120,E-7
600.680,A-7
602.250,D7
603.860,Bm7b5
605.420,E79b
606.980,A-7
608.600,D7
610.170,Gj7
611.810,E-7
613.350,A-7
614.920,D7
616.520,G7
618.100,C-7
619.710,Eb7
621.280,Cm7b5
622.070,F79b
622.870,Bb-7
626.090,Gb7
626.880,F7
627.670,E7
628.470,Eb7
629.280,Abj7
632.480,Ab7
633.320,G7
634.120,Gb7
634.920,F7
635.720,Bb7
638.970,Bb-7
640.580,Eb7
642.170,Abj7
