time,chord
71.740,C:maj7
74.390,G:min7
75.700,C:7
76.980,F:maj7
78.290,F:min7
79.590,E:7
80.870,A:7
82.170,D:7
83.460,Ab:7
84.130,G:7
84.760,C:min7
86.060,C:min7
87.330,C:maj7
89.930,G:min7
91.220,C:7
92.480,F:maj7
93.760,F:min7
95.050,E:7
96.330,A:7
97.610,D:7
98.890,Ab:7
99.530,G:7
100.190,C:min7
101.520,C:min7
102.820,F:min7
104.130,Bb:7
105.420,Eb:maj7
106.670,Eb:maj7
107.940,Eb:min7
109.230,Ab:7
110.520,Db:maj7
111.800,G:7
113.140,C:maj7
115.740,G:min7
117.010,C:7
118.290,F:maj7
119.560,F:min7
120.870,E:7
122.160,A:7
123.450,D:7
124.740,Ab:7
125.400,G:7
126.050,C:min7
127.390,C:min7
176.830,C:maj7
179.410,G:min7
180.660,C:7
181.890,F:maj7
183.170,F:min7
184.390,E:7
185.680,A:7
186.930,D:7
188.200,Ab:7
188.840,G:7
189.460,C:min7
190.700,C:min7
192.020,C:maj7
194.480,G:min7
195.750,C:7
196.970,F:maj7
198.230,F:min7
199.490,E:7
200.750,A:7
201.990,D:7
203.240,Ab:7
203.900,G:7
204.540,C:min7
205.820,C:min7
207.140,F:min7
208.400,Bb:7
209.650,Eb:maj7
210.880,Eb:maj7
212.160,Eb:min7
213.410,Ab:7
214.650,Db:maj7
215.870,G:7
217.157,C:maj7
219.740,G:min7
221.030,C:7
222.290,F:maj7
223.550,F:min7
224.820,E:7
226.116,A:7
227.280,D:7
228.570,Ab:7
229.210,G:7
229.820,C:min7
231.080,C:min7
232.320,C:maj7
234.860,G:min7
236.110,C:7
237.340,F:maj7
238.580,F:min7
239.810,E:7
241.060,A:7
242.270,D:7
243.540,Ab:7
244.170,G:7
244.800,C:min7
246.040,C:min7
247.300,C:maj7
249.820,G:min7
251.070,C:7
252.300,F:maj7
253.550,F:min7
254.820,E:7
256.080,A:7
257.310,D:7
258.570,Ab:7
259.200,G:7
259.820,C:min7
261.070,C:min7
262.330,F:min7
263.570,Bb:7
264.780,Eb:maj7
266.020,Eb:maj7
267.280,Eb:min7
268.530,Ab:7
269.780,Db:maj7
271.020,G:7
272.270,C:maj7
274.800,G:min7
276.050,C:7
277.340,F:maj7
278.620,F:min7
279.810,E:7
281.050,A:7
282.260,D:7
283.520,Ab:7
284.150,G:7
284.770,C:min7
285.100,C:min7
324.022,C:maj7
326.580,G:min7
327.830,C:7
329.080,F:maj7
330.310,F:min7
331.570,E:7
332.840,A:7
334.090,D:7
335.370,Ab:7
335.970,G:7
336.590,C:min7
337.880,C:min7
339.100,C:maj7
341.610,G:min7
342.880,C:7
344.110,F:maj7
345.340,F:min7
346.580,E:7
347.800,A:7
349.000,D:7
350.260,Ab:7
350.880,G:7
351.500,C:min7
352.770,C:min7
354.010,F:min7
355.260,Bb:7
356.470,Eb:maj7
357.730,Eb:maj7
358.970,Eb:min7
360.200,Ab:7
361.410,Db:maj7
362.600,G:7
363.870,C:maj7
366.430,G:min7
367.660,C:7
368.910,F:maj7
370.180,F:min7
371.430,E:7
372.680,A:7
373.950,D:7
375.230,Ab:7
375.880,G:7
376.490,C:min7
376.820,C:min7
