time,chord
13.910,C:maj6
17.280,Bb:min7
18.910,Eb:7
20.600,Ab:maj7
23.910,D:hdim7
25.600,G:7
27.260,C:min7
30.590,D:hdim7
32.210,G:7
33.870,C:maj6
37.150,D:min7
38.760,G:7
40.490,C:maj6
43.850,Bb:min7
45.500,Eb:7
47.160,Ab:maj7
50.490,D:hdim7
52.170,G:7
53.820,C:min7
57.150,D:hdim7
58.810,G:7
60.440,C:maj6
63.760,G:min7
65.400,C:7
67.050,F:maj6
70.450,Eb:min7
72.130,Ab:7
73.840,Db:maj7
77.220,G:hdim7
78.900,C:7
80.550,F:min7
83.960,G:hdim7
85.680,C:7
87.340,F:min7
90.730,D:hdim7
92.370,G:7
94.100,C:maj6
97.550,Bb:min7
99.280,A:7
101.000,Ab:maj7
104.430,D:hdim7
106.110,G:7
107.820,C:min7
109.530,A:hdim7
111.210,D:hdim7
112.920,G:7
114.620,C:maj6
118.060,D:min7
119.700,G:7
121.410,C:maj6
124.890,Bb:min7
126.600,Eb:7
128.360,Ab:maj7
131.810,D:hdim7
133.520,G:7
135.240,C:min7
138.660,D:hdim7
140.380,G:7
142.080,C:maj6
145.430,D:min7
147.180,G:7
148.900,C:maj6
152.340,Bb:min7
154.000,Eb:7
155.730,Ab:maj7
159.070,D:hdim7
160.740,G:7
162.470,C:min7
165.870,D:hdim7
167.550,G:7
169.220,C:maj6
172.590,G:min7
174.240,C:7
175.900,F:maj6
179.370,Eb:min7
181.110,Ab:7
182.830,Db:maj7
186.250,G:hdim7
187.990,C:7
189.710,F:min7
191.410,D:hdim7
193.140,G:hdim7
194.830,C:7
196.590,F:min7
200.020,D:hdim7
201.740,G:7
203.510,C:maj6
206.940,Bb:min7
208.630,A:7
210.390,Ab:maj7
213.780,D:hdim7
215.480,G:7
217.220,C:min7
220.660,D:hdim7
222.360,G:7
224.100,C:maj6
227.560,D:min7
229.280,G:7
231.020,C:maj6
234.520,Bb:min7
236.270,Eb:7
238.010,Ab:maj7
241.500,D:hdim7
243.210,G:7
244.930,C:min7
248.340,D:hdim7
250.020,G:7
251.730,C:maj6
255.210,D:min7
256.930,G:7
258.580,C:maj6
262.030,Bb:min7
263.710,Eb:7
265.390,Ab:maj7
268.870,D:hdim7
270.580,G:7
272.320,C:min7
275.770,D:hdim7
277.470,G:7
279.190,C:maj6
282.590,G:min7
284.330,C:7
286.050,F:maj6
289.530,Eb:min7
291.210,Ab:7
292.910,Db:maj7
296.340,G:hdim7
298.010,C:7
299.730,F:min7
303.180,G:hdim7
304.860,C:7
306.590,F:min7
309.980,D:hdim7
311.700,G:7
313.440,C:maj6
316.940,Bb:min7
318.620,A:7
320.390,Ab:maj7
323.890,D:hdim7
325.630,G:7
327.380,C:min7
329.130,A:hdim7
