time,chord
24.380,C:maj7
26.750,C:maj7
29.120,A:7
31.450,A:7
33.810,D:7
36.150,G:7
38.520,C:maj
40.860,G:7
43.210,C:maj7
45.560,C:maj7
47.880,A:7
50.220,A:7
52.570,D:7
54.920,G:7
57.260,C:maj
59.590,C:7
61.930,F:maj
64.280,F:min
66.610,C:maj7
68.950,C:7
71.280,F:maj6
73.700,F#:hdim7
76.000,G:7
78.430,N
80.770,C:maj7
83.110,C:maj7
85.470,A:7
87.850,A:7
90.230,D:7
92.630,G:7
95.000,C:maj
96.110,C#:dim
97.290,D:min7
98.490,G:7
99.640,C:maj7
102.070,C:maj7
104.410,A:7
106.750,A:7
109.140,D:7
111.560,G:7
113.960,C:maj
116.390,G:7
118.820,C:maj7
121.320,C:maj7
123.730,A:7
126.140,A:7
128.640,D:7
131.060,G:7
133.490,C:maj
135.960,C:7
138.400,F:maj
140.870,F:min
143.330,C:maj7
145.790,C:7
148.240,F:maj6
150.650,F#:hdim7
153.060,G:7
155.560,N
157.980,C:maj7
160.390,C:maj7
162.810,A:7
165.240,A:7
167.620,D:7
169.990,G:7
172.300,C:maj
174.530,C:maj
176.820,C:maj7
