time,chord
6.050,N
7.440,F:maj6
8.810,Db:7
10.180,D:7
11.530,N
12.880,F:maj
14.310,F:maj6
17.060,N
18.430,F:maj6
19.810,Db:7
21.190,D:7
22.550,N
23.910,C:7
25.330,F:maj6
26.750,F:maj6
28.140,Eb:7
29.520,Eb:7
30.850,F:maj6
32.150,F:maj6
33.490,Db:7
34.810,Db:7
36.130,Gb:7
37.480,G:min7
38.150,C:7
38.790,N
40.140,F:maj6
41.530,Db:7
42.880,D:7
44.260,N
45.630,C:7
47.050,F:maj6
48.490,F:maj6
49.180,Eb:7
50.550,N
54.630,F:maj6
55.950,F:maj6
57.260,Db:7
58.570,D:7
59.910,G:min7
61.230,C:7
62.520,F:maj6
63.840,G:min7
64.490,C:7
65.160,F:maj6
66.470,F:maj6
67.800,Db:7
69.100,D:7
70.440,G:min7
71.800,C:7
73.160,F:maj6
74.490,F:maj6
75.840,Eb:7
77.230,Eb:7
78.600,F:maj6
79.990,F:maj6
81.360,Db:7
82.710,Db:7
84.080,Gb:7
85.420,G:min7
86.120,C:7
86.790,F:maj6
88.160,F:maj6
89.520,Db:7
90.870,D:7
92.230,G:min7
93.600,C:7
94.970,F:maj6
96.340,F:maj6
97.710,F:maj6
99.080,F:maj6
100.440,Db:7
101.820,D:7
103.160,G:min7
104.530,C:7
105.890,F:maj6
107.250,G:min7
107.910,C:7
108.610,F:maj6
109.960,F:maj6
111.320,Db:7
112.680,D:7
114.060,G:min7
115.420,C:7
116.790,F:maj6
118.160,F:maj6
119.560,Eb:7
120.900,Eb:7
122.270,F:maj6
123.660,F:maj6
125.040,Db:7
126.430,Db:7
127.810,Gb:7
129.210,G:min7
129.900,C:7
130.580,F:maj6
131.920,F:maj6
133.300,Db:7
134.680,D:7
136.050,G:min7
137.410,C:7
138.780,F:maj6
140.150,F:maj6
141.530,Bb:min7
142.890,Eb:7
144.270,F:maj7
147.000,Ab:maj6
149.710,F#:7
152.440,N
153.790,F:maj6
155.160,Db:7
156.530,D:7
157.930,N
159.290,F:maj
160.750,F:maj6
163.570,F:maj6
164.940,F:maj6
166.360,Db:7
167.800,D:7
169.150,N
170.550,C:7
172.020,F:maj6
173.500,F:maj6
