time,chord
15.800,Gb
16.000,Gb
16.200,Gb
16.400,Gb
17.000,F7
17.200,F7
17.800,F7
18.000,F7
18.600,F7
18.800,F7
19.400,F7
19.600,F7
20.000,A#7
20.200,A#7
20.400,A#7
20.600,A#7
20.800,A#7
21.000,A#7
21.200,A#7
21.400,A#7
22.000,A#-7
22.200,A#-7
22.400,A#-7
22.600,A#-7
23.200,D#b7
23.400,D#b7
24.000,D#b7
24.200,D#b7
24.800,D#b7
25.000,D#b7
25.600,D#b7
25.800,D#b7
26.400,Gb
26.600,Gb
27.200,Gb
27.400,Gb
28.000,Gb
28.200,Gb
28.800,Gb
29.000,Gb
29.600,D#b-7
29.800,D#b-7
30.400,D#b-7
30.600,D#b-7
31.200,D7
31.400,D7
32.000,D7
32.200,D7
32.800,C#b
33.000,C#b
33.600,C#b
33.800,C#b
34.400,C#b
34.600,C#b
35.200,C#b
35.400,C#b-7
35.600,C#b-7
35.800,C#b-7
36.000,C#b-7
36.200,Gb
36.400,Gb
36.600,Gb
36.800,Gb
37.000,F7
37.200,F7
37.400,F7
37.600,F7
37.800,A#7
38.000,A#7
38.200,A#7
38.400,A#7
38.600,A#7
38.800,A#7
39.000,A#7
39.200,A#7
39.400,A#-7
39.600,A#-7
39.800,A#-7
40.000,A#-7
40.200,A#-7
40.800,D#b7
41.000,D#b7
41.600,D#b7
41.800,D#b7
42.400,D#b7
42.600,D#b7
43.200,D#b7
43.400,Gb
43.600,Gb
43.800,Gb
44.000,Gb
44.200,F7
44.400,F7
44.600,F7
44.800,F7
45.000,A#7
45.200,A#7
45.800,A#7
46.000,A#7
46.600,A#7
46.800,A#7
47.400,A#7
47.600,A#7
48.200,A#7
48.400,A#7
49.000,A#7
49.200,A#7
49.800,A#7
50.000,A#7
50.600,C7
50.800,C7
51.400,C7
51.800,C7
52.000,C7
52.200,C7
52.400,C7
52.600,C7
52.800,C7
53.000,F-
53.200,F-
53.400,F-
53.600,F-
53.800,C79#
54.000,C79#
54.200,C79#
54.400,C79#
54.600,F-
54.800,F-
55.000,F-
55.200,F-
55.400,C7
55.600,C7
56.200,C7
56.400,C7
56.800,C7
57.000,C7
57.200,F-
57.400,F-
57.600,F-
57.800,F-
58.000,Gbo
58.200,Gbo
58.400,Gbo
58.600,Gbo
58.800,Gb
59.000,Gb
59.200,F7
59.400,F7
59.600,A#-7
59.800,A#-7
60.000,D#b7
60.200,D#b7
60.800,D#b7
61.000,Gb
61.200,Gb
61.400,Gb
61.600,Gb
61.800,A#-7
62.000,A#-7
62.200,D#b7
62.800,NC
63.000,NC
63.600,Gb
63.800,Gb
64.400,Gb
64.600,Gb
65.200,Gb
65.400,Gb
66.000,Gb
66.200,Gb
66.800,F7
67.000,F7
67.600,F7
67.800,F7
68.400,F7
68.600,F7
69.200,F7
69.400,F7
70.000,A#7
70.200,A#7
70.800,A#7
71.000,A#7
71.600,A#7
71.800,A#7
72.400,A#7
72.600,A#7
73.200,A#7
73.400,A#7
74.000,A#7
74.200,A#7
74.400,A#7
74.600,A#7
75.200,A#-7
75.400,A#-7
76.000,A#-7
76.200,A#-7
76.800,A#-7
77.000,A#-7
77.600,A#-7
77.800,A#-7
78.400,D#b7
78.600,D#b7
79.200,D#b7
79.400,D#b7
80.000,D#b7
80.200,D#b7
80.800,D#b7
81.000,D#b7
81.600,Gb
81.800,Gb
82.400,Gb
82.600,Gb
83.200,Gb
83.400,Gb
84.000,Gb
84.600,D#b-7
84.800,D#b-7
85.400,D#b-7
85.600,D#b-7
86.200,D7
86.400,D7
87.000,D7
87.200,D7
87.800,C#b
88.000,C#b
88.600,C#b
88.800,C#b
89.400,C#b
89.600,C#b
89.800,C#b
90.000,C#b-7
90.200,C#b-7
90.400,C#b-7
90.600,C#b-7
90.800,Gb
91.000,Gb
91.200,Gb
91.400,Gb
92.000,F7
92.200,F7
92.800,F7
93.000,F7
93.600,F7
93.800,F7
94.400,F7
94.600,F7
95.200,A#7
95.400,A#7
96.000,A#7
96.200,A#7
96.800,A#7
97.000,A#7
97.600,A#7
97.800,A#7
98.400,A#7
98.600,A#7
99.000,A#7
99.200,A#7
99.400,A#7
99.600,A#-7
100.200,A#-7
100.400,A#-7
101.000,A#-7
101.200,A#-7
101.800,A#-7
102.000,A#-7
102.600,D#b7
102.800,D#b7
103.400,D#b7
103.600,D#b7
104.200,D#b7
104.400,D#b7
105.000,D#b7
105.200,D#b7
105.800,Gb
106.000,Gb
106.600,Gb
106.800,Gb
107.400,Gb
107.600,Gb
108.200,Gb
108.400,Gb
108.800,F7
109.000,F7
109.200,F7
109.400,F7
110.000,A#7
110.200,A#7
110.400,A#7
110.600,A#7
110.800,A#7
111.000,A#7
111.200,A#7
111.400,A#7
111.600,A#7
112.200,C7
112.600,C7
112.800,C7
113.000,C7
113.200,C7
113.400,C7
113.600,C7
113.800,C7
114.000,F-
114.200,F-
114.400,F-
114.600,F-
114.800,C79#
115.000,C79#
115.600,C79#
115.800,C79#
116.400,C79#
116.600,C79#
117.200,F-
117.400,F-
117.600,F-
117.800,F-
118.000,F-
118.200,C7
118.400,C7
118.600,C7
118.800,C7
119.000,F-
119.200,F-
119.400,F-
119.600,F-
120.200,Gbo
120.400,Gbo
120.600,Gbo
120.800,Gbo
121.000,Gb
121.200,Gb
121.800,F7
122.000,F7
122.200,F7
122.400,A#-7
122.600,A#-7
123.200,D#b7
123.400,D#b7
124.000,D#b7
124.200,D#b7
124.800,Gb
125.000,Gb
125.600,Gb
125.800,Gb
126.400,Gb
126.600,Gb
127.200,Gb
127.400,Gb
128.000,A#-7
128.200,A#-7
128.800,A#-7
129.000,A#-7
129.600,D#b7
129.800,D#b7
130.400,NC
130.600,NC
131.200,Gb
131.400,Gb
132.000,Gb
132.200,Gb
132.800,Gb
133.000,Gb
133.400,Gb
133.600,F7
133.800,F7
134.000,F7
134.200,F7
134.400,A#7
134.600,A#7
134.800,A#7
135.000,A#7
135.200,A#7
135.400,A#7
135.600,A#7
135.800,A#7
136.000,A#-7
136.200,A#-7
136.800,A#-7
137.000,A#-7
137.600,A#-7
137.800,A#-7
138.400,A#-7
138.600,A#-7
139.200,D#b7
139.400,D#b7
140.000,D#b7
140.200,D#b7
140.400,D#b7
140.600,Gb
140.800,Gb
141.000,Gb
141.600,Gb
141.800,Gb
142.400,Gb
142.600,Gb
143.200,D#b-7
143.400,D#b-7
144.000,D#b-7
144.200,D#b-7
144.800,D7
145.000,D7
145.600,D7
145.800,D7
146.400,C#b
146.600,C#b
147.200,C#b
147.400,C#b
148.000,C#b
148.200,C#b
148.800,C#b
149.000,C#b
149.600,C#b-7
149.800,C#b-7
150.400,C#b-7
150.600,C#b-7
151.200,C#b-7
151.400,C#b-7
152.000,C#b-7
152.200,C#b-7
152.800,Gb
153.000,Gb
153.600,Gb
153.800,Gb
154.400,Gb
154.600,Gb
155.200,Gb
155.800,F7
156.200,F7
156.400,F7
156.600,F7
156.800,A#7
157.000,A#7
157.200,A#7
157.800,A#7
158.000,A#7
158.600,A#7
158.800,A#7
159.400,A#7
159.600,A#7
159.800,A#7
160.000,A#-7
160.200,A#-7
160.800,A#-7
161.000,A#-7
161.600,A#-7
161.800,A#-7
162.400,A#-7
162.600,A#-7
163.200,D#b7
163.400,D#b7
164.000,D#b7
164.200,D#b7
164.800,D#b7
165.000,D#b7
165.600,D#b7
165.800,D#b7
166.400,Gb
166.600,Gb
167.200,Gb
167.400,Gb
168.000,Gb
168.200,Gb
168.800,Gb
169.000,Gb
169.600,F7
169.800,F7
170.400,F7
170.600,F7
171.200,F7
171.400,F7
172.000,F7
172.200,F7
172.800,A#7
173.000,A#7
173.600,A#7
173.800,A#7
174.400,A#7
174.600,A#7
175.200,A#7
175.400,A#7
176.000,A#7
176.200,A#7
176.800,A#7
177.000,A#7
177.600,A#7
177.800,A#7
178.400,A#7
178.600,A#7
179.200,C7
179.400,C7
180.000,C7
180.200,C7
180.800,C7
181.000,C7
181.600,C7
181.800,C7
182.400,C7
182.600,C7
183.200,C7
183.400,C7
184.000,C7
184.200,C7
184.800,C7
185.000,C7
185.600,F-
185.800,F-
186.400,F-
186.600,F-
186.800,F-
187.000,C79#
187.200,C79#
187.400,C79#
187.600,C79#
188.200,F-
188.400,F-
188.600,F-
188.800,F-
189.000,C7
189.200,C7
189.400,C7
189.600,C7
189.800,F-
190.000,F-
190.200,F-
190.400,F-
191.000,Gbo
191.200,Gbo
191.600,Gbo
191.800,Gbo
192.000,Gbo
192.200,Gb
192.400,Gb
192.600,Gb
193.200,F7
193.400,F7
194.000,F7
194.200,F7
194.800,A#-7
195.000,A#-7
195.600,A#-7
195.800,A#-7
196.400,D#b7
196.600,D#b7
197.200,D#b7
197.400,D#b7
198.000,Gb
198.200,Gb
198.800,Gb
199.000,Gb
199.600,Gb
199.800,Gb
200.000,A#-7
200.200,A#-7
200.400,D#b7
200.600,NC
